ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1983,1983-09-05,1,22.091,DAL,@,WAS,W 31-30,,,,,,,,,,,,
2,1983,1983-09-11,2,22.097,DAL,@,STL,W 34-17,0,0,,0,0,0,,0,1.0,1,29,0
3,1983,1983-09-18,3,22.104,DAL,,NYG,W 28-13,0,0,,0,0,0,,0,1.0,0,0,0
4,1983,1983-09-25,4,22.111,DAL,,NOR,W 21-20,,,,,,,,,,,,
5,1983,1983-10-02,5,22.118,DAL,@,MIN,W 37-24,,,,,,,,,,,,
6,1983,1983-10-09,6,22.125,DAL,,TAM,W 27-24,,,,,,,,,,,,
7,1983,1983-10-16,7,22.132,DAL,,PHI,W 37-7,0,0,,0,0,0,,0,1.0,0,0,0
8,1983,1983-10-23,8,22.139,DAL,,RAI,L 38-40,,,,,,,,,,,,
9,1983,1983-10-30,9,22.146,DAL,@,NYG,W 38-20,,,,,,,,,,,,
10,1983,1983-11-06,10,22.153,DAL,@,PHI,W 27-20,,,,,,,,,,,,
11,1983,1983-11-13,11,22.160,DAL,@,SDG,L 23-24,,,,,,,,,,,,
12,1983,1983-11-20,12,22.167,DAL,,KAN,W 41-21,0,0,,0,0,0,,0,1.0,0,0,0
13,1983,1983-11-24,13,22.171,DAL,,STL,W 35-17,,,,,,,,,,,,
14,1983,1983-12-04,14,22.181,DAL,@,SEA,W 35-10,,,,,,,,,,,,
15,1983,1983-12-11,15,22.188,DAL,,WAS,L 10-31,,,,,,,,,,,,
16,1983,1983-12-19,16,22.196,DAL,@,SFO,L 17-42,,,,,,,,,,,,
17,1984,1984-09-30,5,23.116,DAL,@,CHI,W 23-14,,,,,,,,,,,,
18,1984,1984-10-07,6,23.123,DAL,,STL,L 20-31,,,,,,,,,,,,
19,1984,1984-10-14,7,23.130,DAL,@,WAS,L 14-34,,,,,,,,,,,,
20,1984,1984-10-21,8,23.137,DAL,,NOR,W 30-27,,,,,,,,,,,,
21,1984,1984-10-28,9,23.144,DAL,,IND,W 22-3,0,0,,0,0,0,,0,1.0,1,3,0
22,1984,1984-11-04,10,23.151,DAL,,NYG,L 7-19,0,0,,0,0,0,,0,0.5,0,0,0
23,1984,1984-11-11,11,23.158,DAL,@,STL,W 24-17,,,,,,,,,,,,
24,1984,1984-11-18,12,23.165,DAL,@,BUF,L 3-14,,,,,,,,,,,,
25,1984,1984-11-22,13,23.169,DAL,,NWE,W 20-17,0,0,,0,0,0,,0,2.0,0,0,0
26,1984,1984-12-02,14,23.179,DAL,@,PHI,W 26-10,,,,,,,,,,,,
27,1984,1984-12-09,15,23.186,DAL,,WAS,L 28-30,0,0,,0,0,0,,0,1.5,0,0,0
28,1984,1984-12-17,16,23.194,DAL,@,MIA,L 21-28,,,,,,,,,,,,
29,1985,1985-09-09,1,24.095,DAL,,WAS,W 44-14,0,0,,0,0,0,,0,0.0,1,5,0
30,1985,1985-09-15,2,24.101,DAL,@,DET,L 21-26,0,0,,0,1,6,6.00,0,0.0,0,0,0
