ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2000,2000-09-03,1,23.361,WAS,,CAR,W 20-17,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0
2,2000,2000-09-24,4,24.016,WAS,@,NYG,W 16-6,,,,,,,0.0%,,,,,,,
3,2000,2000-12-10,14,24.093,WAS,@,DAL,L 13-32,,,,,,,0.0%,,,,,,,
4,2000,2000-12-16,15,24.099,WAS,@,PIT,L 3-24,,,,,,,0.0%,,,,,,,
5,2000,2000-12-24,16,24.107,WAS,,ARI,W 20-3,,1,,,,,0.0%,,,,,,,
6,2001,2001-09-09,1,25.001,WAS,@,SDG,L 3-30,,,,,,,0.0%,,,,,,,
7,2001,2001-09-24,2,25.016,WAS,@,GNB,L 0-37,,1,,,,,0.0%,,,,,,,
8,2001,2001-09-30,3,25.022,WAS,,KAN,L 13-45,,0,,,,,0.0%,,,,,,,
9,2001,2001-10-07,4,25.029,WAS,@,NYG,L 9-23,,,,,,,0.0%,,,,,,,
10,2001,2001-10-15,5,25.037,WAS,@,DAL,L 7-9,,0,,,,,0.0%,,,,,,,
11,2001,2001-10-21,6,25.043,WAS,,CAR,W 17-14,,0,,,,,0.0%,,,,,,,
12,2001,2001-10-28,7,25.050,WAS,,NYG,W 35-21,,4,2,32,16.00,0,50.0%,8.00,0,0,,0,0,0
13,2001,2001-11-04,8,25.057,WAS,,SEA,W 27-14,,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0
14,2001,2001-11-18,9,25.071,WAS,@,DEN,W 17-10,,3,2,18,9.00,1,66.7%,6.00,0,0,,0,1,6
15,2001,2001-11-25,10,25.078,WAS,@,PHI,W 13-3,,2,2,33,16.50,0,100.0%,16.50,0,0,,0,0,0
16,2001,2001-12-02,11,25.085,WAS,,DAL,L 14-20,,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0
17,2001,2001-12-09,12,25.092,WAS,@,ARI,W 20-10,,2,1,2,2.00,1,50.0%,1.00,0,0,,0,1,6
18,2001,2001-12-16,13,25.099,WAS,,PHI,L 6-20,,4,2,4,2.00,0,50.0%,1.00,0,0,,0,0,0
19,2001,2001-12-23,14,25.106,WAS,,CHI,L 15-20,,5,2,44,22.00,0,40.0%,8.80,0,0,,0,0,0
20,2001,2001-12-30,15,25.113,WAS,@,NOR,W 40-10,*,3,3,32,10.67,0,100.0%,10.67,0,0,,0,0,0
21,2001,2002-01-06,16,25.120,WAS,,ARI,W 20-17,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0
22,2002,2002-09-08,1,26.000,WAS,,ARI,W 31-23,*,2,1,19,19.00,0,50.0%,9.50,0,0,,0,0,0
23,2002,2002-09-16,2,26.008,WAS,,PHI,L 7-37,*,0,,,,,0.0%,,,,,,,
24,2002,2002-09-22,3,26.014,WAS,@,SFO,L 10-20,*,4,3,57,19.00,1,75.0%,14.25,0,0,,0,1,6
25,2002,2002-10-06,4,26.028,WAS,@,TEN,W 31-14,*,5,2,22,11.00,0,40.0%,4.40,0,0,,0,0,0
26,2002,2002-10-13,5,26.035,WAS,,NOR,L 27-43,,0,,,,,0.0%,,,,,,,
27,2002,2002-10-20,6,26.042,WAS,@,GNB,L 9-30,,1,,,,,0.0%,,,,,,,
28,2002,2002-11-03,8,26.056,WAS,@,SEA,W 14-3,,0,,,,,0.0%,,,,,,,
29,2002,2002-11-10,9,26.063,WAS,@,JAX,L 7-26,,3,1,9,9.00,0,33.3%,3.00,1,15,15.00,0,0,0
30,2002,2002-11-17,10,26.070,WAS,@,NYG,L 17-19,,1,,,,,0.0%,,,,,,,
31,2002,2002-11-24,11,26.077,WAS,,STL,W 20-17,,,,,,,0.0%,,,,,,,
32,2002,2002-11-28,12,26.081,WAS,@,DAL,L 20-27,,1,1,16,16.00,1,100.0%,16.00,0,0,,0,1,6
33,2002,2002-12-08,13,26.091,WAS,,NYG,L 21-27,,3,1,15,15.00,0,33.3%,5.00,0,0,,0,0,0
34,2002,2002-12-15,14,26.098,WAS,@,PHI,L 21-34,*,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0
35,2002,2002-12-22,15,26.105,WAS,,HOU,W 26-10,*,1,,,,,0.0%,,,,,,,
36,2002,2002-12-29,16,26.112,WAS,,DAL,W 20-14,*,2,,,,,0.0%,,,,,,,
37,2003,2003-09-04,1,26.361,WAS,,NYJ,W 16-13,*,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0
38,2003,2003-09-28,4,27.020,WAS,,NWE,W 20-17,,1,,,,,0.0%,,,,,,,
39,2003,2003-10-05,5,27.027,WAS,@,PHI,L 25-27,*,,,,,,0.0%,,,,,,,
40,2003,2003-10-19,7,27.041,WAS,@,BUF,L 7-24,,,,,,,0.0%,,,,,,,
41,2003,2003-11-02,8,27.055,WAS,@,DAL,L 14-21,,0,,,,,0.0%,,,,,,,
42,2003,2003-11-09,9,27.062,WAS,,SEA,W 27-20,*,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0
