ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1971,1971-09-26,2,25.210,GNB,,DEN,W 34-13,2,75,37.50,0
2,1971,1971-10-03,3,25.217,GNB,,CIN,W 20-17,4,141,35.25,0
