ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,def_int,def_int_yds,def_int_td
1,1984,1984-09-02,1,22.197,NYG,,PHI,W 28-27,,,,,,,,
2,1984,1984-09-09,2,22.204,NYG,,DAL,W 28-7,,,,,,,,
3,1984,1984-09-16,3,22.211,NYG,@,WAS,L 14-30,,,,,,,,
4,1984,1984-09-23,4,22.218,NYG,,TAM,W 17-14,,,,,,,,
5,1984,1984-09-30,5,22.225,NYG,@,RAM,L 12-33,,,,,,,,
6,1984,1984-10-08,6,22.233,NYG,,SFO,L 10-31,,,,,,,,
7,1984,1984-10-14,7,22.239,NYG,@,ATL,W 19-7,0,0,,0,0.0,1,26,0
8,1984,1984-10-21,8,22.246,NYG,@,PHI,L 10-24,,,,,,,,
9,1984,1984-10-28,9,22.253,NYG,,WAS,W 37-13,0,0,,0,1.0,0,0,0
10,1984,1984-11-04,10,22.260,NYG,@,DAL,W 19-7,,,,,,,,
11,1984,1984-11-11,11,22.267,NYG,@,TAM,L 17-20,,,,,,,,
12,1984,1984-11-18,12,22.274,NYG,,STL,W 16-10,0,0,,0,0.0,1,0,0
13,1984,1984-11-25,13,22.281,NYG,,KAN,W 28-27,,,,,,,,
14,1984,1984-12-02,14,22.288,NYG,@,NYJ,W 20-10,,,,,,,,
15,1984,1984-12-09,15,22.295,NYG,@,STL,L 21-31,,,,,,,,
16,1984,1984-12-15,16,22.301,NYG,,NOR,L 3-10,,,,,,,,
17,1985,1985-09-08,1,23.202,NYG,,PHI,W 21-0,,,,,,,,
18,1985,1985-09-15,2,23.209,NYG,@,GNB,L 20-23,0,0,,0,0.0,1,10,0
19,1985,1985-09-22,3,23.216,NYG,,STL,W 27-17,,,,,,,,
20,1985,1985-09-29,4,23.223,NYG,@,PHI,W 16-10,,,,,,,,
21,1985,1985-10-06,5,23.230,NYG,,DAL,L 29-30,,,,,,,,
22,1985,1985-10-13,6,23.237,NYG,@,CIN,L 30-35,,,,,,,,
23,1985,1985-10-20,7,23.244,NYG,,WAS,W 17-3,,,,,,,,
24,1985,1985-10-27,8,23.251,NYG,@,NOR,W 21-13,,,,,,,,
25,1985,1985-11-03,9,23.258,NYG,,TAM,W 22-20,,,,,,,,
26,1985,1985-11-10,10,23.265,NYG,,RAM,W 24-19,,,,,,,,
27,1985,1985-11-18,11,23.273,NYG,@,WAS,L 21-23,,,,,,,,
28,1985,1985-11-24,12,23.279,NYG,@,STL,W 34-3,,,,,,,,
29,1985,1985-12-01,13,23.286,NYG,,CLE,L 33-35,,,,,,,,
30,1985,1985-12-08,14,23.293,NYG,@,HOU,W 35-14,0,0,,0,0.5,0,0,0
31,1985,1985-12-15,15,23.300,NYG,@,DAL,L 21-28,,,,,,,,
32,1985,1985-12-21,16,23.306,NYG,,PIT,W 28-10,,,,,,,,
33,1986,1986-09-08,1,24.202,NYG,@,DAL,L 28-31,,,,,,,,
34,1986,1986-09-14,2,24.208,NYG,,SDG,W 20-7,,,,,,,,
35,1986,1986-09-21,3,24.215,NYG,@,RAI,W 14-9,,,,,,,,
36,1986,1986-09-28,4,24.222,NYG,,NOR,W 20-17,,,,,,,,
37,1986,1986-10-05,5,24.229,NYG,@,STL,W 13-6,,,,,,,,
38,1986,1986-10-12,6,24.236,NYG,,PHI,W 35-3,,,,,,,,
39,1986,1986-10-19,7,24.243,NYG,@,SEA,L 12-17,,,,,,,,
40,1986,1986-10-27,8,24.251,NYG,,WAS,W 27-20,,,,,,,,
41,1986,1986-11-02,9,24.257,NYG,,DAL,W 17-14,,,,,,,,
42,1986,1986-11-09,10,24.264,NYG,@,PHI,W 17-14,0,0,,0,0.0,1,18,0
43,1986,1986-11-16,11,24.271,NYG,@,MIN,W 22-20,,,,,,,,
44,1986,1986-11-23,12,24.278,NYG,,DEN,W 19-16,,,,,,,,
45,1986,1986-12-01,13,24.286,NYG,@,SFO,W 21-17,,,,,,,,
46,1986,1986-12-07,14,24.292,NYG,@,WAS,W 24-14,,,,,,,,
47,1986,1986-12-14,15,24.299,NYG,,STL,W 27-7,0,0,,0,0.0,1,10,0
48,1986,1986-12-20,16,24.305,NYG,,GNB,W 55-24,,,,,,,,
49,1987,1987-10-25,6,25.249,NYG,,STL,W 30-7,,,,,,,,
50,1987,1987-11-02,7,25.257,NYG,@,DAL,L 24-33,,,,,,,,
51,1987,1987-11-08,8,25.263,NYG,,NWE,W 17-10,,,,,,,,
52,1987,1987-11-15,9,25.270,NYG,@,PHI,W 20-17,,,,,,,,
53,1987,1987-11-22,10,25.277,NYG,@,NOR,L 14-23,0,0,,0,1.0,0,0,0
54,1987,1987-11-29,11,25.284,NYG,@,WAS,L 19-23,,,,,,,,
55,1987,1987-12-06,12,25.291,NYG,,PHI,W 23-20,,,,,,,,
56,1987,1987-12-13,13,25.298,NYG,@,STL,L 24-27,,,,,,,,
57,1987,1987-12-19,14,25.304,NYG,,GNB,W 20-10,,,,,,,,
58,1987,1987-12-27,15,25.312,NYG,,NYJ,W 20-7,,,,,,,,
59,1988,1988-09-05,1,26.200,NYG,,WAS,W 27-20,,,,,,,,
60,1988,1988-09-11,2,26.206,NYG,,SFO,L 17-20,,,,,,,,
61,1988,1988-09-18,3,26.213,NYG,@,DAL,W 12-10,,,,,,,,
62,1988,1988-09-25,4,26.220,NYG,,RAM,L 31-45,,,,,,,,
63,1988,1988-10-02,5,26.227,NYG,@,WAS,W 24-23,,,,,,,,
64,1988,1988-10-10,6,26.235,NYG,@,PHI,L 13-24,,,,,,,,
65,1988,1988-10-16,7,26.241,NYG,,DET,W 30-10,,,,,,,,
66,1988,1988-10-23,8,26.248,NYG,@,ATL,W 23-16,,,,,,,,
67,1988,1988-10-30,9,26.255,NYG,@,DET,W 13-10,,,,,,,,
68,1988,1988-11-06,10,26.262,NYG,,DAL,W 29-21,,,,,,,,
69,1988,1988-11-13,11,26.269,NYG,@,PHO,L 17-24,,,,,,,,
70,1988,1988-11-20,12,26.276,NYG,,PHI,L 17-23,,,,,,,,
71,1988,1988-11-27,13,26.283,NYG,@,NOR,W 13-12,0,0,,0,0.0,1,20,0
72,1988,1988-12-04,14,26.290,NYG,,PHO,W 44-7,,,,,,,,
73,1988,1988-12-11,15,26.297,NYG,,KAN,W 28-12,,,,,,,,
74,1988,1988-12-18,16,26.304,NYG,@,NYJ,L 21-27,,,,,,,,
75,1989,1989-09-11,1,27.205,NYG,@,WAS,W 27-24,0,0,,0,,,,
76,1989,1989-09-17,2,27.211,NYG,,DET,W 24-14,0,0,,0,,,,
77,1989,1989-09-24,3,27.218,NYG,,PHO,W 35-7,0,0,,0,1.0,0,0,0
78,1989,1989-10-01,4,27.225,NYG,@,DAL,W 30-13,0,0,,0,0.0,1,40,0
79,1989,1989-10-08,5,27.232,NYG,@,PHI,L 19-21,0,0,,0,,,,
80,1989,1989-10-15,6,27.239,NYG,,WAS,W 20-17,0,0,,0,,,,
81,1989,1989-10-22,7,27.246,NYG,@,SDG,W 20-13,0,0,,0,,,,
82,1989,1989-10-30,8,27.254,NYG,,MIN,W 24-14,0,0,,0,,,,
83,1989,1989-11-05,9,27.260,NYG,@,PHO,W 20-13,0,0,,0,,,,
84,1989,1989-11-12,10,27.267,NYG,@,RAM,L 10-31,0,0,,0,,,,
85,1989,1989-11-19,11,27.274,NYG,,SEA,W 15-3,0,0,,0,,,,
86,1989,1989-11-27,12,27.282,NYG,@,SFO,L 24-34,0,0,,0,,,,
87,1989,1989-12-03,13,27.288,NYG,,PHI,L 17-24,0,0,,0,,,,
88,1989,1989-12-10,14,27.295,NYG,@,DEN,W 14-7,1,2,2.00,0,0.0,0,0,0
89,1989,1989-12-16,15,27.301,NYG,,DAL,W 15-0,0,0,,0,,,,
90,1989,1989-12-24,16,27.309,NYG,,RAI,W 34-17,0,0,,0,,,,
91,1990,1990-09-09,1,28.203,NYG,,PHI,W 27-20,,,,,,,,
92,1990,1990-09-16,2,28.210,NYG,@,DAL,W 28-7,,,,,,,,
93,1990,1990-09-23,3,28.217,NYG,,MIA,W 20-3,,,,,,,,
94,1990,1990-09-30,4,28.224,NYG,,DAL,W 31-17,,,,,,,,
95,1990,1990-10-14,5,28.238,NYG,@,WAS,W 24-20,,,,,,,,
96,1990,1990-10-21,6,28.245,NYG,,PHO,W 20-19,,,,,,,,
97,1990,1990-10-28,7,28.252,NYG,,WAS,W 21-10,,,,,,,,
98,1990,1990-11-05,8,28.260,NYG,@,IND,W 24-7,,,,,,,,
99,1990,1990-11-11,9,28.266,NYG,@,RAM,W 31-7,0,0,,0,0.0,2,12,0
100,1990,1990-11-18,10,28.273,NYG,,DET,W 20-0,,,,,,,,
101,1990,1990-11-25,11,28.280,NYG,@,PHI,L 13-31,,,,,,,,
102,1990,1990-12-03,12,28.288,NYG,@,SFO,L 3-7,,,,,,,,
103,1990,1990-12-09,13,28.294,NYG,,MIN,W 23-15,0,0,,0,0.0,1,1,0
104,1990,1990-12-15,14,28.300,NYG,,BUF,L 13-17,,,,,,,,
105,1990,1990-12-23,15,28.308,NYG,@,PHO,W 24-21,,,,,,,,
106,1990,1990-12-30,16,28.315,NYG,@,NWE,W 13-10,,,,,,,,
107,1991,1991-09-02,1,29.196,NYG,,SFO,W 16-14,,,,,,,,
108,1991,1991-09-08,2,29.202,NYG,,RAM,L 13-19,,,,,,,,
109,1991,1991-09-15,3,29.209,NYG,@,CHI,L 17-20,,,,,,,,
110,1991,1991-09-22,4,29.216,NYG,,CLE,W 13-10,,,,,,,,
111,1991,1991-09-29,5,29.223,NYG,@,DAL,L 16-21,,,,,,,,
112,1991,1991-10-06,6,29.230,NYG,,PHO,W 20-9,,,,,,,,
113,1991,1991-10-14,7,29.238,NYG,@,PIT,W 23-20,,,,,,,,
114,1991,1991-10-27,8,29.251,NYG,,WAS,L 13-17,,,,,,,,
