ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,def_int,def_int_yds,def_int_td
1,2000,2000-09-03,1,23.046,SEA,@,MIA,L 0-23,,,,,
2,2000,2000-09-10,2,23.053,SEA,,STL,L 34-37,,,,,
3,2000,2000-09-17,3,23.060,SEA,,NOR,W 20-10,,,,,
4,2000,2000-09-24,4,23.067,SEA,@,SDG,W 20-12,,,,,
5,2000,2000-10-02,5,23.075,SEA,@,KAN,L 17-24,,,,,
6,2000,2000-10-08,6,23.081,SEA,@,CAR,L 3-26,,,,,
7,2000,2000-10-15,7,23.088,SEA,,IND,L 24-37,,,,,
8,2000,2000-10-22,8,23.095,SEA,@,OAK,L 3-31,,,,,
9,2000,2000-10-29,9,23.102,SEA,,KAN,L 19-24,,,,,
10,2000,2000-11-05,10,23.109,SEA,,SDG,W 17-15,,,,,
11,2000,2000-11-12,11,23.116,SEA,@,JAX,W 28-21,,,,,
12,2000,2000-11-26,12,23.130,SEA,,DEN,L 31-38,,,,,
13,2000,2000-12-03,13,23.137,SEA,@,ATL,W 30-10,,,,,
14,2000,2000-12-10,14,23.144,SEA,@,DEN,L 24-31,,,,,
15,2000,2000-12-16,15,23.150,SEA,,OAK,W 27-24,,0.0,1,30,0
16,2000,2000-12-23,16,23.157,SEA,,BUF,L 23-42,,,,,
17,2001,2001-09-09,1,24.052,SEA,@,CLE,W 9-6,,,,,
18,2001,2001-09-23,2,24.066,SEA,,PHI,L 3-27,,1.0,0,0,0
19,2001,2001-09-30,3,24.073,SEA,@,OAK,L 14-38,,,,,
20,2001,2001-10-07,4,24.080,SEA,,JAX,W 24-15,,,,,
21,2001,2001-10-14,5,24.087,SEA,,DEN,W 34-21,,,,,
22,2001,2001-10-28,6,24.101,SEA,,MIA,L 20-24,,,,,
23,2001,2001-11-04,7,24.108,SEA,@,WAS,L 14-27,,,,,
24,2001,2001-11-11,8,24.115,SEA,,OAK,W 34-27,,,,,
25,2001,2001-11-18,9,24.122,SEA,@,BUF,W 23-20,,,,,
26,2001,2001-11-25,10,24.129,SEA,@,KAN,L 7-19,,,,,
27,2001,2001-12-02,11,24.136,SEA,,SDG,W 13-10,,,,,
28,2001,2001-12-09,12,24.143,SEA,@,DEN,L 7-20,,,,,
29,2001,2001-12-23,14,24.157,SEA,@,NYG,L 24-27,,,,,
30,2002,2002-09-08,1,25.051,SEA,@,OAK,L 17-31,,1.0,0,0,0
31,2002,2002-09-15,2,25.058,SEA,,ARI,L 13-24,*,,,,
32,2002,2002-09-22,3,25.065,SEA,@,NYG,L 6-9,*,,,,
33,2002,2002-09-29,4,25.072,SEA,,MIN,W 48-23,*,,,,
34,2002,2002-10-14,5,25.087,SEA,,SFO,L 21-28,*,,,,
35,2002,2002-10-20,6,25.093,SEA,@,STL,L 20-37,*,,,,
36,2002,2002-10-27,7,25.100,SEA,@,DAL,W 17-14,*,,,,
37,2002,2002-11-03,8,25.107,SEA,,WAS,L 3-14,*,,,,
38,2002,2002-11-10,9,25.114,SEA,@,ARI,W 27-6,*,,,,
39,2002,2002-11-17,10,25.121,SEA,,DEN,L 9-31,*,,,,
40,2002,2002-11-24,11,25.128,SEA,,KAN,W 39-32,,,,,
41,2002,2002-12-01,12,25.135,SEA,@,SFO,L 24-31,,,,,
42,2002,2002-12-08,13,25.142,SEA,,PHI,L 20-27,,,,,
43,2002,2002-12-15,14,25.149,SEA,@,ATL,W 30-24,,,,,
44,2002,2002-12-22,15,25.156,SEA,,STL,W 30-10,,,,,
45,2002,2002-12-29,16,25.163,SEA,@,SDG,W 31-28,,,,,
