ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2007,2007-09-09,1,24.001,OAK,,DET,L 21-36,,0,0,,0,,0,0,,0,0.0%,
2,2007,2007-09-16,2,24.008,OAK,@,DEN,L 20-23,,,,,,,,,,,0.0%,
3,2007,2007-10-14,5,24.036,OAK,@,SDG,L 14-28,,0,0,,0,,0,0,,0,0.0%,
4,2007,2007-10-21,6,24.043,OAK,,KAN,L 10-12,,0,0,,0,0,0,0,,0,0.0%,
5,2007,2007-10-28,7,24.050,OAK,@,TEN,L 9-13,,0,0,,0,1,1,1,1.00,0,100.0%,1.00
6,2007,2007-11-04,8,24.057,OAK,,HOU,L 17-24,,0,0,,0,,0,0,,0,0.0%,
7,2007,2007-11-11,9,24.064,OAK,,CHI,L 6-17,,0,0,,0,,0,0,,0,0.0%,
8,2007,2007-11-18,10,24.071,OAK,@,MIN,L 22-29,,0,0,,0,,0,0,,0,0.0%,
9,2007,2007-11-25,11,24.078,OAK,@,KAN,W 20-17,,0,0,,0,0,0,0,,0,0.0%,
10,2007,2007-12-02,12,24.085,OAK,,DEN,W 34-20,,0,0,,0,,0,0,,0,0.0%,
11,2007,2007-12-09,13,24.092,OAK,@,GNB,L 7-38,,0,0,,0,,0,0,,0,0.0%,
12,2007,2007-12-16,14,24.099,OAK,,IND,L 14-21,,0,0,,0,,0,0,,0,0.0%,
13,2007,2007-12-23,15,24.106,OAK,@,JAX,L 11-49,*,0,0,,0,,0,0,,0,0.0%,
14,2007,2007-12-30,16,24.113,OAK,,SDG,L 17-30,,0,0,,0,,0,0,,0,0.0%,
15,2009,2009-09-14,1,26.006,OAK,,SDG,L 20-24,,,,,,,,,,,0.0%,
16,2009,2009-09-20,2,26.012,OAK,@,KAN,W 13-10,,1,0,0.00,0,0,0,0,,0,0.0%,
17,2009,2009-09-27,3,26.019,OAK,,DEN,L 3-23,,,,,,,,,,,0.0%,
18,2009,2009-10-04,4,26.026,OAK,@,HOU,L 6-29,,,,,,,,,,,0.0%,
