ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1963,1963-09-08,1,23.006,NYJ,@,BOS,L 14-38,2,40,20.00,0,0,0,0
2,1963,1963-10-05,4,23.033,NYJ,,BOS,W 31-24,0,0,,0,1,6,0
3,1963,1963-11-17,10,23.076,NYJ,@,DEN,W 14-9,1,30,30.00,0,0,0,0
4,1963,1963-12-08,12,23.097,NYJ,@,BUF,L 14-45,1,20,20.00,0,0,0,0
