ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2017,2017-09-07,1,22.032,KAN,@,NWE,W 42-27,*,17,148,8.71,1,5,5,98,19.60,2,100.0%,19.60,3,18
2,2017,2017-09-17,2,22.042,KAN,,PHI,W 27-20,*,13,81,6.23,2,3,3,28,9.33,0,100.0%,9.33,2,12
3,2017,2017-09-24,3,22.049,KAN,@,LAC,W 24-10,*,17,172,10.12,1,1,1,11,11.00,0,100.0%,11.00,1,6
4,2017,2017-10-02,4,22.057,KAN,,WAS,W 29-20,*,21,101,4.81,0,4,4,20,5.00,0,100.0%,5.00,0,0
5,2017,2017-10-08,5,22.063,KAN,@,HOU,W 42-34,*,29,107,3.69,0,4,3,9,3.00,0,75.0%,2.25,0,0
6,2017,2017-10-15,6,22.070,KAN,,PIT,L 13-19,*,9,21,2.33,0,6,5,89,17.80,0,83.3%,14.83,0,0
7,2017,2017-10-19,7,22.074,KAN,@,OAK,L 30-31,*,18,87,4.83,0,4,4,30,7.50,0,100.0%,7.50,0,0
8,2017,2017-10-30,8,22.085,KAN,,DEN,W 29-19,*,22,46,2.09,0,5,3,22,7.33,0,60.0%,4.40,0,0
9,2017,2017-11-05,9,22.091,KAN,@,DAL,L 17-28,*,9,37,4.11,0,5,4,24,6.00,0,80.0%,4.80,0,0
10,2017,2017-11-19,10,22.105,KAN,@,NYG,L 9-12,*,18,73,4.06,0,4,3,4,1.33,0,75.0%,1.00,0,0
11,2017,2017-11-26,11,22.112,KAN,,BUF,L 10-16,*,11,17,1.55,0,1,1,9,9.00,0,100.0%,9.00,0,0
12,2017,2017-12-03,12,22.119,KAN,@,NYJ,L 31-38,*,9,40,4.44,0,5,3,23,7.67,0,60.0%,4.60,0,0
13,2017,2017-12-10,13,22.126,KAN,,OAK,W 26-15,*,25,116,4.64,1,3,3,22,7.33,0,100.0%,7.33,1,6
14,2017,2017-12-16,14,22.132,KAN,,LAC,W 30-13,*,24,155,6.46,1,9,7,51,7.29,1,77.8%,5.67,2,12
15,2017,2017-12-24,15,22.140,KAN,,MIA,W 29-13,*,29,91,3.14,1,4,4,15,3.75,0,100.0%,3.75,1,6
16,2017,2017-12-31,16,22.147,KAN,@,DEN,W 27-24,*,1,35,35.00,1,0,0,0,,0,0.0%,,1,6
17,2018,2018-09-09,1,23.034,KAN,@,LAC,W 38-28,*,16,49,3.06,0,1,0,0,,0,0.0%,0.00,0,0
18,2018,2018-09-16,2,23.041,KAN,@,PIT,W 42-37,*,18,75,4.17,0,1,1,5,5.00,1,100.0%,5.00,1,6
19,2018,2018-09-23,3,23.048,KAN,,SFO,W 38-27,*,18,44,2.44,2,1,0,0,,0,0.0%,0.00,2,12
