ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
18,1979,1979-10-21,8,24.228,MIN,,CHI,W 30-27,*,19,43,44.19,218,4,1,81.3,0,0,5.07,5.88,1,-5,-5.00,0,0,0,,0,0,0
19,1979,1979-10-28,9,24.235,MIN,,TAM,L 10-12,*,22,36,61.11,223,1,1,76.5,0,0,6.19,5.50,3,22,7.33,0,0,0,,0,0,0
20,1979,1979-11-04,10,24.242,MIN,@,STL,L 7-37,*,27,49,55.10,273,1,3,52.5,0,0,5.57,3.22,0,0,,0,0,0,,0,0,0
21,1979,1979-11-11,11,24.249,MIN,@,GNB,L 7-19,*,27,38,71.05,262,1,2,76.9,0,0,6.89,5.05,0,0,,0,0,0,,0,0,0
22,1979,1979-11-18,12,24.256,MIN,,DET,W 14-7,*,14,30,46.67,135,0,0,59.7,0,0,4.50,4.50,1,0,0.00,0,0,0,,0,0,0
23,1979,1979-11-25,13,24.263,MIN,@,TAM,W 23-22,*,15,26,57.69,158,3,0,113.9,0,0,6.08,8.38,3,1,0.33,0,0,0,,0,0,0
24,1979,1979-12-02,14,24.270,MIN,@,RAM,L 21-27,*,21,42,50.00,297,3,3,67.3,0,0,7.07,5.29,2,15,7.50,0,0,0,,0,0,0
25,1979,1979-12-09,15,24.277,MIN,,BUF,W 10-3,*,12,32,37.50,104,1,1,44.3,0,0,3.25,2.47,6,5,0.83,0,0,0,,0,0,0
26,1979,1979-12-16,16,24.284,MIN,@,NWE,L 23-27,*,35,61,57.38,308,1,1,69.6,0,0,5.05,4.64,4,50,12.50,0,0,0,,0,0,0
27,1980,1980-09-07,1,25.184,MIN,,ATL,W 24-23,*,30,42,71.43,395,3,1,114.7,0,0,9.40,9.76,1,7,7.00,0,0,0,,0,0,0
28,1980,1980-09-14,2,25.191,MIN,,PHI,L 7-42,*,16,39,41.03,178,1,1,53.2,0,0,4.56,3.92,1,0,0.00,0,0,0,,0,0,0
29,1980,1980-09-21,3,25.198,MIN,@,CHI,W 34-14,*,8,17,47.06,151,1,1,73.4,0,0,8.88,7.41,0,0,,0,0,0,,0,0,0
30,1980,1980-09-28,4,25.205,MIN,@,DET,L 7-27,*,19,31,61.29,221,1,5,54.0,0,0,7.13,0.52,0,0,,0,0,0,,0,0,0
31,1980,1980-10-05,5,25.212,MIN,,PIT,L 17-23,*,18,36,50.00,214,1,5,38.2,0,0,5.94,0.25,5,29,5.80,1,0,0,,0,1,6
32,1980,1980-10-12,6,25.219,MIN,,CHI,W 13-7,*,15,32,46.88,155,0,1,48.3,0,0,4.84,3.44,4,2,0.50,0,0,0,,0,0,0
33,1980,1980-10-19,7,25.226,MIN,@,CIN,L 0-14,*,13,25,52.00,130,0,2,33.7,0,0,5.20,1.60,1,6,6.00,0,0,0,,0,0,0
34,1980,1980-10-26,8,25.233,MIN,@,GNB,L 3-16,*,19,38,50.00,222,0,1,57.1,0,0,5.84,4.66,2,10,5.00,0,0,0,,0,0,0
35,1980,1980-11-09,10,25.247,MIN,,DET,W 34-0,*,22,32,68.75,295,2,0,118.6,0,0,9.22,10.47,0,0,,0,0,0,,0,0,0
36,1980,1980-11-16,11,25.254,MIN,,TAM,W 38-30,*,24,37,64.86,324,2,0,110.6,0,0,8.76,9.84,2,12,6.00,0,0,0,,0,0,0
37,1980,1980-11-23,12,25.261,MIN,,GNB,L 13-25,*,16,31,51.61,174,0,0,68.5,0,0,5.61,5.61,3,17,5.67,0,0,0,,0,0,0
38,1980,1980-11-30,13,25.268,MIN,@,NOR,W 23-20,*,13,29,44.83,137,1,2,41.9,0,0,4.72,2.31,3,-6,-2.00,0,0,0,,0,0,0
39,1980,1980-12-07,14,25.275,MIN,@,TAM,W 21-10,*,22,31,70.97,264,1,0,107.5,0,0,8.52,9.16,5,16,3.20,0,0,0,,0,0,0
40,1980,1980-12-14,15,25.282,MIN,,CLE,W 28-23,*,38,49,77.55,456,4,0,132.7,0,0,9.31,10.94,2,11,5.50,0,0,0,,0,0,0
41,1980,1980-12-21,16,25.289,MIN,@,HOU,L 16-20,*,26,53,49.06,266,2,4,45.0,0,0,5.02,2.38,2,11,5.50,0,0,0,,0,0,0
42,1981,1981-09-20,3,26.197,MIN,,DET,W 26-24,*,25,42,59.52,333,2,2,80.8,2,21,7.93,6.74,0,0,,0,0,0,,0,0,0
43,1981,1981-09-27,4,26.204,MIN,@,GNB,W 30-13,*,19,34,55.88,253,2,0,99.3,0,0,7.44,8.62,0,0,,0,0,0,,0,0,0
