ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-05,1,23.132,DAL,@,NYG,W 24-17,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2012,2012-10-01,4,23.158,DAL,,CHI,L 18-34,,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
3,2012,2012-10-28,7,23.185,DAL,,NYG,L 24-29,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2012,2012-11-04,8,23.192,DAL,@,ATL,L 13-19,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2012,2012-11-11,9,23.199,DAL,@,PHI,W 38-23,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
6,2012,2012-11-18,10,23.206,DAL,,CLE,W 23-20,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2012,2012-11-22,11,23.210,DAL,,WAS,L 31-38,,13,7,68,9.71,0,53.8%,5.23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
8,2012,2012-12-02,12,23.220,DAL,,PHI,W 38-33,,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
9,2012,2012-12-16,14,23.234,DAL,,PIT,W 27-24,,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
10,2012,2012-12-30,16,23.248,DAL,@,WAS,L 18-28,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
11,2013,2013-09-22,3,24.149,DAL,,STL,W 31-7,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,15,7.50,0,0,0,0.0,0,0
12,2013,2013-09-29,4,24.156,DAL,@,SDG,L 21-30,,3,3,16,5.33,0,100.0%,5.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2013,2013-10-06,5,24.163,DAL,,DEN,L 48-51,,4,4,47,11.75,1,100.0%,11.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0
14,2013,2013-10-13,6,24.170,DAL,,WAS,W 31-16,,5,4,44,11.00,0,80.0%,8.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
15,2013,2013-10-20,7,24.177,DAL,@,PHI,W 17-3,*,7,6,53,8.83,0,85.7%,7.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
16,2013,2013-10-27,8,24.184,DAL,@,DET,L 30-31,*,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
17,2013,2013-11-03,9,24.191,DAL,,MIN,W 27-23,,9,6,68,11.33,0,66.7%,7.56,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
18,2013,2013-11-10,10,24.198,DAL,@,NOR,L 17-49,,4,1,18,18.00,0,25.0%,4.50,0,0,,0,0,0,,0,0,0,,0,0,,,1,11,11.00,0,0,0,,0,0,0,0.0,0,0
19,2013,2013-11-24,11,24.212,DAL,@,NYG,W 24-21,,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,19,6.33,0,0,0,0.0,0,0
20,2013,2013-11-28,12,24.216,DAL,,OAK,W 31-24,,3,3,19,6.33,0,100.0%,6.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,27,6.75,0,0,0,0.0,0,0
