ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1987,1987-10-04,3,25.076,NWE,,CLE,L 10-20,4,45,11.25,1,1,16,16.00,0,1,6
2,1987,1987-10-11,4,25.083,NWE,,BUF,W 14-7,3,32,10.67,0,1,3,3.00,0,0,0
3,1987,1987-10-18,5,25.090,NWE,@,HOU,W 21-7,4,81,20.25,1,3,3,1.00,0,1,6
