ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1992,1992-09-13,2,23.040,CHI,@,NOR,L 6-28,1,1,16,16.00,0,100.0%,16.00
2,1992,1992-09-21,3,23.048,CHI,,NYG,L 14-27,2,1,5,5.00,0,50.0%,2.50
3,1992,1992-09-27,4,23.054,CHI,,ATL,W 41-31,1,1,24,24.00,0,100.0%,24.00
4,1992,1992-10-04,5,23.061,CHI,@,MIN,L 20-21,,0,0,,0,0.0%,
5,1992,1992-10-18,6,23.075,CHI,,TAM,W 31-14,,0,0,,0,0.0%,
6,1992,1992-10-25,7,23.082,CHI,@,GNB,W 30-10,,0,0,,0,0.0%,
7,1992,1992-11-02,8,23.090,CHI,,MIN,L 10-38,,0,0,,0,0.0%,
8,1992,1992-11-08,9,23.096,CHI,,CIN,L 28-31,,0,0,,0,0.0%,
9,1992,1992-11-15,10,23.103,CHI,@,TAM,L 17-20,,0,0,,0,0.0%,
10,1992,1992-11-22,11,23.110,CHI,,GNB,L 3-17,,0,0,,0,0.0%,
11,1992,1992-12-13,14,23.131,CHI,,PIT,W 30-6,1,1,8,8.00,0,100.0%,8.00
12,1992,1992-12-20,15,23.138,CHI,@,DET,L 3-16,2,1,3,3.00,0,50.0%,1.50
13,1992,1992-12-27,16,23.145,CHI,@,DAL,L 14-27,1,0,0,,0,0.0%,0.00
