ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1950,1950-09-24,2,22.288,CLE,@,BAL,W 31-0,4,3,0.75,0,0,0,,0
2,1950,1950-10-29,7,22.323,CLE,,PIT,W 45-7,5,6,1.20,0,0,0,,0
3,1950,1950-11-05,8,22.330,CLE,@,CRD,W 10-7,10,57,5.70,0,0,0,,0
4,1950,1950-12-10,12,23.000,CLE,@,WAS,W 45-21,7,39,5.57,0,0,0,,0
5,1951,1951-09-30,1,23.294,CLE,@,SFO,L 10-24,4,20,5.00,0,0,0,,0
6,1951,1951-10-07,2,23.301,CLE,@,RAM,W 38-23,1,0,0.00,0,1,17,17.00,0
7,1951,1951-10-14,3,23.308,CLE,,WAS,W 45-0,9,54,6.00,1,1,6,6.00,0
8,1951,1951-10-21,4,23.315,CLE,,PIT,W 17-0,17,126,7.41,0,0,0,,0
9,1951,1951-10-28,5,23.322,CLE,,NYG,W 14-13,5,12,2.40,0,0,0,,0
10,1951,1951-11-25,9,23.350,CLE,,CHI,W 42-21,2,8,4.00,0,0,0,,0
11,1951,1951-12-02,10,23.357,CLE,,CRD,W 49-28,3,19,6.33,0,0,0,,0
12,1951,1951-12-09,11,23.364,CLE,@,PIT,W 28-0,5,13,2.60,0,2,7,3.50,0
