ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2001,2001-11-11,8,24.227,TAM,@,DET,W 20-17,,,,,,,,,,,,,,,
2,2002,2002-09-08,1,25.163,TAM,,NOR,L 20-26,,,,,,,,,,,,,,,
3,2002,2002-09-15,2,25.170,TAM,@,BAL,W 25-0,,,,,,,,,,,,,,,
4,2002,2002-09-23,3,25.178,TAM,,STL,W 26-14,,,,,,,,,,,,,,,
5,2002,2002-09-29,4,25.184,TAM,@,CIN,W 35-7,,,,,,,,,,,,,,,
6,2002,2002-10-06,5,25.191,TAM,@,ATL,W 20-6,,,,,,,,,,,,,,,
7,2002,2002-10-13,6,25.198,TAM,,CLE,W 17-3,,,,,,,,,,,,,,,
8,2002,2002-10-20,7,25.205,TAM,@,PHI,L 10-20,,,,,,,,,,,,,,,
9,2002,2002-10-27,8,25.212,TAM,@,CAR,W 12-9,,,,,,,,,,,,,,,
10,2002,2002-11-03,9,25.219,TAM,,MIN,W 38-24,,,,,,,,,,,,,,,
11,2002,2002-11-17,10,25.233,TAM,,CAR,W 23-10,,,,,,,,,,,,,,,
12,2002,2002-11-24,11,25.240,TAM,,GNB,W 21-7,,,,,,,,,,,,,,,
13,2002,2002-12-01,12,25.247,TAM,@,NOR,L 20-23,,,,,,,,,,,,,,,
14,2002,2002-12-08,13,25.254,TAM,,ATL,W 34-10,,,,,,,,,,,,,,,
15,2002,2002-12-15,14,25.261,TAM,@,DET,W 23-20,,,,,,,,,,,,,,,
16,2002,2002-12-23,15,25.269,TAM,,PIT,L 7-17,,,,,,,,,,,,,,,
17,2002,2002-12-29,16,25.275,TAM,@,CHI,W 15-0,,,,,,,,,,,,,,,
18,2003,2003-09-08,1,26.163,TAM,@,PHI,W 17-0,,,,,,,,,,,,,,,
19,2003,2003-09-14,2,26.169,TAM,,CAR,L 9-12,,,,,,,,,,,,,,,
20,2003,2003-09-21,3,26.176,TAM,@,ATL,W 31-10,,,,,,,,,,,,,,,
21,2003,2003-10-06,4,26.191,TAM,,IND,L 35-38,,,,,,,,,,,,,,,
22,2003,2003-10-12,5,26.197,TAM,@,WAS,W 35-13,*,,,,,,,,,,,,,,
23,2003,2003-10-19,6,26.204,TAM,@,SFO,L 7-24,,,,,,,,,,,,,,,
24,2003,2003-10-26,7,26.211,TAM,,DAL,W 16-0,*,,,,,,,,,,,,,,
25,2003,2003-11-02,8,26.218,TAM,,NOR,L 14-17,,,,,,,,,,,,,,,
26,2003,2003-11-09,9,26.225,TAM,@,CAR,L 24-27,,,,,,,,,,,,,,,
27,2003,2003-11-16,10,26.232,TAM,,GNB,L 13-20,,,,,,,,,,,,,,,
28,2003,2003-11-24,11,26.240,TAM,,NYG,W 19-13,,,,,,,,,,,,,,,
29,2003,2003-11-30,12,26.246,TAM,@,JAX,L 10-17,,,,,,,,,,,,,,,
30,2003,2003-12-07,13,26.253,TAM,@,NOR,W 14-7,,,,,,,,,,,,,,,
31,2003,2003-12-14,14,26.260,TAM,,HOU,W 16-3,,,,,,,,,,,,,,,
32,2003,2003-12-20,15,26.266,TAM,,ATL,L 28-30,,,,,,,,,,,,,,,
33,2003,2003-12-28,16,26.274,TAM,@,TEN,L 13-33,,,,,,,,,,,,,,,
34,2004,2004-09-12,1,27.167,TAM,@,WAS,L 10-16,,,,,,,,,,,,,,,
35,2004,2004-09-19,2,27.174,TAM,,SEA,L 6-10,,,,,,,,,,,,,,,
36,2004,2004-09-26,3,27.181,TAM,@,OAK,L 20-30,,,,,,,,,,,,,,,
37,2004,2004-10-03,4,27.188,TAM,,DEN,L 13-16,,,,,,,,,,,,,,,
38,2004,2004-10-10,5,27.195,TAM,@,NOR,W 20-17,,,,,,,,,,,,,,,
39,2004,2004-10-18,6,27.203,TAM,@,STL,L 21-28,,,,,,,,,,,,,,,
40,2004,2004-10-24,7,27.209,TAM,,CHI,W 19-7,,,,,,,,,,,,,,,
41,2004,2004-11-07,8,27.223,TAM,,KAN,W 34-31,,,,,,,,,,,,,,,
42,2004,2004-11-14,9,27.230,TAM,@,ATL,L 14-24,,,,,,,,,,,,,,,
43,2004,2004-11-21,10,27.237,TAM,,SFO,W 35-3,,,,,,,,,,,,,,,
44,2004,2004-11-28,11,27.244,TAM,@,CAR,L 14-21,,,,,,,,,,,,,,,
45,2004,2004-12-05,12,27.251,TAM,,ATL,W 27-0,,,,,,,,,,,,,0,11,0
46,2004,2004-12-12,13,27.258,TAM,@,SDG,L 24-31,,,,,,,,,,,,,,,
47,2004,2004-12-19,14,27.265,TAM,,NOR,L 17-21,,,,,,,,,,,,,,,
48,2004,2004-12-26,15,27.272,TAM,,CAR,L 20-37,,,,,,,,,,,,,,,
49,2004,2005-01-02,16,27.279,TAM,@,ARI,L 7-12,,,,,,,,,,,,,,,
50,2005,2005-09-11,1,28.166,STL,@,SFO,L 25-28,*,,,,,,,,,,,,,,
51,2005,2005-09-18,2,28.173,STL,@,ARI,W 17-12,,,,,,,,,,,,,,,
52,2005,2005-09-25,3,28.180,STL,,TEN,W 31-27,,,,,,,,,,,,,,,
53,2005,2005-10-02,4,28.187,STL,@,NYG,L 24-44,,,,,,,,,,,,,,,
54,2005,2005-10-09,5,28.194,STL,,SEA,L 31-37,*,0,0,,0,0,0,,0,1.0,,,0,0,0
55,2005,2005-10-17,6,28.202,STL,@,IND,L 28-45,*,,,,,,,,,,,,,,
