ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1990,1990-09-09,1,23.303,MIN,@,KAN,L 21-24,,,,,,,,,
2,1990,1990-09-16,2,23.310,MIN,,NOR,W 32-3,,,,,,,,,
3,1990,1990-09-23,3,23.317,MIN,@,CHI,L 16-19,,,,,,,,,
4,1990,1990-09-30,4,23.324,MIN,,TAM,L 20-23,,,,,,,,,
5,1990,1990-10-07,5,23.331,MIN,,DET,L 27-34,,,,,,,,,
6,1990,1990-10-15,6,23.339,MIN,@,PHI,L 24-32,,,,,,,,,
7,1990,1990-10-28,7,23.352,MIN,@,GNB,L 10-24,,,,,,,,,
8,1990,1990-11-04,8,23.359,MIN,,DEN,W 27-22,,,,,,,,,
9,1990,1990-11-11,9,24.001,MIN,@,DET,W 17-7,,,,,,,,,
10,1990,1990-11-18,10,24.008,MIN,@,SEA,W 24-21,,,,,,,,,
11,1990,1990-11-25,11,24.015,MIN,,CHI,W 41-13,,,,,,,,,
12,1991,1991-09-01,1,24.295,MIN,@,CHI,L 6-10,,0,0,,0,,,,
13,1991,1991-09-08,2,24.302,MIN,@,ATL,W 20-19,,0,0,,0,,,,
14,1991,1991-09-15,3,24.309,MIN,,SFO,W 17-14,,0,0,,0,,,,
15,1991,1991-09-22,4,24.316,MIN,@,NOR,L 0-26,,0,0,,0,,,,
16,1991,1991-09-29,5,24.323,MIN,,DEN,L 6-13,,0,0,,0,,,,
17,1991,1991-10-06,6,24.330,MIN,@,DET,L 20-24,,0,0,,0,,,,
18,1991,1991-10-13,7,24.337,MIN,,PHO,W 34-7,,0,0,,0,,,,
19,1991,1991-10-20,8,24.344,MIN,@,NWE,L 23-26,,0,0,,0,,,,
20,1991,1991-10-27,9,24.351,MIN,@,PHO,W 28-0,,0,0,,0,,,,
21,1991,1991-11-03,10,24.358,MIN,,TAM,W 28-13,,0,0,,0,,,,
22,1991,1991-11-11,11,25.001,MIN,,CHI,L 17-34,,0,0,,0,,,,
23,1991,1991-11-17,12,25.007,MIN,@,GNB,W 35-21,,1,3,3.00,1,,,1,6
24,1991,1991-11-24,13,25.014,MIN,,DET,L 14-34,,0,0,,0,,,,
25,1991,1991-12-08,14,25.028,MIN,@,TAM,W 26-24,,1,5,5.00,1,,,1,6
26,1991,1991-12-15,15,25.035,MIN,,RAM,W 20-14,,0,0,,0,,,,
27,1991,1991-12-21,16,25.041,MIN,,GNB,L 7-27,,0,0,,0,,,,
28,1992,1992-10-11,6,25.336,SEA,@,DAL,L 0-27,,0,0,,0,0.0%,,,
29,1992,1992-10-18,7,25.343,SEA,,RAI,L 0-19,,0,0,,0,0.0%,,,
30,1992,1992-10-25,8,25.350,SEA,@,NYG,L 10-23,3,3,18,6.00,0,100.0%,6.00,0,0
31,1992,1992-11-08,9,25.364,SEA,,WAS,L 3-16,,0,0,,0,0.0%,,,
