ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1961,1961-10-08,4,25.116,CHI,@,DET,W 31-17,0,0,,0,0,0,,0,0,0,2,0,0
2,1961,1961-10-22,6,25.130,CHI,,SFO,W 31-0,0,0,,0,0,0,,0,0,0,1,37,0
3,1961,1961-11-05,8,25.144,CHI,@,PHI,L 14-16,0,0,,0,0,0,,0,0,0,2,71,0
4,1961,1961-11-12,9,25.151,CHI,,GNB,L 28-31,0,0,,0,0,0,,0,0,0,1,15,0
5,1962,1962-09-23,2,26.101,CHI,@,RAM,W 27-23,0,0,,0,0,0,,0,0,0,1,0,0
6,1962,1962-09-30,3,26.108,CHI,@,GNB,L 0-49,0,0,,0,0,0,,0,0,0,1,7,0
7,1962,1962-10-07,4,26.115,CHI,@,MIN,W 13-0,0,0,,0,0,0,,0,0,0,1,0,0
8,1962,1962-12-09,13,26.178,CHI,,RAM,W 30-14,0,0,,0,0,0,,0,0,0,2,38,0
9,1963,1963-09-15,1,27.093,CHI,@,GNB,W 10-3,0,0,,0,0,0,,0,0,0,1,0,0
10,1963,1963-09-22,2,27.100,CHI,@,MIN,W 28-7,0,0,,0,0,0,,0,0,0,1,7,0
11,1963,1963-10-27,7,27.135,CHI,,PHI,W 16-7,0,0,,0,0,0,,0,0,0,1,10,0
12,1963,1963-11-17,10,27.156,CHI,,GNB,W 26-7,0,0,,0,0,0,,0,0,0,1,0,0
13,1963,1963-12-08,13,27.177,CHI,,SFO,W 27-7,1,-8,-8.00,0,0,0,,0,0,0,1,5,0
14,1963,1963-12-15,14,27.184,CHI,,DET,W 24-14,0,0,,0,0,0,,0,1,6,1,39,1
15,1964,1964-09-20,2,28.098,CHI,@,MIN,W 34-28,0,0,,0,0,0,,0,0,0,1,41,0
16,1964,1964-10-11,5,28.119,CHI,,RAM,W 38-17,0,0,,0,0,0,,0,0,0,1,16,0
17,1964,1964-11-01,8,28.140,CHI,,DAL,L 10-24,1,14,14.00,0,0,0,,0,0,0,0,0,0
18,1965,1965-10-31,7,29.139,CHI,,GNB,W 31-10,0,0,,0,0,0,,0,0,0,1,32,0
19,1965,1965-11-21,10,29.160,CHI,@,DET,W 17-10,0,0,,0,0,0,,0,0,0,1,0,0
20,1965,1965-11-28,11,29.167,CHI,@,NYG,W 35-14,0,0,,0,0,0,,0,1,6,1,29,1
21,1965,1965-12-05,12,29.174,CHI,@,BAL,W 13-0,0,0,,0,0,0,,0,0,0,1,6,0
22,1966,1966-10-02,3,30.110,CHI,@,MIN,W 13-10,0,0,,0,0,0,,0,0,0,1,21,0
23,1966,1966-10-23,6,30.131,CHI,,RAM,W 17-10,0,0,,0,0,0,,0,0,0,2,23,0
24,1967,1967-09-24,2,31.102,NOR,,WAS,L 10-30,0,0,,0,0,0,,0,0,0,1,31,0
25,1967,1967-10-01,3,31.109,NOR,,CLE,L 7-42,0,0,,0,0,0,,0,0,0,1,32,0
26,1967,1967-10-15,5,31.123,NOR,@,DAL,L 10-14,0,0,,0,0,0,,0,1,6,2,26,1
27,1967,1967-10-29,7,31.137,NOR,,PIT,L 10-14,0,0,,0,0,0,,0,0,0,2,12,0
28,1967,1967-11-05,8,31.144,NOR,,PHI,W 31-24,0,0,,0,0,0,,0,1,6,1,41,1
29,1967,1967-11-19,10,31.158,NOR,@,PHI,L 21-48,0,0,,0,0,0,,0,0,0,1,0,0
30,1967,1967-12-03,12,31.172,NOR,@,STL,L 20-31,0,0,,0,0,0,,0,0,0,1,21,0
31,1967,1967-12-10,13,31.179,NOR,@,BAL,L 10-30,0,0,,0,0,0,,0,0,0,1,15,0
32,1968,1968-09-15,1,32.093,NOR,,CLE,L 10-24,0,0,,0,0,0,,0,0,0,1,0,0
33,1968,1968-09-22,2,32.100,NOR,,WAS,W 37-17,0,0,,0,0,0,,0,0,0,1,7,0
34,1968,1968-10-13,5,32.121,NOR,,MIN,W 20-17,0,0,,0,0,0,,0,0,0,1,32,0
35,1968,1968-10-27,7,32.135,NOR,@,STL,L 17-31,1,-1,-1.00,0,0,0,,0,0,0,0,0,0
36,1968,1968-11-10,9,32.149,NOR,@,CLE,L 17-35,0,0,,0,0,0,,0,0,0,1,0,0
37,1968,1968-11-24,11,32.163,NOR,@,DET,T 20-20,0,0,,0,0,0,,0,0,0,1,11,0
38,1968,1968-12-15,14,32.184,NOR,,PIT,W 24-14,0,0,,0,1,0,0.00,0,0,0,1,-6,0
39,1969,1969-11-02,7,33.141,NOR,@,STL,W 51-42,0,0,,0,0,0,,0,0,0,1,3,0
40,1969,1969-11-09,8,33.148,NOR,@,DAL,L 17-33,0,0,,0,0,0,,0,0,0,1,11,0
41,1969,1969-11-16,9,33.155,NOR,@,NYG,W 25-24,0,0,,0,0,0,,0,0,0,1,0,0
