ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,1998,1998-09-06,1,22.166,IND,,MIA,L 15-24,*,21,37,56.76,302,1,3,58.6,4,29,8.16,5.05,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,
2,1998,1998-09-13,2,22.173,IND,@,NWE,L 6-29,*,21,33,63.64,188,1,3,51.1,2,15,5.70,2.21,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,
3,1998,1998-09-20,3,22.180,IND,@,NYJ,L 6-44,*,20,44,45.45,193,0,2,39.3,1,3,4.39,2.34,3,26,8.67,0,0,0,0,,0,0.0%,,0,0,0.0,,
4,1998,1998-09-27,4,22.187,IND,,NOR,L 13-19,*,19,32,59.38,309,1,3,63.2,4,17,9.66,6.06,1,7,7.00,0,0,0,0,,0,0.0%,,0,0,0.0,,
5,1998,1998-10-04,5,22.194,IND,,SDG,W 17-12,*,12,23,52.17,137,1,1,66.8,0,0,5.96,4.87,2,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,,
6,1998,1998-10-11,6,22.201,IND,,BUF,L 24-31,*,20,41,48.78,235,2,2,62.6,0,0,5.73,4.51,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,
7,1998,1998-10-18,7,22.208,IND,@,SFO,L 31-34,*,18,30,60.00,231,3,0,117.5,1,0,7.70,9.70,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,
8,1998,1998-11-01,8,22.222,IND,,NWE,L 16-21,*,30,52,57.69,278,2,2,69.2,0,0,5.35,4.38,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,
9,1998,1998-11-08,9,22.229,IND,@,MIA,L 14-27,*,22,42,52.38,140,1,2,47.7,0,0,3.33,1.67,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,
10,1998,1998-11-15,10,22.236,IND,,NYJ,W 24-23,*,26,44,59.09,276,3,2,81.3,1,0,6.27,5.59,4,21,5.25,0,0,0,0,,0,0.0%,,0,0,0.0,,
