ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,def_int,def_int_yds,def_int_td
1,1972,1972-09-18,1,22.108,MIN,,WAS,L 21-24,,,,,,,
2,1972,1972-09-24,2,22.114,MIN,@,DET,W 34-10,,,,,,,
3,1972,1972-10-01,3,22.121,MIN,,MIA,L 14-16,,,,,,,
4,1972,1972-10-08,4,22.128,MIN,,STL,L 17-19,,,,,,,
5,1972,1972-10-23,6,22.143,MIN,@,CHI,L 10-13,,,,,,,
6,1972,1972-10-29,7,22.149,MIN,@,GNB,W 27-13,,,,,,,
7,1972,1972-11-05,8,22.156,MIN,,NOR,W 37-6,,,,,,,
8,1972,1972-11-12,9,22.163,MIN,,DET,W 16-14,,,,,,,
9,1972,1972-11-19,10,22.170,MIN,@,RAM,W 45-41,,,,,,,
10,1972,1972-11-26,11,22.177,MIN,@,PIT,L 10-23,,,,,,,
11,1972,1972-12-03,12,22.184,MIN,,CHI,W 23-10,,,,,,,
12,1972,1972-12-10,13,22.191,MIN,,GNB,L 7-23,,,,,,,
13,1972,1972-12-16,14,22.197,MIN,@,SFO,L 17-20,0,0,,0,2,23,0
14,1973,1973-09-16,1,23.106,MIN,,OAK,W 24-16,,,,,,,
15,1973,1973-09-23,2,23.113,MIN,@,CHI,W 22-13,,,,,,,
16,1973,1973-09-30,3,23.120,MIN,,GNB,W 11-3,,,,,,,
17,1973,1973-10-07,4,23.127,MIN,@,DET,W 23-9,0,0,,0,1,3,0
18,1973,1973-10-14,5,23.134,MIN,@,SFO,W 17-13,,,,,,,
19,1973,1973-10-21,6,23.141,MIN,,PHI,W 28-21,,,,,,,
20,1973,1973-10-28,7,23.148,MIN,,RAM,W 10-9,,,,,,,
21,1973,1973-11-04,8,23.155,MIN,,CLE,W 26-3,0,0,,0,1,21,0
22,1973,1973-11-11,9,23.162,MIN,,DET,W 28-7,,,,,,,
23,1973,1973-11-19,10,23.170,MIN,@,ATL,L 14-20,,,,,,,
24,1973,1973-11-25,11,23.176,MIN,,CHI,W 31-13,,,,,,,
25,1973,1973-12-02,12,23.183,MIN,@,CIN,L 0-27,,,,,,,
26,1973,1973-12-08,13,23.189,MIN,@,GNB,W 31-7,,,,,,,
27,1973,1973-12-16,14,23.197,MIN,@,NYG,W 31-7,,,,,,,
28,1974,1974-09-15,1,24.105,MIN,@,GNB,W 32-17,,,,,,,
29,1974,1974-09-22,2,24.112,MIN,@,DET,W 7-6,,,,,,,
30,1974,1974-09-29,3,24.119,MIN,,CHI,W 11-7,,,,,,,
31,1974,1974-10-06,4,24.126,MIN,@,DAL,W 23-21,,,,,,,
32,1974,1974-10-13,5,24.133,MIN,,HOU,W 51-10,0,0,,0,1,2,0
33,1974,1974-10-20,6,24.140,MIN,,DET,L 16-20,,,,,,,
34,1974,1974-10-27,7,24.147,MIN,,NWE,L 14-17,,,,,,,
35,1974,1974-11-03,8,24.154,MIN,@,CHI,W 17-0,,,,,,,
36,1974,1974-11-11,9,24.162,MIN,@,STL,W 28-24,,,,,,,
37,1974,1974-11-17,10,24.168,MIN,,GNB,L 7-19,,,,,,,
38,1974,1974-11-24,11,24.175,MIN,@,RAM,L 17-20,,,,,,,
39,1974,1974-12-01,12,24.182,MIN,,NOR,W 29-9,,,,,,,
40,1974,1974-12-07,13,24.188,MIN,,ATL,W 23-10,,,,,,,
41,1974,1974-12-14,14,24.195,MIN,@,KAN,W 35-15,0,0,,0,1,22,0
42,1975,1975-09-21,1,25.111,MIN,,SFO,W 27-17,,,,,,,
43,1975,1975-09-28,2,25.118,MIN,@,CLE,W 42-10,,,,,,,
44,1975,1975-10-05,3,25.125,MIN,,CHI,W 28-3,,,,,,,
45,1975,1975-10-12,4,25.132,MIN,,NYJ,W 29-21,0,0,,0,1,0,0
46,1975,1975-10-19,5,25.139,MIN,,DET,W 25-19,,,,,,,
47,1975,1975-10-27,6,25.147,MIN,@,CHI,W 13-9,,,,,,,
48,1975,1975-11-02,7,25.153,MIN,@,GNB,W 28-17,,,,,,,
49,1975,1975-11-09,8,25.160,MIN,,ATL,W 38-0,0,0,,0,1,14,0
50,1975,1975-11-16,9,25.167,MIN,@,NOR,W 20-7,,,,,,,
51,1975,1975-11-23,10,25.174,MIN,,SDG,W 28-13,,,,,,,
52,1975,1975-11-30,11,25.181,MIN,@,WAS,L 30-31,,,,,,,
53,1975,1975-12-07,12,25.188,MIN,,GNB,W 24-3,0,0,,0,1,10,0
54,1975,1975-12-14,13,25.195,MIN,@,DET,L 10-17,,,,,,,
55,1975,1975-12-20,14,25.201,MIN,@,BUF,W 35-13,,,,,,,
56,1976,1976-09-12,1,26.102,MIN,@,NOR,W 40-9,,,,,,,
57,1976,1976-09-19,2,26.109,MIN,,RAM,T 10-10,,,,,,,
58,1976,1976-09-26,3,26.116,MIN,@,DET,W 10-9,,,,,,,
59,1976,1976-10-04,4,26.124,MIN,,PIT,W 17-6,0,0,,0,1,0,0
60,1976,1976-10-10,5,26.130,MIN,,CHI,W 20-19,,,,,,,
61,1976,1976-10-17,6,26.137,MIN,,NYG,W 24-7,,,,,,,
62,1976,1976-10-24,7,26.144,MIN,@,PHI,W 31-12,,,,,,,
63,1976,1976-10-31,8,26.151,MIN,@,CHI,L 13-14,,,,,,,
64,1976,1976-11-07,9,26.158,MIN,,DET,W 31-23,,,,,,,
65,1976,1976-11-14,10,26.165,MIN,,SEA,W 27-21,,,,,,,
66,1976,1976-11-21,11,26.172,MIN,@,GNB,W 17-10,,,,,,,
67,1976,1976-11-29,12,26.180,MIN,@,SFO,L 16-20,,,,,,,
68,1976,1976-12-05,13,26.186,MIN,,GNB,W 20-9,,,,,,,
69,1976,1976-12-11,14,26.192,MIN,@,MIA,W 29-7,,,,,,,
70,1977,1977-09-18,1,27.108,MIN,,DAL,L 10-16,,,,,,,
71,1977,1977-09-24,2,27.114,MIN,@,TAM,W 9-3,,,,,,,
72,1977,1977-10-02,3,27.122,MIN,,GNB,W 19-7,,,,,,,
73,1977,1977-10-09,4,27.129,MIN,,DET,W 14-7,,,,,,,
74,1977,1977-10-16,5,27.136,MIN,,CHI,W 22-16,,,,,,,
75,1977,1977-10-24,6,27.144,MIN,@,RAM,L 3-35,,,,,,,
76,1977,1977-10-30,7,27.150,MIN,@,ATL,W 14-7,,,,,,,
77,1977,1977-11-06,8,27.157,MIN,,STL,L 7-27,,,,,,,
78,1977,1977-11-13,9,27.164,MIN,,CIN,W 42-10,,,,,,,
79,1977,1977-11-20,10,27.171,MIN,@,CHI,L 7-10,,,,,,,
80,1977,1977-11-27,11,27.178,MIN,@,GNB,W 13-6,,,,,,,
81,1977,1977-12-04,12,27.185,MIN,,SFO,W 28-27,0,0,,0,1,9,0
82,1977,1977-12-11,13,27.192,MIN,@,OAK,L 13-35,,,,,,,
83,1977,1977-12-17,14,27.198,MIN,@,DET,W 30-21,,,,,,,
84,1978,1978-09-03,1,28.093,MIN,@,NOR,L 24-31,,,,,,,
85,1978,1978-09-11,2,28.101,MIN,,DEN,W 12-9,,,,,,,
86,1978,1978-09-17,3,28.107,MIN,,TAM,L 10-16,,,,,,,
87,1978,1978-09-25,4,28.115,MIN,@,CHI,W 24-20,,,,,,,
88,1978,1978-10-01,5,28.121,MIN,@,TAM,W 24-7,,,,,,,
89,1978,1978-10-08,6,28.128,MIN,@,SEA,L 28-29,,,,,,,
90,1978,1978-10-15,7,28.135,MIN,,RAM,L 17-34,,,,,,,
91,1978,1978-10-22,8,28.142,MIN,,GNB,W 21-7,,,,,,,
92,1978,1978-10-26,9,28.146,MIN,@,DAL,W 21-10,,,,,,,
