ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1996,1996-10-06,6,22.252,GNB,@,CHI,W 37-6,,,0,0,,0,0.0%,,,,,,,
2,1996,1996-10-14,7,22.260,GNB,,SFO,W 23-20,,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0
3,1996,1996-10-27,8,22.273,GNB,,TAM,W 13-7,,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0
4,1996,1996-11-03,9,22.280,GNB,,DET,W 28-18,,,0,0,,0,0.0%,,,,,,,
5,1996,1996-11-10,10,22.287,GNB,@,KAN,L 20-27,,2,2,18,9.00,1,100.0%,9.00,0,0,,0,1,6
6,1996,1996-11-18,11,22.295,GNB,@,DAL,L 6-21,,2,1,3,3.00,1,50.0%,1.50,0,0,,0,1,6
7,1996,1996-11-24,12,22.301,GNB,@,STL,W 24-9,,0,0,0,,0,0.0%,,,,,,,
8,1997,1997-09-01,1,23.216,GNB,,CHI,W 38-24,,5,4,54,13.50,0,80.0%,10.80,0,0,,0,0,0
9,1997,1997-09-07,2,23.222,GNB,@,PHI,L 9-10,,3,2,40,20.00,0,66.7%,13.33,0,0,,0,0,0
10,1997,1997-09-14,3,23.229,GNB,,MIA,W 23-18,,3,0,0,,0,0.0%,0.00,0,0,,0,,
11,1997,1997-09-21,4,23.236,GNB,,MIN,W 38-32,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0
12,1997,1997-09-28,5,23.243,GNB,@,DET,L 15-26,,0,0,0,,0,0.0%,,1,22,22.00,0,0,0
13,1997,1997-10-27,8,23.272,GNB,@,NWE,W 28-10,,1,1,20,20.00,0,100.0%,20.00,0,0,,0,0,0
14,1997,1997-11-02,9,23.278,GNB,,DET,W 20-10,,3,0,0,,0,0.0%,0.00,0,0,,0,,
15,1997,1997-11-09,10,23.285,GNB,,STL,W 17-7,,2,0,0,,0,0.0%,0.00,0,0,,0,,
16,1997,1997-11-16,11,23.292,GNB,@,IND,L 38-41,,6,3,119,39.67,0,50.0%,19.83,0,0,,0,0,0
17,1997,1997-11-23,12,23.299,GNB,,DAL,W 45-17,,7,4,30,7.50,0,57.1%,4.29,4,25,6.25,0,0,0
18,1997,1997-12-01,13,23.307,GNB,@,MIN,W 27-11,,0,0,0,,0,0.0%,,6,78,13.00,0,0,0
19,1997,1997-12-07,14,23.313,GNB,@,TAM,W 17-6,,3,3,22,7.33,0,100.0%,7.33,3,16,5.33,0,0,0
20,1998,1998-09-06,1,24.221,GNB,,DET,W 38-19,,4,4,38,9.50,0,100.0%,9.50,0,0,,0,0,0
21,1998,1998-09-13,2,24.228,GNB,,TAM,W 23-15,,3,1,17,17.00,0,33.3%,5.67,0,0,,0,0,0
22,1998,1998-09-20,3,24.235,GNB,@,CIN,W 13-6,,6,4,38,9.50,0,66.7%,6.33,0,0,,0,0,0
23,1998,1998-09-27,4,24.242,GNB,@,CAR,W 37-30,,5,5,87,17.40,3,100.0%,17.40,0,0,,0,3,18
24,1998,1998-10-05,5,24.250,GNB,,MIN,L 24-37,,1,1,11,11.00,0,100.0%,11.00,1,9,9.00,0,0,0
25,1998,1998-11-29,12,24.305,GNB,,PHI,W 24-16,,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0
26,1998,1998-12-07,13,24.313,GNB,@,TAM,L 22-24,,7,5,74,14.80,0,71.4%,10.57,0,0,,0,0,0
27,1998,1998-12-13,14,24.319,GNB,,CHI,W 26-20,,11,5,65,13.00,0,45.5%,5.91,0,0,,0,0,0
28,1998,1998-12-20,15,24.326,GNB,,TEN,W 30-22,,5,2,29,14.50,0,40.0%,5.80,0,0,,0,0,0
29,1998,1998-12-27,16,24.333,GNB,@,CHI,W 16-13,,6,2,25,12.50,0,33.3%,4.17,0,0,,0,0,0
30,1999,1999-09-12,1,25.227,SEA,,DET,L 20-28,,8,3,54,18.00,0,37.5%,6.75,0,0,,0,0,0
