ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1987,1987-10-04,3,23.078,ATL,,PIT,L 12-28,1,23,23.00,0,1,11,11.00,0,0,0,0
2,1987,1987-10-11,4,23.085,ATL,,SFO,L 17-25,0,0,,0,2,4,2.00,0,1,18,0
3,1987,1987-10-18,5,23.092,ATL,,RAM,W 24-20,0,0,,0,0,0,,0,,,
