ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2010,2010-09-12,1,24.075,ARI,@,STL,W 17-13,,2,0,0,,0,0.0%,0.00,0,0,,0,0.0,1,0
2,2010,2010-09-19,2,24.082,ARI,@,ATL,L 7-41,*,6,2,26,13.00,0,33.3%,4.33,0,0,,0,0.0,0,0
3,2010,2010-09-26,3,24.089,ARI,,OAK,W 24-23,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0.0,0,0
4,2010,2010-10-03,4,24.096,ARI,@,SDG,L 10-41,*,8,3,32,10.67,0,37.5%,4.00,0,0,,0,0.0,0,0
5,2010,2010-10-10,5,24.103,ARI,,NOR,W 30-20,*,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0.0,0,0
6,2010,2010-11-14,9,24.138,ARI,,SEA,L 18-36,,,,,,,0.0%,,,,,,,,
7,2010,2010-11-21,10,24.145,ARI,@,KAN,L 13-31,,,,,,,0.0%,,,,,,,,
8,2010,2010-12-12,13,24.166,ARI,,DEN,W 43-13,,,,,,,0.0%,,,,,,,,
9,2010,2010-12-19,14,24.173,ARI,@,CAR,L 12-19,,,,,,,0.0%,,,,,,,,
10,2010,2010-12-25,15,24.179,ARI,,DAL,W 27-26,,,,,,,0.0%,,,,,,,,
11,2010,2011-01-02,16,24.187,ARI,@,SFO,L 7-38,,3,2,26,13.00,0,66.7%,8.67,1,14,14.00,0,0.0,0,0
12,2011,2011-09-18,2,25.081,ARI,@,WAS,L 21-22,,,,,,,0.0%,,,,,,,,
13,2011,2011-10-23,6,25.116,ARI,,PIT,L 20-32,,,,,,,0.0%,,,,,,,,
14,2013,2013-09-08,1,27.071,SEA,@,CAR,W 12-7,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
15,2013,2013-09-15,2,27.078,SEA,,SFO,W 29-3,,,,,,,0.0%,,,,,,,,
16,2013,2013-09-22,3,27.085,SEA,,JAX,W 45-17,,,,,,,0.0%,,,,,,,,
17,2013,2013-09-29,4,27.092,SEA,@,HOU,W 23-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
18,2013,2013-10-13,6,27.106,JAX,@,DEN,L 19-35,,2,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
19,2013,2013-10-20,7,27.113,JAX,,SDG,L 6-24,,,,,,,0.0%,,,,,,,,
