ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1968,1968-09-15,1,22.071,DET,@,DAL,L 13-59,1,20,20.00,0,,1,0.0,,,,0,0,3,99,33.00,0
2,1968,1968-09-22,2,22.078,DET,,CHI,W 42-0,0,0,,0,6,6,100.0,,2,0.0,0,6,4,166,41.50,0
3,1968,1968-09-29,3,22.085,DET,@,GNB,W 23-17,0,0,,0,2,3,66.7,1,2,50.0,0,5,3,135,45.00,0
4,1968,1968-10-06,4,22.092,DET,@,MIN,L 10-24,0,0,,0,1,1,100.0,1,1,100.0,0,4,7,279,39.86,0
5,1968,1968-10-13,5,22.099,DET,@,CHI,W 28-10,0,0,,0,4,4,100.0,,3,0.0,0,4,4,146,36.50,0
6,1968,1968-10-20,6,22.106,DET,,GNB,T 14-14,0,0,,0,2,2,100.0,,,,0,2,5,180,36.00,0
7,1968,1968-10-27,7,22.113,DET,,SFO,L 7-14,0,0,,0,1,1,100.0,,2,0.0,0,1,8,346,43.25,0
8,1968,1968-11-03,8,22.120,DET,@,RAM,L 7-10,0,0,,0,1,1,100.0,,1,0.0,0,1,10,408,40.80,0
9,1968,1968-11-10,9,22.127,DET,,BAL,L 10-27,0,0,,0,1,1,100.0,1,4,25.0,0,4,4,169,42.25,0
10,1968,1968-11-17,10,22.134,DET,,MIN,L 6-13,0,0,,0,,,,,,,0,0,8,326,40.75,0
11,1968,1968-11-24,11,22.141,DET,,NOR,T 20-20,0,0,,0,,,,,,,0,0,3,130,43.33,0
12,1968,1968-11-28,12,22.145,DET,,PHI,L 0-12,0,0,,0,,,,,,,0,0,4,148,37.00,0
13,1968,1968-12-08,13,22.155,DET,@,ATL,W 24-7,0,0,,0,,,,,,,0,0,3,147,49.00,0
14,1968,1968-12-15,14,22.162,DET,@,WAS,L 3-14,0,0,,0,,,,,,,0,0,5,188,37.60,0
15,1971,1971-10-04,3,25.090,OAK,@,CLE,W 34-20,0,0,,0,,,,,,,0,0,4,162,40.50,0
16,1971,1971-10-10,4,25.096,OAK,@,DEN,W 27-16,0,0,,0,,,,,,,0,0,5,228,45.60,0
17,1971,1971-10-17,5,25.103,OAK,,PHI,W 34-10,0,0,,0,,,,,,,0,0,5,192,38.40,0
18,1971,1971-10-24,6,25.110,OAK,,CIN,W 31-27,0,0,,0,,,,,,,0,0,4,127,31.75,0
19,1971,1971-10-31,7,25.117,OAK,,KAN,T 20-20,0,0,,0,,,,,,,0,0,5,176,35.20,0
20,1971,1971-11-07,8,25.124,OAK,@,NOR,T 21-21,0,0,,0,,,,,,,0,0,5,229,45.80,0
21,1971,1971-11-14,9,25.131,OAK,,HOU,W 41-21,0,0,,0,,,,,,,0,0,4,146,36.50,0
22,1971,1971-11-21,10,25.138,OAK,,SDG,W 34-33,1,-14,-14.00,0,,,,,,,0,0,2,104,52.00,0
23,1971,1971-11-28,11,25.145,OAK,,BAL,L 14-37,0,0,,0,,,,,,,0,0,5,188,37.60,0
24,1971,1971-12-05,12,25.152,OAK,@,ATL,L 13-24,0,0,,0,,,,,,,0,0,4,145,36.25,0
25,1971,1971-12-12,13,25.159,OAK,@,KAN,L 14-16,0,0,,0,,,,,,,0,0,5,193,38.60,0
26,1971,1971-12-19,14,25.166,OAK,,DEN,W 21-13,0,0,,0,,,,,,,0,0,3,123,41.00,0
27,1972,1972-09-17,1,26.073,OAK,@,PIT,L 28-34,0,0,,0,,,,,,,0,0,7,223,31.86,1
28,1972,1972-09-24,2,26.080,OAK,@,GNB,W 20-14,0,0,,0,,,,,,,0,0,4,179,44.75,0
29,1972,1972-10-01,3,26.087,OAK,,SDG,T 17-17,0,0,,0,,,,,,,0,0,5,195,39.00,0
30,1972,1972-10-09,4,26.095,OAK,@,HOU,W 34-0,0,0,,0,,,,,,,0,0,5,144,28.80,1
31,1972,1972-10-15,5,26.101,OAK,,BUF,W 28-16,0,0,,0,,,,,,,0,0,6,252,42.00,0
32,1972,1972-10-22,6,26.108,OAK,,DEN,L 23-30,0,0,,0,,,,,,,0,0,3,94,31.33,0
33,1972,1972-10-29,7,26.115,OAK,,RAM,W 45-17,0,0,,0,,,,,,,0,0,5,164,32.80,0
34,1972,1972-11-05,8,26.122,OAK,@,KAN,L 14-27,0,0,,0,,,,,,,0,0,4,172,43.00,0
35,1972,1972-11-12,9,26.129,OAK,@,CIN,W 20-14,0,0,,0,,,,,,,0,0,4,169,42.25,0
36,1972,1972-11-19,10,26.136,OAK,@,DEN,W 37-20,,,,,,,,,,,,,,,,
37,1972,1972-11-26,11,26.143,OAK,,KAN,W 26-3,0,0,,0,,,,,,,0,0,4,152,38.00,0
38,1972,1972-12-03,12,26.150,OAK,@,SDG,W 21-19,0,0,,0,,,,,,,0,0,3,130,43.33,0
39,1972,1972-12-11,13,26.158,OAK,,NYJ,W 24-16,0,0,,0,,,,,,,0,0,3,117,39.00,0
40,1972,1972-12-17,14,26.164,OAK,,CHI,W 28-21,0,0,,0,,,,,,,0,0,2,40,20.00,1
