ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1989,1989-09-10,1,24.082,CLE,@,PIT,W 51-0,,,,,0,0,,0
2,1989,1989-09-17,2,24.089,CLE,,NYJ,W 38-24,,,,,0,0,,0
3,1989,1989-09-25,3,24.097,CLE,@,CIN,L 14-21,,,,,0,0,,0
4,1989,1989-10-01,4,24.103,CLE,,DEN,W 16-13,0,0,,0,1,12,12.00,0
5,1990,1990-09-09,1,25.081,CLE,,PIT,W 13-3,0,0,,0,,,,
6,1990,1990-09-16,2,25.088,CLE,@,NYJ,L 21-24,1,4,4.00,0,0,0,,0
7,1990,1990-09-23,3,25.095,CLE,,SDG,L 14-24,0,0,,0,,,,
8,1990,1990-09-30,4,25.102,CLE,@,KAN,L 0-34,0,0,,0,,,,
9,1990,1990-10-08,5,25.110,CLE,@,DEN,W 30-29,2,39,19.50,0,0,0,,0
10,1990,1990-10-14,6,25.116,CLE,@,NOR,L 20-25,1,14,14.00,0,0,0,,0
11,1990,1990-10-22,7,25.124,CLE,,CIN,L 13-34,0,0,,0,,,,
12,1990,1990-10-28,8,25.130,CLE,@,SFO,L 17-20,1,12,12.00,0,0,0,,0
13,1990,1990-11-04,9,25.137,CLE,,BUF,L 0-42,0,0,,0,,,,
14,1990,1990-11-18,10,25.151,CLE,,HOU,L 23-35,0,0,,0,,,,
15,1990,1990-11-25,11,25.158,CLE,,MIA,L 13-30,0,0,,0,,,,
16,1990,1990-12-02,12,25.165,CLE,,RAM,L 23-38,0,0,,0,,,,
17,1990,1990-12-09,13,25.172,CLE,@,HOU,L 14-58,0,0,,0,,,,
18,1990,1990-12-16,14,25.179,CLE,,ATL,W 13-10,0,0,,0,,,,
19,1990,1990-12-23,15,25.186,CLE,@,PIT,L 0-35,0,0,,0,,,,
20,1990,1990-12-30,16,25.193,CLE,@,CIN,L 14-21,1,17,17.00,0,0,0,,0
