ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1996,1996-09-08,2,23.086,DAL,,NYG,W 27-0,,,,,,0.0%,,,,,,,,,,,
2,1996,1996-09-15,3,23.093,DAL,,IND,L 24-25,,,,,,0.0%,,,,,,,,,,,
3,1996,1996-09-22,4,23.100,DAL,@,BUF,L 7-10,,,,,,0.0%,,,,,,,,,,,
4,1996,1996-09-30,5,23.108,DAL,@,PHI,W 23-19,,,,,,0.0%,,,,,,,,,,,
5,1996,1996-12-22,16,23.191,DAL,@,WAS,L 10-37,1,1,32,32.00,0,100.0%,32.00,0,0,,0,0,0,,0,0,0
6,1997,1997-08-31,1,24.078,DAL,@,PIT,W 37-7,,,,,,0.0%,,,,,,,,,,,
7,1997,1997-09-07,2,24.085,DAL,@,ARI,L 22-25,6,5,53,10.60,0,83.3%,8.83,0,0,,0,0,0,,0,0,0
8,1997,1997-09-15,3,24.093,DAL,,PHI,W 21-20,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,0,0
9,1997,1997-09-28,4,24.106,DAL,,CHI,W 27-3,,,,,,0.0%,,,,,,,,,,,
10,1997,1997-10-05,5,24.113,DAL,@,NYG,L 17-20,6,3,40,13.33,0,50.0%,6.67,0,0,,0,0,0,,0,0,0
11,1997,1997-10-13,6,24.121,DAL,@,WAS,L 16-21,3,3,34,11.33,0,100.0%,11.33,0,0,,0,0,0,,0,0,0
12,1997,1997-10-19,7,24.127,DAL,,JAX,W 26-22,3,3,25,8.33,1,100.0%,8.33,0,0,,0,0,0,,0,1,6
13,1997,1997-10-26,8,24.134,DAL,@,PHI,L 12-13,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0
14,1997,1997-11-02,9,24.141,DAL,@,SFO,L 10-17,7,5,36,7.20,0,71.4%,5.14,0,0,,0,0,0,,0,0,0
15,1997,1997-11-09,10,24.148,DAL,,ARI,W 24-6,1,1,20,20.00,0,100.0%,20.00,0,0,,0,0,0,,0,0,0
16,1997,1997-11-16,11,24.155,DAL,,WAS,W 17-14,6,2,22,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,0
17,1997,1997-11-23,12,24.162,DAL,@,GNB,L 17-45,4,1,7,7.00,0,25.0%,1.75,0,0,,0,0,0,,0,0,0
18,1997,1997-11-27,13,24.166,DAL,,TEN,L 14-27,1,,,,,0.0%,,,,,,,,,,,
19,1997,1997-12-08,14,24.177,DAL,,CAR,L 13-23,5,3,32,10.67,0,60.0%,6.40,0,0,,0,1,14,14.00,0,0,0
20,1997,1997-12-14,15,24.183,DAL,@,CIN,L 24-31,3,0,0,,0,0.0%,0.00,0,0,,0,1,0,0.00,0,0,0
21,1997,1997-12-21,16,24.190,DAL,,NYG,L 7-20,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0
22,1998,1998-10-18,6,25.126,CIN,@,TEN,L 14-44,,,,,,0.0%,,,,,,,,,,,
23,1998,1998-12-06,13,25.175,CIN,,BUF,L 20-33,4,,,,,0.0%,,,,,,,,,,,
24,1998,1998-12-13,14,25.182,CIN,@,IND,L 26-39,4,3,49,16.33,1,75.0%,12.25,0,0,,0,0,0,,0,1,6
25,1998,1998-12-20,15,25.189,CIN,@,PIT,W 25-24,4,3,32,10.67,0,75.0%,8.00,1,20,20.00,0,0,0,,0,0,0
26,1998,1998-12-27,16,25.196,CIN,,TAM,L 0-35,1,0,0,,0,0.0%,0.00,0,0,,0,2,16,8.00,0,0,0
