ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2015,2015-09-14,1,21.105,SFO,,MIN,W 20-3,,3,140,46.67,0
2,2015,2015-09-20,2,21.111,SFO,@,PIT,L 18-43,,4,171,42.75,0
3,2015,2015-09-27,3,21.118,SFO,@,ARI,L 7-47,,6,283,47.17,0
4,2015,2015-10-04,4,21.125,SFO,,GNB,L 3-17,,6,247,41.17,0
5,2015,2015-10-11,5,21.132,SFO,@,NYG,L 27-30,,3,138,46.00,0
6,2015,2015-10-18,6,21.139,SFO,,BAL,W 25-20,,4,152,38.00,0
7,2015,2015-10-22,7,21.143,SFO,,SEA,L 3-20,,9,390,43.33,0
8,2015,2015-11-01,8,21.153,SFO,@,STL,L 6-27,,9,412,45.78,0
9,2015,2015-11-08,9,21.160,SFO,,ATL,W 17-16,,5,241,48.20,0
10,2015,2015-11-22,10,21.174,SFO,@,SEA,L 13-29,,7,306,43.71,0
11,2015,2015-11-29,11,21.181,SFO,,ARI,L 13-19,,4,166,41.50,0
12,2015,2015-12-06,12,21.188,SFO,@,CHI,W 26-20,,9,433,48.11,0
13,2015,2015-12-13,13,21.195,SFO,@,CLE,L 10-24,,7,286,40.86,0
14,2015,2015-12-20,14,21.202,SFO,,CIN,L 14-24,,7,284,40.57,0
15,2015,2015-12-27,15,21.209,SFO,@,DET,L 17-32,,3,125,41.67,0
16,2015,2016-01-03,16,21.216,SFO,,STL,W 19-16,,5,195,39.00,0
17,2016,2016-09-12,1,22.103,SFO,,LAR,W 28-0,,7,319,45.57,0
18,2016,2016-09-18,2,22.109,SFO,@,CAR,L 27-46,,7,318,45.43,0
19,2016,2016-09-25,3,22.116,SFO,@,SEA,L 18-37,,7,319,45.57,0
20,2016,2016-10-02,4,22.123,SFO,,DAL,L 17-24,,4,196,49.00,0
21,2016,2016-10-06,5,22.127,SFO,,ARI,L 21-33,,7,349,49.86,0
22,2016,2016-10-16,6,22.137,SFO,@,BUF,L 16-45,,5,209,41.80,0
23,2016,2016-10-23,7,22.144,SFO,,TAM,L 17-34,,6,254,42.33,0
24,2016,2016-11-06,8,22.158,SFO,,NOR,L 23-41,,2,85,42.50,0
25,2016,2016-11-13,9,22.165,SFO,@,ARI,L 20-23,,7,305,43.57,0
26,2016,2016-11-20,10,22.172,SFO,,NWE,L 17-30,,8,333,41.63,0
27,2016,2016-11-27,11,22.179,SFO,@,MIA,L 24-31,,4,189,47.25,0
28,2016,2016-12-04,12,22.186,SFO,@,CHI,L 6-26,,8,308,38.50,0
29,2016,2016-12-11,13,22.193,SFO,,NYJ,L 17-23,,6,239,39.83,0
30,2016,2016-12-18,14,22.200,SFO,@,ATL,L 13-41,,7,318,45.43,0
31,2016,2016-12-24,15,22.206,SFO,@,LAR,W 22-21,,9,372,41.33,0
32,2016,2017-01-01,16,22.214,SFO,,SEA,L 23-25,,6,289,48.17,0
33,2017,2017-09-10,1,23.101,SFO,,CAR,L 3-23,,4,163,40.75,0
34,2017,2017-09-17,2,23.108,SFO,@,SEA,L 9-12,,7,307,43.86,0
35,2017,2017-09-21,3,23.112,SFO,,LAR,L 39-41,,2,83,41.50,0
36,2017,2017-10-01,4,23.122,SFO,@,ARI,L 15-18,,7,351,50.14,0
37,2017,2017-10-08,5,23.129,SFO,@,IND,L 23-26,,6,274,45.67,0
38,2017,2017-10-15,6,23.136,SFO,@,WAS,L 24-26,,6,254,42.33,0
39,2017,2017-10-22,7,23.143,SFO,,DAL,L 10-40,,4,180,45.00,0
40,2017,2017-10-29,8,23.150,SFO,@,PHI,L 10-33,,8,364,45.50,0
41,2017,2017-11-05,9,23.157,SFO,,ARI,L 10-20,,8,352,44.00,0
42,2017,2017-11-12,10,23.164,SFO,,NYG,W 31-21,,1,45,45.00,0
43,2017,2017-11-26,11,23.178,SFO,,SEA,L 13-24,,9,342,38.00,0
44,2017,2017-12-03,12,23.185,SFO,@,CHI,W 15-14,,2,72,36.00,0
45,2017,2017-12-10,13,23.192,SFO,@,HOU,W 26-16,,5,207,41.40,0
46,2017,2017-12-17,14,23.199,SFO,,TEN,W 25-23,,1,43,43.00,0
47,2017,2017-12-24,15,23.206,SFO,,JAX,W 44-33,,3,131,43.67,0
48,2017,2017-12-31,16,23.213,SFO,@,LAR,W 34-13,,2,87,43.50,0
49,2018,2018-09-09,1,24.100,SFO,@,MIN,L 16-24,,4,174,43.50,0
50,2018,2018-09-16,2,24.107,SFO,,DET,W 30-27,,5,227,45.40,0
51,2018,2018-09-23,3,24.114,SFO,@,KAN,L 27-38,,4,148,37.00,0
