ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2001,2001-09-09,1,23.028,MIA,@,TEN,W 31-23,*,4,2,52,26.00,0,50.0%,13.00,0,0,,0,0,0,,0,0,0,0.0,,
2,2001,2001-09-23,2,23.042,MIA,,OAK,W 18-15,,4,2,36,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,0.0,,
3,2001,2001-09-30,3,23.049,MIA,@,STL,L 10-42,,5,4,59,14.75,0,80.0%,11.80,0,0,,0,2,69,34.50,0,0,0,0.0,,
4,2001,2001-10-07,4,23.056,MIA,,NWE,W 30-10,,1,0,0,,0,0.0%,0.00,0,0,,0,3,67,22.33,0,0,0,0.0,,
5,2001,2001-10-14,5,23.063,MIA,@,NYJ,L 17-21,,5,3,53,17.67,0,60.0%,10.60,0,0,,0,3,84,28.00,0,0,0,0.0,,
6,2001,2001-10-28,6,23.077,MIA,@,SEA,W 24-20,,5,3,76,25.33,0,60.0%,15.20,1,-11,-11.00,0,5,109,21.80,0,0,0,0.0,,
7,2001,2001-11-04,7,23.084,MIA,,CAR,W 23-6,,7,4,54,13.50,0,57.1%,7.71,0,0,,0,3,80,26.67,0,0,0,0.0,,
8,2001,2001-11-11,8,23.091,MIA,@,IND,W 27-24,*,7,3,113,37.67,2,42.9%,16.14,0,0,,0,5,127,25.40,0,2,12,0.0,,
9,2001,2001-11-18,9,23.098,MIA,,NYJ,L 0-24,,5,2,25,12.50,0,40.0%,5.00,0,0,,0,3,57,19.00,0,0,0,0.0,,
10,2001,2001-11-25,10,23.105,MIA,@,BUF,W 34-27,,10,5,101,20.20,2,50.0%,10.10,0,0,,0,3,28,9.33,0,2,12,0.0,,
11,2001,2001-12-02,11,23.112,MIA,,DEN,W 21-10,*,5,3,35,11.67,1,60.0%,7.00,0,0,,0,3,70,23.33,0,1,6,0.0,,
12,2001,2001-12-10,12,23.120,MIA,,IND,W 41-6,,4,3,36,12.00,2,75.0%,9.00,0,0,,0,1,17,17.00,0,2,12,0.0,,
13,2001,2001-12-16,13,23.126,MIA,@,SFO,L 0-21,*,7,2,27,13.50,0,28.6%,3.86,0,0,,0,4,87,21.75,0,0,0,0.0,,
14,2001,2001-12-22,14,23.132,MIA,@,NWE,L 13-20,*,11,7,124,17.71,0,63.6%,11.27,0,0,,0,1,16,16.00,0,0,0,0.0,,
15,2001,2001-12-30,15,23.140,MIA,,ATL,W 21-14,*,5,2,44,22.00,0,40.0%,8.80,0,0,,0,0,0,,0,0,0,0.0,,
16,2001,2002-01-06,16,23.147,MIA,,BUF,W 34-7,*,5,3,48,16.00,0,60.0%,9.60,0,0,,0,0,0,,0,0,0,0.0,,
17,2002,2002-09-08,1,24.027,MIA,,DET,W 49-21,*,4,3,36,12.00,1,75.0%,9.00,0,0,,0,0,0,,0,1,6,0.0,,
18,2002,2002-09-15,2,24.034,MIA,@,IND,W 21-13,*,4,4,57,14.25,0,100.0%,14.25,0,0,,0,0,0,,0,0,0,0.0,,
