ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1999,1999-09-12,1,24.232,CLE,,PIT,L 0-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1999,1999-09-19,2,24.239,CLE,@,TEN,L 9-26,,0,0,,0,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0.0,,,0,0,,0
3,1999,1999-09-26,3,24.246,CLE,@,BAL,L 10-17,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
4,1999,1999-10-03,4,24.253,CLE,,NWE,L 7-19,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,,1,0.0,0,1,0.0,,,0,0,,0
5,1999,1999-10-10,5,24.260,CLE,,CIN,L 17-18,,1,4,4.00,1,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,1,11,0.0,,,0,0,,0
6,1999,1999-10-17,6,24.267,CLE,@,JAX,L 7-24,,0,0,,0,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1,,,,,,,
7,1999,1999-10-24,7,24.274,CLE,@,STL,L 3-34,,0,0,,0,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0.0,,,0,0,,0
8,1999,1999-10-31,8,24.281,CLE,@,NOR,W 21-16,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,,1,0.0,0,3,0.0,,,0,0,,0
9,1999,1999-11-07,9,24.288,CLE,,BAL,L 9-41,,0,0,,0,0,0,,0,0,0,,,,,,,1,0.0,1,1,100.0,0,3,0.0,,,0,0,,0
10,1999,1999-11-14,10,24.295,CLE,@,PIT,W 16-15,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
11,1999,1999-11-21,11,24.302,CLE,,CAR,L 17-31,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,1,2,50.0,0,5,0.0,,,0,0,,0
12,1999,1999-11-28,12,24.309,CLE,,TEN,L 21-33,,0,0,,0,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3,,,,,,,
13,1999,1999-12-05,13,24.316,CLE,@,SDG,L 10-23,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,2,50.0,0,4,0.0,,,0,0,,0
14,1999,1999-12-12,14,24.323,CLE,@,CIN,L 28-44,,0,0,,0,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,,,,,,,
15,1999,1999-12-19,15,24.330,CLE,,JAX,L 14-24,,0,0,,0,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,,,,,,,
16,1999,1999-12-26,16,24.337,CLE,,IND,L 28-29,,0,0,,0,0,0,,0,0,,,,,,,4,4,100.0,,,,0,4,,,,,,,
17,2000,2000-09-03,1,25.224,CLE,,JAX,L 7-27,,0,0,,0,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1,,,,,,,
18,2000,2000-09-10,2,25.231,CLE,@,CIN,W 24-7,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0.0,,,0,0,,0
19,2000,2000-09-17,3,25.238,CLE,,PIT,W 23-20,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,3,3,100.0,0,11,0.0,,,0,0,,0
20,2000,2000-09-24,4,25.245,CLE,@,OAK,L 10-36,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,2,50.0,0,4,0.0,,,0,0,,0
21,2000,2000-10-01,5,25.252,CLE,,BAL,L 0-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2000,2000-10-08,6,25.259,CLE,@,ARI,L 21-29,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,,1,0.0,0,3,0.0,,,0,0,,0
23,2000,2000-10-15,7,25.266,CLE,@,DEN,L 10-44,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
24,2000,2000-10-22,8,25.273,CLE,@,PIT,L 0-22,,0,0,,0,0,0,,0,0,0,,,,,,,,,,1,0.0,0,0,0.0,,,0,0,,0
25,2000,2000-10-29,9,25.280,CLE,,CIN,L 3-12,,0,0,,0,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0.0,,,0,0,,0
26,2000,2000-11-05,10,25.287,CLE,,NYG,L 3-24,,0,0,,0,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0.0,,,0,0,,0
27,2000,2000-11-12,11,25.294,CLE,,NWE,W 19-11,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,4,4,100.0,0,13,0.0,,,0,0,,0
28,2000,2000-11-19,12,25.301,CLE,@,TEN,L 10-24,,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
29,2000,2000-11-26,13,25.308,CLE,@,BAL,L 7-44,,0,0,,0,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1,,,,,,,
30,2000,2000-12-03,14,25.315,CLE,@,JAX,L 0-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2000,2000-12-10,15,25.322,CLE,,PHI,L 24-35,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0.0,,,0,0,,0
32,2000,2000-12-17,16,25.329,CLE,,TEN,L 0-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2001,2001-09-09,1,26.229,CLE,,SEA,L 6-9,,0,0,,0,0,0,,0,0,0,,,,,,,,,2,3,66.7,0,6,0.0,,,0,0,,0
34,2001,2001-09-23,2,26.243,CLE,,DET,W 24-14,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,1,2,50.0,0,6,0.0,,,0,0,,0
