ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1996,1996-09-01,1,22.275,SFO,,NOR,W 27-11,,0,0,,0,0.0%,
2,1996,1996-09-08,2,22.282,SFO,,STL,W 34-0,,0,0,,0,0.0%,
3,1996,1996-09-29,4,22.303,SFO,,ATL,W 39-17,2,1,5,5.00,0,50.0%,2.50
4,1996,1996-10-06,5,22.310,SFO,@,STL,W 28-11,2,1,7,7.00,0,50.0%,3.50
5,1996,1996-10-14,6,22.318,SFO,@,GNB,L 20-23,0,0,0,,0,0.0%,
6,1996,1996-10-20,7,22.324,SFO,,CIN,W 28-21,,0,0,,0,0.0%,
7,1996,1996-10-27,8,22.331,SFO,@,HOU,W 10-9,1,1,6,6.00,0,100.0%,6.00
8,1996,1996-11-03,9,22.338,SFO,@,NOR,W 24-17,,0,0,,0,0.0%,
9,1996,1996-11-10,10,22.345,SFO,,DAL,L 17-20,0,0,0,,0,0.0%,
10,1996,1996-11-17,11,22.352,SFO,,BAL,W 38-20,,0,0,,0,0.0%,
11,1996,1996-12-08,14,23.007,SFO,,CAR,L 24-30,,0,0,,0,0.0%,
