ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2008,2008-09-07,1,23.070,PHI,,STL,W 38-3,,1,15,15.00,0,0,0,0.0,0,0,0,0,0
2,2008,2008-09-15,2,23.078,PHI,@,DAL,L 37-41,,6,153,25.50,0,0,0,0.0,0,0,0,0,0
3,2008,2008-09-21,3,23.084,PHI,,PIT,W 15-6,,2,58,29.00,0,0,0,0.0,0,0,0,0,0
4,2008,2008-09-28,4,23.091,PHI,@,CHI,L 20-24,,4,99,24.75,0,0,0,0.0,0,0,0,0,0
5,2008,2008-10-05,5,23.098,PHI,,WAS,L 17-23,,4,66,16.50,0,0,0,0.0,0,0,0,0,0
6,2008,2008-10-12,6,23.105,PHI,@,SFO,W 40-26,,4,116,29.00,0,0,0,0.0,0,1,0,0,0
7,2008,2008-10-26,7,23.119,PHI,,ATL,W 27-14,,2,33,16.50,0,0,0,0.0,0,0,0,0,0
8,2008,2008-11-02,8,23.126,PHI,@,SEA,W 26-7,,2,63,31.50,0,0,0,0.0,0,0,0,0,0
9,2008,2008-11-09,9,23.133,PHI,,NYG,L 31-36,,8,220,27.50,0,0,0,0.0,0,0,0,0,0
10,2008,2008-11-16,10,23.140,PHI,@,CIN,T 13-13,,4,70,17.50,0,0,0,0.0,0,0,0,0,0
11,2008,2008-11-23,11,23.147,PHI,@,BAL,L 7-36,,4,177,44.25,1,1,6,0.0,0,0,0,0,0
12,2008,2008-11-27,12,23.151,PHI,,ARI,W 48-20,,4,97,24.25,0,0,0,0.0,1,0,0,0,0
13,2008,2008-12-07,13,23.161,PHI,@,NYG,W 20-14,,1,19,19.00,0,0,0,0.0,0,1,0,0,0
14,2008,2008-12-15,14,23.169,PHI,,CLE,W 30-10,,3,88,29.33,0,0,0,1.0,1,0,0,0,0
15,2008,2008-12-21,15,23.175,PHI,@,WAS,L 3-10,,1,18,18.00,0,0,0,0.0,1,0,0,0,0
16,2008,2008-12-28,16,23.182,PHI,,DAL,W 44-6,,2,22,11.00,0,0,0,0.0,2,0,0,0,0
17,2009,2009-09-13,1,24.076,PHI,@,CAR,W 38-10,,,,,,,,,,,,,
18,2009,2009-10-18,5,24.111,PHI,@,OAK,L 9-13,,3,55,18.33,0,0,0,0.0,0,0,0,0,0
19,2009,2009-10-26,6,24.119,PHI,@,WAS,W 27-17,,0,0,,0,0,0,0.0,1,0,0,0,0
20,2009,2009-11-01,7,24.125,PHI,,NYG,W 40-17,,0,0,,0,0,0,0.0,2,2,1,12,0
21,2009,2009-11-08,8,24.132,PHI,,DAL,L 16-20,,0,0,,0,0,0,0.0,0,1,0,0,0
22,2009,2009-11-29,11,24.153,PHI,,WAS,W 27-24,,0,0,,0,0,0,0.0,2,0,0,0,0
23,2009,2009-12-06,12,24.160,PHI,@,ATL,W 34-7,,0,0,,0,0,0,0.0,1,0,0,0,0
24,2009,2009-12-13,13,24.167,PHI,@,NYG,W 45-38,,1,30,30.00,0,0,0,0.0,0,0,0,0,0
25,2009,2009-12-20,14,24.174,PHI,,SFO,W 27-13,,2,70,35.00,0,0,0,0.0,1,0,0,0,0
26,2010,2010-12-26,15,25.180,HOU,@,DEN,L 23-24,,,,,,,,,,,,,
27,2010,2011-01-02,16,25.187,HOU,,JAX,W 34-17,,0,0,,0,0,0,0.0,0,0,0,0,0
28,2011,2011-10-30,8,26.123,HOU,,JAX,W 24-14,,0,0,,0,0,0,0.0,0,1,0,0,0
29,2011,2011-11-06,9,26.130,HOU,,CLE,W 30-12,,0,0,,0,0,0,0.0,2,0,1,42,0
30,2011,2011-11-13,10,26.137,HOU,@,TAM,W 37-9,,0,0,,0,0,0,0.0,3,1,1,5,0
31,2011,2011-11-27,11,26.151,HOU,@,JAX,W 20-13,,0,0,,0,0,0,0.0,2,1,0,0,0
32,2011,2011-12-04,12,26.158,HOU,,ATL,W 17-10,,0,0,,0,0,0,0.0,4,0,0,0,0
33,2011,2011-12-11,13,26.165,HOU,@,CIN,W 20-19,,1,20,20.00,0,0,0,0.0,0,0,0,0,0
34,2011,2011-12-18,14,26.172,HOU,,CAR,L 13-28,,2,84,42.00,0,0,0,0.0,1,0,0,0,0
35,2011,2011-12-22,15,26.176,HOU,@,IND,L 16-19,,1,33,33.00,0,0,0,0.0,0,2,0,0,0
36,2011,2012-01-01,16,26.186,HOU,,TEN,L 22-23,,1,32,32.00,0,0,0,0.0,6,0,0,0,0
37,2012,2012-09-09,1,27.072,HOU,,MIA,W 30-10,,0,0,,0,0,0,0.0,1,1,0,0,0
38,2012,2012-09-16,2,27.079,HOU,@,JAX,W 27-7,,0,0,,0,0,0,0.0,2,0,0,0,0
