ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1985,1985-11-17,11,25.090,NOR,@,GNB,L 14-38,*,18,36,50.00,186,0,0,65.3,6,61,5.17,5.17,1,7,7.00,0,,1,7,7.00,1,,,1,6
2,1985,1985-11-24,12,25.097,NOR,@,MIN,W 30-23,*,10,14,71.43,147,1,1,99.4,1,10,10.50,8.71,3,9,3.00,0,,0,0,,0,,,0,0
3,1985,1985-12-01,13,25.104,NOR,,RAM,W 29-3,*,13,22,59.09,208,1,0,105.9,2,12,9.45,10.36,2,-7,-3.50,0,,0,0,,0,,,0,0
4,1985,1985-12-08,14,25.111,NOR,@,STL,L 16-28,*,19,39,48.72,225,1,2,53.9,2,17,5.77,3.97,3,9,3.00,0,,0,0,,0,,,0,0
5,1985,1985-12-15,15,25.118,NOR,,SFO,L 19-31,*,20,34,58.82,254,1,0,92.0,5,40,7.47,8.06,2,10,5.00,0,,0,0,,0,,,0,0
6,1985,1985-12-22,16,25.125,NOR,,ATL,L 10-16,*,17,36,47.22,188,1,1,60.9,1,10,5.22,4.53,1,-2,-2.00,0,,0,0,,0,,,0,0
7,1986,1986-09-07,1,26.019,NOR,,ATL,L 10-31,*,13,33,39.39,115,0,2,24.2,2,14,3.48,0.76,1,3,3.00,0,,0,0,,0,,,0,0
8,1986,1986-09-14,2,26.026,NOR,,GNB,W 24-10,*,9,14,64.29,200,1,2,92.0,1,9,14.29,9.29,1,-2,-2.00,0,,0,0,,0,,,0,0
9,1986,1986-09-21,3,26.033,NOR,@,SFO,L 17-26,*,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,,0,,,0,
10,1986,1986-12-14,15,26.117,NOR,@,ATL,W 14-9,,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,,0,,,0,
11,1986,1986-12-21,16,26.124,NOR,@,MIN,L 17-33,,19,32,59.38,183,1,4,46.2,1,3,5.72,0.72,3,13,4.33,0,,1,1,1.00,0,,,0,0
12,1987,1987-09-13,1,27.025,NOR,,CLE,W 28-21,*,13,22,59.09,149,2,0,109.8,1,2,6.77,8.59,1,13,13.00,0,,0,0,,0,,,0,0
13,1987,1987-09-20,2,27.032,NOR,@,PHI,L 17-27,*,14,32,43.75,127,1,3,26.4,2,11,3.97,0.38,1,9,9.00,0,,0,0,,0,,,0,0
14,1987,1987-10-25,6,27.067,NOR,,SFO,L 22-24,*,14,27,51.85,202,0,1,61.0,0,0,7.48,5.81,1,9,9.00,0,,0,0,,0,,,0,0
15,1987,1987-11-01,7,27.074,NOR,@,ATL,W 38-0,*,16,26,61.54,171,1,0,93.6,1,5,6.58,7.35,3,24,8.00,0,,0,0,,0,,,0,0
16,1987,1987-11-08,8,27.081,NOR,@,RAM,W 31-14,*,12,20,60.00,188,2,1,103.7,0,0,9.40,9.15,2,25,12.50,0,,0,0,,0,,,0,0
17,1987,1987-11-15,9,27.088,NOR,@,SFO,W 26-24,*,10,27,37.04,181,1,1,57.8,3,25,6.70,5.78,0,0,,0,,0,0,,0,,,0,0
18,1987,1987-11-22,10,27.095,NOR,,NYG,W 23-14,*,17,27,62.96,194,1,1,81.4,3,19,7.19,6.26,1,-2,-2.00,0,,0,0,,0,,,0,0
19,1987,1987-11-29,11,27.102,NOR,@,PIT,W 20-16,*,14,23,60.87,154,1,1,77.1,2,10,6.70,5.61,2,0,0.00,0,,0,0,,0,,,0,0
20,1987,1987-12-06,12,27.109,NOR,,TAM,W 44-34,*,16,24,66.67,255,2,0,129.7,1,7,10.63,12.29,0,0,,0,,0,0,,0,,,0,0
21,1987,1987-12-13,13,27.116,NOR,,HOU,W 24-10,*,15,27,55.56,254,3,0,124.6,3,14,9.41,11.63,0,0,,0,,0,0,,0,,,0,0
22,1987,1987-12-20,14,27.123,NOR,@,CIN,W 41-24,*,7,16,43.75,84,0,0,60.4,2,14,5.25,5.25,0,0,,0,,0,0,,0,,,0,0
23,1987,1987-12-27,15,27.130,NOR,,GNB,W 33-24,*,16,23,69.57,160,1,1,85.4,2,12,6.96,5.87,2,17,8.50,0,,0,0,,0,,,0,0
24,1988,1988-09-04,1,28.016,NOR,,SFO,L 33-34,*,22,31,70.97,245,4,2,106.9,5,48,7.90,7.58,1,16,16.00,0,,0,0,,0,,,0,0
25,1988,1988-09-11,2,28.023,NOR,@,ATL,W 29-21,*,20,27,74.07,222,1,0,110.4,0,0,8.22,8.96,4,0,0.00,0,,0,0,,0,,,0,0
26,1988,1988-09-18,3,28.030,NOR,@,DET,W 22-14,*,23,32,71.88,282,1,1,96.1,0,0,8.81,8.03,1,9,9.00,0,,0,0,,0,,,0,0
27,1988,1988-09-25,4,28.037,NOR,,TAM,W 13-9,*,16,28,57.14,159,1,1,70.4,1,8,5.68,4.79,4,0,0.00,0,,0,0,,0,,,0,0
28,1988,1988-10-03,5,28.045,NOR,,DAL,W 20-17,*,17,37,45.95,273,2,1,77.9,1,5,7.38,7.24,0,0,,0,,0,0,,0,,,0,0
29,1988,1988-10-09,6,28.051,NOR,@,SDG,W 23-17,*,22,36,61.11,234,2,0,98.6,1,3,6.50,7.61,2,-4,-2.00,0,,0,0,,0,,,0,0
30,1988,1988-10-16,7,28.058,NOR,@,SEA,W 20-19,*,16,22,72.73,185,1,1,93.9,1,8,8.41,7.27,3,-4,-1.33,0,,0,0,,0,,,0,0
31,1988,1988-10-23,8,28.065,NOR,,RAI,W 20-6,*,12,24,50.00,137,0,0,67.5,2,10,5.71,5.71,4,-3,-0.75,0,,0,0,,0,,,0,0
32,1988,1988-10-30,9,28.072,NOR,,RAM,L 10-12,*,19,37,51.35,215,1,1,66.8,2,6,5.81,5.14,0,0,,0,,1,-2,-2.00,0,,,0,0
33,1988,1988-11-06,10,28.079,NOR,@,WAS,L 24-27,*,19,32,59.38,279,2,0,108.7,1,7,8.72,9.97,0,0,,0,,0,0,,0,,,0,0
