ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1985,1985-09-08,1,21.269,NYJ,@,RAI,L 0-31,3,42,14.00,0,0,0,,0,0.0,0,0,0
2,1985,1985-09-15,2,21.276,NYJ,,BUF,W 42-3,0,0,,0,,,,,,,,
3,1985,1985-09-22,3,21.283,NYJ,@,GNB,W 24-3,0,0,,0,,,,,,,,
4,1985,1985-09-29,4,21.290,NYJ,,IND,W 25-20,0,0,,0,,,,,,,,
5,1985,1985-10-06,5,21.297,NYJ,@,CIN,W 29-20,0,0,,0,,,,,,,,
6,1985,1985-10-14,6,21.305,NYJ,,MIA,W 23-7,0,0,,0,,,,,,,,
7,1985,1985-10-20,7,21.311,NYJ,@,NWE,L 13-20,0,0,,0,,,,,,,,
8,1985,1985-10-27,8,21.318,NYJ,,SEA,W 17-14,0,0,,0,,,,,,,,
9,1985,1985-11-03,9,21.325,NYJ,@,IND,W 35-17,0,0,,0,,,,,,,,
10,1985,1985-11-10,10,21.332,NYJ,@,MIA,L 17-21,0,0,,0,,,,,,,,
11,1986,1986-09-07,1,22.268,PIT,@,SEA,L 0-30,6,113,18.83,0,0,0,,0,0.0,0,0,0
12,1986,1986-09-15,2,22.276,PIT,,DEN,L 10-21,1,13,13.00,0,0,0,,0,0.0,0,0,0
13,1986,1986-09-21,3,22.282,PIT,@,MIN,L 7-31,6,123,20.50,0,0,0,,0,0.0,0,0,0
14,1986,1986-09-28,4,22.289,PIT,@,HOU,W 22-16,1,26,26.00,0,0,0,,0,0.0,0,0,0
15,1986,1986-10-05,5,22.296,PIT,,CLE,L 24-27,2,44,22.00,0,0,0,,0,0.0,0,0,0
16,1986,1986-10-13,6,22.304,PIT,@,CIN,L 22-24,5,106,21.20,0,0,0,,0,0.0,0,0,0
17,1986,1986-11-02,9,22.324,PIT,,GNB,W 27-3,0,0,,0,,,,,,,,
18,1986,1986-11-09,10,22.331,PIT,@,BUF,L 12-16,0,0,,0,,,,,,,,
19,1986,1986-11-23,12,22.345,PIT,@,CLE,L 31-37,0,0,,0,,,,,,,,
20,1986,1986-12-07,14,22.359,DET,@,PIT,L 17-27,0,0,,0,,,,,,,,
21,1986,1986-12-15,15,23.002,DET,,CHI,L 13-16,0,0,,0,,,,,,,,
22,1986,1986-12-21,16,23.008,DET,,ATL,L 6-20,1,10,10.00,0,0,0,,0,0.0,0,0,0
