ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1980,1980-12-21,16,22.243,GNB,@,DET,L 3-24,,,,,,,,,,
2,1981,1981-09-06,1,23.137,GNB,@,CHI,W 16-9,,,,,,,,,,
3,1981,1981-09-13,2,23.144,GNB,,ATL,L 17-31,,,,,,,,,,
4,1981,1981-09-20,3,23.151,GNB,@,RAM,L 23-35,,,,,,,,,,
5,1981,1981-09-27,4,23.158,GNB,,MIN,L 13-30,,,,,,,,,,
6,1981,1981-10-04,5,23.165,GNB,@,NYG,W 27-14,,,,,,,,,,
7,1981,1981-10-11,6,23.172,GNB,,TAM,L 10-21,,,,,,,,,,
8,1981,1981-10-18,7,23.179,GNB,,SFO,L 3-13,,,,,,,,,,
9,1981,1981-10-25,8,23.186,GNB,@,DET,L 27-31,,,,,,,,,,
10,1981,1981-11-01,9,23.193,GNB,,SEA,W 34-24,,,,,,,,,,
11,1981,1981-11-08,10,23.200,GNB,,NYG,W 26-24,0,0,,0,0,0,0.0,1,0,0
12,1981,1981-11-15,11,23.207,GNB,,CHI,W 21-17,0,0,,0,0,0,0.0,1,50,0
13,1981,1981-11-22,12,23.214,GNB,@,TAM,L 3-37,,,,,,,,,,
14,1981,1981-11-29,13,23.221,GNB,@,MIN,W 35-23,,,,,,,,,,
15,1981,1981-12-06,14,23.228,GNB,,DET,W 31-17,,,,,,,,,,
16,1981,1981-12-13,15,23.235,GNB,@,NOR,W 35-7,,,,,,,,,,
17,1981,1981-12-20,16,23.242,GNB,@,NYJ,L 3-28,0,0,,0,0,0,0.0,1,7,0
18,1982,1982-09-12,1,24.143,GNB,,RAM,W 35-23,,,,,,,,,,
19,1982,1982-09-20,2,24.151,GNB,@,NYG,W 27-19,,,,,,,,,,
20,1982,1982-11-21,3,24.213,GNB,,MIN,W 26-7,,,,,,,,,,
21,1982,1982-11-28,4,24.220,GNB,@,NYJ,L 13-15,,,,,,,,,,
22,1982,1982-12-05,5,24.227,GNB,,BUF,W 33-21,,,,,,,,,,
23,1982,1982-12-12,6,24.234,GNB,,DET,L 10-30,,,,,,,,,,
24,1982,1982-12-19,7,24.241,GNB,@,BAL,T 20-20,,,,,,,,,,
25,1982,1982-12-26,8,24.248,GNB,@,ATL,W 38-7,,,,,,,,,,
26,1982,1983-01-02,9,24.255,GNB,@,DET,L 24-27,,,,,,,,,,
27,1983,1983-09-04,1,25.135,GNB,@,HOU,W 41-38,,,,,,,,,,
28,1983,1983-09-11,2,25.142,GNB,,PIT,L 21-25,,,,,,,,,,
29,1983,1983-09-18,3,25.149,GNB,,RAM,W 27-24,,,,,,,,,,
30,1983,1983-09-26,4,25.157,GNB,@,NYG,L 3-27,,,,,,,,,,
31,1983,1983-10-02,5,25.163,GNB,,TAM,W 55-14,,,,,,,,,,
32,1983,1983-10-09,6,25.170,GNB,@,DET,L 14-38,,,,,,,,,,
33,1983,1983-10-17,7,25.178,GNB,,WAS,W 48-47,,,,,,,,,,
34,1983,1983-10-23,8,25.184,GNB,,MIN,L 17-20,,,,,,,,,,
35,1983,1983-10-30,9,25.191,GNB,@,CIN,L 14-34,,,,,,,,,,
36,1983,1983-11-06,10,25.198,GNB,,CLE,W 35-21,,,,,,,,,,
37,1983,1983-11-13,11,25.205,GNB,@,MIN,W 29-21,,,,,,,,,,
38,1983,1983-11-20,12,25.212,GNB,,DET,L 20-23,,,,,,,,,,
39,1983,1983-11-27,13,25.219,GNB,@,ATL,L 41-47,,,,,,,,,,
40,1983,1983-12-04,14,25.226,GNB,,CHI,W 31-28,,,,,,,,,,
41,1983,1983-12-12,15,25.234,GNB,@,TAM,W 12-9,,,,,,,,,,
42,1983,1983-12-18,16,25.240,GNB,@,CHI,L 21-23,,,,,,,,,,
43,1984,1984-09-02,1,26.133,GNB,,STL,W 24-23,0,0,,0,,,,,,
44,1984,1984-09-09,2,26.140,GNB,@,RAI,L 7-28,0,0,,0,,,,,,
45,1984,1984-09-16,3,26.147,GNB,,CHI,L 7-9,0,0,,0,0,0,1.0,0,0,0
46,1984,1984-09-23,4,26.154,GNB,@,DAL,L 6-20,0,0,,0,,,,,,
47,1984,1984-09-30,5,26.161,GNB,@,TAM,L 27-30,0,0,,0,0,0,1.0,0,0,0
48,1984,1984-10-07,6,26.168,GNB,,SDG,L 28-34,0,0,,0,,,,,,
49,1984,1984-10-15,7,26.176,GNB,@,DEN,L 14-17,0,0,,0,0,0,0.0,1,8,0
50,1984,1984-10-21,8,26.182,GNB,,SEA,L 24-30,0,0,,0,,,,,,
51,1984,1984-10-28,9,26.189,GNB,,DET,W 41-9,0,0,,0,,,,,,
52,1984,1984-11-04,10,26.196,GNB,@,NOR,W 23-13,0,0,,0,,,,,,
53,1984,1984-11-11,11,26.203,GNB,,MIN,W 45-17,,,,,,,,0,-4,0
54,1984,1984-11-18,12,26.210,GNB,,RAM,W 31-6,0,0,,0,,,,,,
55,1984,1984-11-22,13,26.214,GNB,@,DET,L 28-31,0,0,,0,,,,,,
56,1984,1984-12-02,14,26.224,GNB,,TAM,W 27-14,0,0,,0,,,,,,
57,1984,1984-12-09,15,26.231,GNB,@,CHI,W 20-14,0,0,,0,,,,,,
58,1984,1984-12-16,16,26.238,GNB,@,MIN,W 38-14,0,0,,0,,,,,,
59,1985,1985-09-08,1,27.139,GNB,@,NWE,L 20-26,0,0,,0,,,,,,
60,1985,1985-09-15,2,27.146,GNB,,NYG,W 23-20,0,0,,0,,,,,,
61,1985,1985-09-22,3,27.153,GNB,,NYJ,L 3-24,0,0,,0,,,,,,
62,1985,1985-09-29,4,27.160,GNB,@,STL,L 28-43,0,0,,0,,,,,,
63,1985,1985-10-06,5,27.167,GNB,,DET,W 43-10,0,0,,0,,,,,,
64,1985,1985-10-13,6,27.174,GNB,,MIN,W 20-17,0,0,,0,0,0,0.0,1,0,0
65,1985,1985-10-21,7,27.182,GNB,@,CHI,L 7-23,0,0,,0,,,,,,
66,1985,1985-10-27,8,27.188,GNB,@,IND,L 10-37,0,0,,0,,,,,,
67,1985,1985-11-10,10,27.202,GNB,@,MIN,W 27-17,0,0,,0,1,6,0.0,1,50,1
68,1985,1985-11-17,11,27.209,GNB,,NOR,W 38-14,0,0,,0,,,,,,
69,1985,1985-11-24,12,27.216,GNB,@,RAM,L 17-34,0,0,,0,0,0,1.0,0,0,0
70,1985,1985-12-01,13,27.223,GNB,,TAM,W 21-0,1,4,4.00,0,0,0,0.0,0,0,0
71,1985,1985-12-08,14,27.230,GNB,,MIA,L 24-34,0,0,,0,,,,,,
72,1985,1985-12-15,15,27.237,GNB,@,DET,W 26-23,0,0,,0,0,0,2.0,0,0,0
73,1985,1985-12-22,16,27.244,GNB,@,TAM,W 20-17,0,0,,0,0,0,1.0,0,0,0
74,1987,1987-09-13,1,29.144,GNB,,RAI,L 0-20,,,,,,,,,,
75,1987,1987-09-20,2,29.151,GNB,,DEN,T 17-17,,,,,,,,,,
76,1987,1987-10-25,6,29.186,GNB,@,DET,W 34-33,,,,,,,,,,
77,1987,1987-11-01,7,29.193,GNB,,TAM,L 17-23,,,,,,,,,,
78,1987,1987-11-08,8,29.200,GNB,,CHI,L 24-26,,,,,,,,,,
79,1987,1987-11-15,9,29.207,GNB,@,SEA,L 13-24,,,,,,,,,,
80,1987,1987-11-22,10,29.214,GNB,@,KAN,W 23-3,0,0,,0,0,0,1.0,0,0,0
81,1987,1987-11-29,11,29.221,GNB,@,CHI,L 10-23,,,,,,,,,,
82,1987,1987-12-06,12,29.228,GNB,,SFO,L 12-23,,,,,,,,,,
83,1987,1987-12-13,13,29.235,GNB,,MIN,W 16-10,0,0,,0,0,0,1.0,0,0,0
84,1987,1987-12-19,14,29.241,GNB,@,NYG,L 10-20,,,,,,,,,,
85,1987,1987-12-27,15,29.249,GNB,@,NOR,L 24-33,,,,,,,,,,
