ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1989,1989-11-05,9,23.192,PIT,@,DEN,L 7-34,,0,0,,0,,,,,,,,,,
2,1989,1989-11-12,10,23.199,PIT,,CHI,L 0-20,,0,0,,0,,,,,,,,,,
3,1989,1989-11-19,11,23.206,PIT,,SDG,W 20-17,,1,13,13.00,0,,,0,0,,0,0,0,,0
4,1989,1989-11-26,12,23.213,PIT,@,MIA,W 34-14,,0,0,,0,,,,,,,,,,
5,1989,1989-12-03,13,23.220,PIT,,HOU,L 16-23,,0,0,,0,,,,,,,,,,
6,1989,1989-12-10,14,23.227,PIT,@,NYJ,W 13-0,,2,34,17.00,0,,,0,0,,0,0,0,,0
7,1989,1989-12-17,15,23.234,PIT,,NWE,W 28-10,,1,27,27.00,0,,,0,0,,0,0,0,,0
8,1989,1989-12-24,16,23.241,PIT,@,TAM,W 31-22,,0,0,,0,,,,,,,,,,
9,1993,1993-10-04,4,27.160,WAS,@,MIA,L 10-17,,,,,,0.0%,,,,,,,,,
10,1993,1993-11-01,7,27.188,WAS,@,BUF,L 10-24,,,,,,0.0%,,,,,,,,,
11,1993,1993-12-11,13,27.228,WAS,,NYJ,L 0-3,,,,,,0.0%,,,,,,,,,
12,1996,1996-09-08,2,30.134,IND,@,NYJ,W 21-7,,0,0,,0,0.0%,,0,0,,0,0,0,,0
13,1996,1996-09-15,3,30.141,IND,@,DAL,W 25-24,,0,0,,0,0.0%,,0,0,,0,0,0,,0
14,1996,1996-09-23,4,30.149,IND,,MIA,W 10-6,,0,0,,0,0.0%,,0,0,,0,0,0,,0
15,1996,1996-10-13,6,30.169,IND,,BAL,W 26-21,,0,0,,0,0.0%,,0,0,,0,0,0,,0
16,1996,1996-10-20,7,30.176,IND,,NWE,L 9-27,,0,0,,0,0.0%,,0,0,,0,0,0,,0
17,1996,1996-10-27,8,30.183,IND,@,WAS,L 16-31,2,1,13,13.00,0,50.0%,6.50,5,102,20.40,0,0,0,,0
18,1996,1996-11-03,9,30.190,IND,,SDG,L 19-26,0,0,0,,0,0.0%,,7,152,21.71,0,0,0,,0
19,1996,1996-11-10,10,30.197,IND,@,MIA,L 13-37,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
20,1996,1996-11-17,11,30.204,IND,,NYJ,W 34-29,,0,0,,0,0.0%,,0,0,,0,0,0,,0
21,1996,1996-11-24,12,30.211,IND,@,NWE,L 13-27,,0,0,,0,0.0%,,0,0,,0,0,0,,0
22,1996,1996-12-01,13,30.218,IND,,BUF,W 13-10,1,1,11,11.00,0,100.0%,11.00,0,0,,0,5,13,2.60,0
23,1996,1996-12-05,14,30.222,IND,,PHI,W 37-10,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
24,1996,1996-12-15,15,30.232,IND,@,KAN,W 24-19,,0,0,,0,0.0%,,0,0,,0,0,0,,0
25,1996,1996-12-22,16,30.239,IND,@,CIN,L 24-31,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
