ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-11-18,10,22.154,STL,,NYJ,L 13-27,,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
2,2012,2012-11-25,11,22.161,STL,@,ARI,W 31-17,,,,,,,0.0%,,,,,,,
3,2012,2012-12-02,12,22.168,STL,,SFO,W 16-13,,,0,0,,0,0.0%,,,0,0,0.0,0,0
4,2012,2012-12-09,13,22.175,STL,@,BUF,W 15-12,,0,0,0,,0,0.0%,,,0,0,0.0,0,0
5,2012,2012-12-16,14,22.182,STL,,MIN,L 22-36,,1,1,21,21.00,0,100.0%,21.00,,0,0,0.0,0,0
6,2013,2013-09-15,2,23.090,STL,@,ATL,L 24-31,,1,1,6,6.00,0,100.0%,6.00,,0,0,0.0,0,0
7,2013,2013-09-22,3,23.097,STL,@,DAL,L 7-31,,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
8,2013,2013-09-26,4,23.101,STL,,SFO,L 11-35,,,,,,,0.0%,,,,,,,
9,2013,2013-10-06,5,23.111,STL,,JAX,W 34-20,*,2,1,17,17.00,0,50.0%,8.50,,0,0,0.0,0,0
10,2013,2013-10-13,6,23.118,STL,@,HOU,W 38-13,*,1,1,2,2.00,1,100.0%,2.00,,1,6,0.0,0,0
11,2013,2013-10-20,7,23.125,STL,@,CAR,L 15-30,*,2,2,14,7.00,0,100.0%,7.00,,0,0,0.0,0,0
12,2013,2013-10-28,8,23.133,STL,,SEA,L 9-14,*,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
13,2013,2013-11-03,9,23.139,STL,,TEN,L 21-28,*,,,,,,0.0%,,,,,,,
14,2013,2013-11-10,10,23.146,STL,@,IND,W 38-8,*,3,1,14,14.00,0,33.3%,4.67,,0,0,0.0,0,0
15,2013,2013-11-24,11,23.160,STL,,CHI,W 42-21,*,,,,,,0.0%,,,,,,,
16,2013,2013-12-01,12,23.167,STL,@,SFO,L 13-23,*,,,,,,0.0%,,,,,,,
17,2013,2013-12-08,13,23.174,STL,@,ARI,L 10-30,*,1,1,9,9.00,0,100.0%,9.00,,0,0,0.0,0,0
18,2013,2013-12-15,14,23.181,STL,,NOR,W 27-16,*,3,3,29,9.67,1,100.0%,9.67,,1,6,0.0,0,0
19,2013,2013-12-22,15,23.188,STL,,TAM,W 23-13,,3,3,22,7.33,0,100.0%,7.33,,0,0,0.0,0,0
20,2013,2013-12-29,16,23.195,STL,@,SEA,L 9-27,,,,,,,0.0%,,,,,,,
