ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1993,1993-09-12,2,23.212,TAM,@,NYG,L 7-23,,0,0,,0,0.0%,,,,,,,
2,1993,1993-09-26,3,23.226,TAM,@,CHI,L 17-47,4,2,78,39.00,1,50.0%,19.50,0,0,,0,1,6
3,1993,1993-10-10,5,23.240,TAM,@,MIN,L 0-15,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0
4,1993,1993-10-24,6,23.254,TAM,,GNB,L 14-37,5,0,0,,0,0.0%,0.00,,,,,,
5,1993,1993-10-31,7,23.261,TAM,@,ATL,W 31-24,1,0,0,,0,0.0%,0.00,,,,,,
6,1993,1993-11-07,8,23.268,TAM,@,DET,L 0-23,1,0,0,,0,0.0%,0.00,,,,,,
7,1993,1993-11-14,9,23.275,TAM,,SFO,L 21-45,4,1,12,12.00,0,25.0%,3.00,0,0,,0,0,0
8,1993,1993-11-21,10,23.282,TAM,,MIN,W 23-10,1,1,23,23.00,0,100.0%,23.00,0,0,,0,0,0
9,1993,1993-11-28,11,23.289,TAM,@,GNB,L 10-13,,0,0,,0,0.0%,,,,,,,
10,1993,1993-12-05,12,23.296,TAM,,WAS,L 17-23,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0
11,1993,1993-12-12,13,23.303,TAM,,CHI,W 13-10,1,0,0,,0,0.0%,0.00,,,,,,
12,1993,1993-12-19,14,23.310,TAM,@,RAI,L 20-27,1,0,0,,0,0.0%,0.00,,,,,,
13,1993,1993-12-26,15,23.317,TAM,@,DEN,W 17-10,1,0,0,,0,0.0%,0.00,,,,,,
14,1993,1994-01-02,16,23.324,TAM,,SDG,L 17-32,3,2,38,19.00,1,66.7%,12.67,0,0,,0,1,6
15,1994,1994-09-04,1,24.204,TAM,@,CHI,L 9-21,,0,0,,0,0.0%,,,,,,,
16,1994,1994-10-09,6,24.239,TAM,@,ATL,L 13-34,5,4,59,14.75,0,80.0%,11.80,0,0,,0,0,0
17,1994,1994-10-23,7,24.253,TAM,@,SFO,L 16-41,,0,0,,0,0.0%,,,,,,,
18,1994,1994-11-06,9,24.267,TAM,,CHI,L 6-20,3,1,14,14.00,0,33.3%,4.67,0,0,,0,0,0
19,1994,1994-11-13,10,24.274,TAM,@,DET,L 9-14,,0,0,,0,0.0%,,,,,,,
20,1994,1994-11-20,11,24.281,TAM,@,SEA,L 21-22,,0,0,,0,0.0%,,,,,,,
21,1994,1994-11-27,12,24.288,TAM,@,MIN,W 20-17,,0,0,,0,0.0%,,,,,,,
22,1994,1994-12-04,13,24.295,TAM,,WAS,W 26-21,1,0,0,,0,0.0%,0.00,,,,,,
23,1994,1994-12-11,14,24.302,TAM,,RAM,W 24-14,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0
24,1994,1994-12-18,15,24.309,TAM,@,WAS,W 17-14,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0
25,1994,1994-12-24,16,24.315,TAM,,GNB,L 19-34,,0,0,,0,0.0%,,,,,,,
26,1995,1995-09-10,2,25.210,TAM,@,CLE,L 6-22,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0
27,1995,1995-09-17,3,25.217,TAM,,CHI,L 6-25,3,1,20,20.00,0,33.3%,6.67,0,0,,0,0,0
28,1995,1995-09-24,4,25.224,TAM,,WAS,W 14-6,1,1,19,19.00,0,100.0%,19.00,1,5,5.00,0,0,0
29,1995,1995-10-01,5,25.231,TAM,@,CAR,W 20-13,1,0,0,,0,0.0%,0.00,0,0,,0,0,
30,1995,1995-11-12,10,25.273,TAM,@,DET,L 24-27,,0,0,,0,0.0%,,0,0,,0,0,
31,1995,1995-11-19,11,25.280,TAM,,JAX,W 17-16,,0,0,,0,0.0%,,0,0,,0,0,
32,1995,1995-11-26,12,25.287,TAM,@,GNB,L 13-35,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0
33,1995,1995-12-03,13,25.294,TAM,@,MIN,L 17-31,1,1,24,24.00,0,100.0%,24.00,0,0,,0,0,0
34,1995,1995-12-10,14,25.301,TAM,,GNB,W 13-10,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0
35,1995,1995-12-17,15,25.308,TAM,@,CHI,L 10-31,5,3,18,6.00,0,60.0%,3.60,0,0,,0,0,0
36,1995,1995-12-23,16,25.314,TAM,,DET,L 10-37,1,1,-6,-6.00,0,100.0%,-6.00,0,0,,0,0,0
37,1996,1996-09-01,1,26.202,MIA,,NWE,W 24-10,,0,0,,0,0.0%,,,,,,,
38,1996,1996-09-08,2,26.209,MIA,@,ARI,W 38-10,5,3,40,13.33,1,60.0%,8.00,0,0,,0,1,6
39,1996,1996-09-15,3,26.216,MIA,,NYJ,W 36-27,2,0,0,,0,0.0%,0.00,,,,,,
40,1996,1996-09-23,4,26.224,MIA,@,IND,L 6-10,5,2,21,10.50,0,40.0%,4.20,0,0,,0,0,0
41,1996,1996-11-03,9,26.265,MIA,@,NWE,L 23-42,6,3,71,23.67,0,50.0%,11.83,0,0,,0,0,0
42,1996,1996-11-25,12,26.287,MIA,,PIT,L 17-24,,0,0,,0,0.0%,,,,,,,
43,1996,1996-12-01,13,26.293,MIA,@,OAK,L 7-17,4,2,34,17.00,0,50.0%,8.50,0,0,,0,0,0
44,1996,1996-12-08,14,26.300,MIA,,NYG,L 7-17,,0,0,,0,0.0%,,,,,,,
45,1996,1996-12-22,16,26.314,MIA,@,NYJ,W 31-28,1,0,0,,0,0.0%,0.00,,,,,,
46,1997,1997-10-05,5,27.235,MIA,,KAN,W 17-14,3,3,43,14.33,0,100.0%,14.33,0,0,,0,0,0
47,1997,1997-10-12,6,27.242,MIA,@,NYJ,W 31-20,9,5,75,15.00,1,55.6%,8.33,0,0,,0,1,6
48,1997,1997-10-19,7,27.249,MIA,@,BAL,W 24-13,5,2,15,7.50,0,40.0%,3.00,0,0,,0,0,0
49,1997,1997-10-27,8,27.257,MIA,,CHI,L 33-36,3,0,0,,0,0.0%,0.00,,,,,,
50,1997,1997-11-02,9,27.263,MIA,@,BUF,L 6-9,2,0,0,,0,0.0%,0.00,,,,,,
51,1997,1997-11-09,10,27.270,MIA,,NYJ,W 24-17,3,2,30,15.00,0,66.7%,10.00,0,0,,0,0,0
52,1997,1997-11-17,11,27.278,MIA,,BUF,W 30-13,3,2,49,24.50,0,66.7%,16.33,0,0,,0,0,0
53,1997,1997-11-23,12,27.284,MIA,@,NWE,L 24-27,6,4,53,13.25,0,66.7%,8.83,0,0,,0,0,0
54,1997,1997-11-30,13,27.291,MIA,@,OAK,W 34-16,3,2,31,15.50,0,66.7%,10.33,0,0,,0,0,0
55,1997,1997-12-07,14,27.298,MIA,,DET,W 33-30,3,1,26,26.00,0,33.3%,8.67,0,0,,0,0,0
56,1997,1997-12-14,15,27.305,MIA,@,IND,L 0-41,4,1,16,16.00,0,25.0%,4.00,0,0,,0,0,0
57,1997,1997-12-22,16,27.313,MIA,,NWE,L 12-14,8,6,64,10.67,1,75.0%,8.00,0,0,,0,1,6
58,1998,1998-09-06,1,28.206,MIA,@,IND,W 24-15,2,2,29,14.50,0,100.0%,14.50,0,0,,0,0,0
59,1998,1998-09-13,2,28.213,MIA,,BUF,W 13-7,4,3,42,14.00,1,75.0%,10.50,0,0,,0,1,6
60,1998,1998-09-20,3,28.220,MIA,,PIT,W 21-0,5,3,20,6.67,1,60.0%,4.00,0,0,,0,1,6
61,1998,1998-10-04,4,28.234,MIA,@,NYJ,L 9-20,4,1,11,11.00,0,25.0%,2.75,0,0,,0,0,0
62,1998,1998-10-12,5,28.242,MIA,@,JAX,L 21-28,5,4,69,17.25,0,80.0%,13.80,0,0,,0,0,0
