ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2011,2011-11-06,8,22.327,GNB,@,SDG,W 45-38,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
2,2011,2011-11-14,9,22.335,GNB,,MIN,W 45-7,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
3,2011,2011-11-20,10,22.341,GNB,,TAM,W 35-26,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
4,2011,2011-11-24,11,22.345,GNB,@,DET,W 27-15,,2,10,5.00,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0
5,2011,2011-12-04,12,22.355,GNB,@,NYG,W 38-35,,6,16,2.67,0,6,4,29,7.25,0,66.7%,4.83,0,0,,0
6,2011,2011-12-11,13,22.362,GNB,,OAK,W 46-16,,1,7,7.00,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0
7,2011,2011-12-25,15,23.011,GNB,,CHI,W 35-21,,1,8,8.00,0,0,0,0,,0,0.0%,,0,0,,0
8,2011,2012-01-01,16,23.018,GNB,,DET,W 45-41,,8,28,3.50,0,3,3,17,5.67,0,100.0%,5.67,2,40,20.00,0
9,2012,2012-09-09,1,23.270,GNB,,SFO,L 22-30,,,,,,,,,,,0.0%,,,,,
10,2012,2012-09-13,2,23.274,GNB,,CHI,W 23-10,,,,,,,,,,,0.0%,,,,,
11,2012,2012-09-24,3,23.285,GNB,@,SEA,L 12-14,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
12,2012,2012-09-30,4,23.291,GNB,,NOR,W 28-27,,,,,,,,,,,0.0%,,,,,
13,2012,2012-10-07,5,23.298,GNB,@,IND,L 27-30,,,,,,,,,,,0.0%,,,,,
14,2012,2012-10-14,6,23.305,GNB,@,HOU,W 42-24,,,,,,,,,,,0.0%,,,,,
