ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks
1,1981,1981-09-06,1,22.321,SEA,@,CIN,L 21-27,1,12,12.00,0,0,0,,0,0.0
2,1981,1981-09-13,2,22.328,SEA,,DEN,W 13-10,2,45,22.50,0,0,0,,0,0.0
3,1981,1981-09-20,3,22.335,SEA,@,OAK,L 10-20,2,41,20.50,0,0,0,,0,0.0
4,1981,1981-09-27,4,22.342,SEA,,KAN,L 14-20,1,11,11.00,0,0,0,,0,0.0
5,1981,1981-10-04,5,22.349,SEA,@,SDG,L 10-24,1,14,14.00,0,0,0,,0,0.0
6,1981,1981-10-11,6,22.356,SEA,@,HOU,L 17-35,3,56,18.67,0,0,0,,0,0.0
7,1981,1981-10-18,7,22.363,SEA,,NYG,L 0-32,3,56,18.67,0,0,0,,0,0.0
8,1981,1981-10-25,8,23.005,SEA,@,NYJ,W 19-3,0,0,,0,0,0,,0,
9,1981,1981-11-01,9,23.012,SEA,@,GNB,L 24-34,0,0,,0,0,0,,0,
10,1981,1981-11-08,10,23.019,SEA,,PIT,W 24-21,0,0,,0,0,0,,0,
11,1981,1981-11-16,11,23.027,SEA,,SDG,W 44-23,0,0,,0,0,0,,0,
12,1981,1981-11-22,12,23.033,SEA,@,KAN,L 13-40,0,0,,0,0,0,,0,
13,1981,1981-11-29,13,23.040,SEA,,OAK,L 31-32,0,0,,0,0,0,,0,
14,1981,1981-12-06,14,23.047,SEA,,NYJ,W 27-23,0,0,,0,0,0,,0,
15,1981,1981-12-13,15,23.054,SEA,@,DEN,L 13-23,0,0,,0,1,16,16.00,0,0.0
16,1981,1981-12-20,16,23.061,SEA,,CLE,W 42-21,0,0,,0,0,0,,0,
17,1982,1982-09-12,1,23.327,SEA,,CLE,L 7-21,,,,,0,0,,0,
18,1982,1982-09-19,2,23.334,SEA,@,HOU,L 21-23,,,,,0,0,,0,
19,1982,1982-11-21,3,24.032,SEA,@,DEN,W 17-10,0,0,,0,1,3,3.00,0,0.0
20,1982,1982-11-28,4,24.039,SEA,,PIT,W 16-0,,,,,0,0,,0,
21,1982,1982-12-05,5,24.046,SEA,@,RAI,L 23-28,,,,,0,0,,0,
22,1982,1982-12-12,6,24.053,SEA,,CHI,W 20-14,,,,,0,0,,0,
23,1982,1982-12-19,7,24.060,SEA,,NWE,L 0-16,,,,,0,0,,0,
24,1982,1982-12-26,8,24.067,SEA,@,CIN,L 10-24,,,,,0,0,,0,
25,1982,1983-01-02,9,24.074,SEA,,DEN,W 13-11,,,,,0,0,,0,
26,1983,1983-09-04,1,24.319,SEA,@,KAN,L 13-17,0,0,,0,1,7,7.00,0,0.0
27,1983,1983-09-11,2,24.326,SEA,@,NYJ,W 17-10,0,0,,0,2,10,5.00,0,0.0
28,1983,1983-09-18,3,24.333,SEA,,SDG,W 34-31,,,,,0,0,,0,
29,1983,1983-09-25,4,24.340,SEA,,WAS,L 17-27,,,,,0,0,,0,
30,1983,1983-10-02,5,24.347,SEA,@,CLE,W 24-9,,,,,0,0,,0,
31,1983,1983-10-09,6,24.354,SEA,@,SDG,L 21-28,,,,,0,0,,0,
32,1983,1983-10-16,7,24.361,SEA,,RAI,W 38-36,,,,,0,0,,0,
33,1983,1983-10-23,8,25.003,SEA,,PIT,L 21-27,,,,,0,0,,0,
34,1983,1983-10-30,9,25.010,SEA,@,RAI,W 34-21,,,,,0,0,,0,
35,1983,1983-11-06,10,25.017,SEA,,DEN,W 27-19,,,,,0,0,,0,
36,1983,1983-11-13,11,25.024,SEA,@,STL,L 28-33,,,,,0,0,,0,
37,1983,1983-11-20,12,25.031,SEA,@,DEN,L 27-38,,,,,0,0,,0,
38,1983,1983-11-27,13,25.038,SEA,,KAN,W 51-48,,,,,0,0,,0,
39,1983,1983-12-04,14,25.045,SEA,,DAL,L 10-35,,,,,0,0,,0,
40,1983,1983-12-11,15,25.052,SEA,@,NYG,W 17-12,,,,,0,0,,0,
41,1983,1983-12-18,16,25.059,SEA,,NWE,W 24-6,,,,,0,0,,0,
42,1986,1986-09-14,2,27.329,SEA,,KAN,W 23-17,,,,,,,,,
43,1986,1986-09-21,3,27.336,SEA,@,NWE,W 38-31,,,,,,,,,
44,1986,1986-09-28,4,27.343,SEA,@,WAS,L 14-19,,,,,,,,,
45,1986,1986-10-06,5,27.351,SEA,,SDG,W 33-7,,,,,,,,,
46,1986,1986-10-12,6,27.357,SEA,@,RAI,L 10-14,,,,,,,,,
47,1986,1986-10-19,7,27.364,SEA,,NYG,W 17-12,,,,,,,,,
48,1986,1986-10-26,8,28.006,SEA,@,DEN,L 13-20,,,,,,,,,
49,1986,1986-11-02,9,28.013,SEA,,NYJ,L 7-38,,,,,,,,,
50,1986,1986-11-09,10,28.020,SEA,@,KAN,L 7-27,,,,,,,,,
51,1986,1986-11-16,11,28.027,SEA,@,CIN,L 7-34,,,,,,,,,
52,1986,1986-11-23,12,28.034,SEA,,PHI,W 24-20,,,,,,,,,
53,1986,1986-11-27,13,28.038,SEA,@,DAL,W 31-14,,,,,,,,,
54,1986,1986-12-08,14,28.049,SEA,,RAI,W 37-0,0,0,,0,0,0,,0,1.0
55,1986,1986-12-14,15,28.055,SEA,@,SDG,W 34-24,,,,,,,,,
56,1986,1986-12-20,16,28.061,SEA,,DEN,W 41-16,,,,,,,,,
57,1987,1987-11-08,8,29.019,STL,,TAM,W 31-28,,,,,,,,,
58,1987,1987-11-15,9,29.026,STL,,RAM,L 24-27,,,,,,,,,
59,1987,1987-11-22,10,29.033,STL,@,PHI,W 31-19,,,,,,,,,
60,1987,1987-11-29,11,29.040,STL,@,ATL,W 34-21,,,,,,,,,
61,1987,1987-12-06,12,29.047,STL,,WAS,L 17-34,,,,,,,,,
62,1987,1987-12-13,13,29.054,STL,,NYG,W 27-24,,,,,,,,,
63,1987,1987-12-20,14,29.061,STL,@,TAM,W 31-14,,,,,,,,,
64,1987,1987-12-27,15,29.068,STL,@,DAL,L 16-21,,,,,,,,,
