ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,def_int,def_int_yds,def_int_td
1,1992,1992-09-06,1,23.269,BUF,,RAM,W 40-7,,,,,,
2,1992,1992-09-13,2,23.276,BUF,@,SFO,W 34-31,,,,,,
3,1992,1992-09-20,3,23.283,BUF,,IND,W 38-0,,,,,,
4,1992,1992-09-27,4,23.290,BUF,@,NWE,W 41-7,,,,,,
5,1992,1992-10-04,5,23.297,BUF,,MIA,L 10-37,,,,,,
6,1992,1992-10-11,6,23.304,BUF,@,RAI,L 3-20,,,,,,
7,1992,1992-12-20,15,24.008,BUF,@,NOR,W 20-16,,,,,,
8,1992,1992-12-27,16,24.015,BUF,@,HOU,L 3-27,,,,,,
9,1993,1993-10-11,5,24.303,BUF,,HOU,W 35-7,,,,,,
10,1993,1993-10-24,6,24.316,BUF,@,NYJ,W 19-10,,,,,,
11,1993,1993-11-01,7,24.324,BUF,,WAS,W 24-10,,,,,,
12,1993,1993-11-07,8,24.330,BUF,@,NWE,W 13-10,,,,,,
13,1993,1993-11-15,9,24.338,BUF,@,PIT,L 0-23,,,,,,
14,1993,1993-11-21,10,24.344,BUF,,IND,W 23-9,,,,,,
15,1993,1993-11-28,11,24.351,BUF,@,KAN,L 7-23,,,,,,
16,1993,1993-12-05,12,24.358,BUF,,RAI,L 24-25,,,,,,
17,1993,1993-12-12,13,25.000,BUF,@,PHI,W 10-7,,,,,,
18,1993,1993-12-19,14,25.007,BUF,@,MIA,W 47-34,,,,,,
19,1993,1993-12-26,15,25.014,BUF,,NYJ,W 16-14,,,,,,
20,1993,1994-01-02,16,25.021,BUF,@,IND,W 30-10,,,,,,
21,1994,1994-09-04,1,25.266,BUF,,NYJ,L 3-23,,,,,,
22,1994,1994-09-11,2,25.273,BUF,@,NWE,W 38-35,,,,,,
23,1994,1994-09-18,3,25.280,BUF,@,HOU,W 15-7,,,,,,
24,1994,1994-09-26,4,25.288,BUF,,DEN,W 27-20,,,,,,
25,1994,1994-10-02,5,25.294,BUF,@,CHI,L 13-20,,,,,,
