ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1999,1999-09-12,1,22.347,DAL,@,WAS,W 41-35,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0
2,1999,1999-09-20,2,22.355,DAL,,ATL,W 24-7,,3,0,0,,0,0.0%,0.00,0,0,,0,3,16,5.33,0,0,0
3,1999,1999-10-18,5,23.018,DAL,@,NYG,L 10-13,,6,3,36,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0
4,1999,1999-11-25,11,23.056,DAL,,MIA,W 20-0,,4,1,3,3.00,0,25.0%,0.75,0,0,,0,0,0,,0,0,0
5,1999,1999-12-05,12,23.066,DAL,@,NWE,L 6-13,*,4,3,31,10.33,0,75.0%,7.75,0,0,,0,0,0,,0,0,0
6,2000,2000-09-03,1,23.339,DAL,,PHI,L 14-41,,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,0,0
7,2000,2000-09-10,2,23.346,DAL,@,ARI,L 31-32,,1,0,0,,0,0.0%,0.00,0,0,,0,2,65,32.50,1,1,6
8,2000,2000-09-18,3,23.354,DAL,@,WAS,W 27-21,,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0,0,0
9,2000,2000-10-15,6,24.015,DAL,@,NYG,L 14-19,,3,0,0,,0,0.0%,0.00,0,0,,0,3,22,7.33,0,0,0
10,2000,2000-10-22,7,24.022,DAL,,ARI,W 48-7,,0,0,0,,0,0.0%,,0,0,,0,4,68,17.00,1,1,6
11,2000,2000-10-29,8,24.029,DAL,,JAX,L 17-23,,1,0,0,,0,0.0%,0.00,0,0,,0,2,23,11.50,0,0,0
12,2000,2000-11-05,9,24.036,DAL,@,PHI,L 13-16,,5,3,19,6.33,0,60.0%,3.80,0,0,,0,3,37,12.33,0,0,0
13,2000,2000-11-12,10,24.043,DAL,,CIN,W 23-6,,7,4,51,12.75,0,57.1%,7.29,2,15,7.50,0,2,11,5.50,0,0,0
14,2000,2000-11-19,11,24.050,DAL,@,BAL,L 0-27,,9,6,40,6.67,0,66.7%,4.44,0,0,,0,0,0,,0,0,0
15,2000,2000-11-23,12,24.054,DAL,,MIN,L 15-27,,8,5,54,10.80,0,62.5%,6.75,1,11,11.00,0,2,20,10.00,0,0,0
16,2000,2000-12-03,13,24.064,DAL,@,TAM,L 7-27,,7,4,59,14.75,0,57.1%,8.43,1,-2,-2.00,0,3,7,2.33,0,0,0
17,2000,2000-12-10,14,24.071,DAL,,WAS,W 32-13,,0,0,0,,0,0.0%,,1,22,22.00,1,5,79,15.80,0,1,6
18,2000,2000-12-17,15,24.078,DAL,,NYG,L 13-17,,4,2,17,8.50,0,50.0%,4.25,0,0,,0,1,5,5.00,0,0,0
19,2000,2000-12-25,16,24.086,DAL,@,TEN,L 0-31,,1,0,0,,0,0.0%,0.00,1,3,3.00,0,2,16,8.00,0,0,0
20,2001,2001-09-09,1,24.344,DAL,,TAM,L 6-10,,0,0,0,,0,0.0%,,0,0,,0,3,18,6.00,0,0,0
21,2001,2001-09-23,2,24.358,DAL,,SDG,L 21-32,,8,5,40,8.00,1,62.5%,5.00,0,0,,0,0,0,,0,1,6
22,2001,2001-09-30,3,25.000,DAL,@,PHI,L 18-40,*,2,1,5,5.00,0,50.0%,2.50,0,0,,0,3,20,6.67,0,0,0
23,2001,2001-11-11,8,25.042,NOR,@,SFO,L 27-28,,0,0,0,,0,0.0%,,0,0,,0,2,33,16.50,0,0,0
24,2001,2001-11-18,9,25.049,NOR,,IND,W 34-20,,0,0,0,,0,0.0%,,0,0,,0,2,29,14.50,0,0,0
25,2001,2001-11-25,10,25.056,NOR,@,NWE,L 17-34,,0,0,0,,0,0.0%,,0,0,,0,2,16,8.00,0,0,0
26,2001,2001-12-02,11,25.063,NOR,,CAR,W 27-23,,0,0,0,,0,0.0%,,0,0,,0,4,64,16.00,0,0,0
27,2001,2001-12-09,12,25.070,NOR,@,ATL,W 28-10,,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,3,20,6.67,0,0,0
28,2001,2001-12-17,13,25.078,NOR,,STL,L 21-34,,0,0,0,,0,0.0%,,0,0,,0,1,7,7.00,0,0,0
29,2001,2001-12-23,14,25.084,NOR,@,TAM,L 21-48,,0,0,0,,0,0.0%,,0,0,,0,2,10,5.00,0,0,0
30,2001,2001-12-30,15,25.091,NOR,,WAS,L 10-40,,,0,0,,0,0.0%,,0,0,,0,1,1,1.00,0,0,0
31,2001,2002-01-06,16,25.098,NOR,,SFO,L 0-38,,1,0,0,,0,0.0%,0.00,0,0,,0,2,3,1.50,0,0,0
