ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1969,1969-11-16,9,22.225,ATL,,CHI,W 48-31,1,48,48.00,1,1,6
2,1970,1970-09-20,1,23.168,ATL,@,NOR,W 14-3,,,,,,
3,1970,1970-09-27,2,23.175,ATL,@,GNB,L 24-27,,,,,,
4,1970,1970-10-04,3,23.182,ATL,,SFO,W 21-20,,,,,,
5,1970,1970-10-11,4,23.189,ATL,@,DAL,L 0-13,,,,,,
6,1970,1970-10-18,5,23.196,ATL,@,DEN,L 10-24,,,,,,
7,1970,1970-10-25,6,23.203,ATL,,NOR,W 32-14,,,,,,
8,1970,1970-11-01,7,23.210,ATL,,CHI,L 14-23,,,,,,
9,1970,1970-11-08,8,23.217,ATL,@,RAM,T 10-10,,,,,,
10,1970,1970-11-15,9,23.224,ATL,@,PHI,T 13-13,,,,,,
11,1970,1970-11-22,10,23.231,ATL,,RAM,L 7-17,,,,,,
12,1970,1970-11-30,11,23.239,ATL,,MIA,L 7-20,,,,,,
13,1970,1970-12-06,12,23.245,ATL,@,SFO,L 20-24,,,,,,
14,1970,1970-12-13,13,23.252,ATL,,PIT,W 27-16,,,,,,
15,1970,1970-12-20,14,23.259,ATL,,MIN,L 7-37,,,,,,
16,1971,1971-09-19,1,24.167,ATL,,SFO,W 20-17,,,,,,
17,1971,1971-09-26,2,24.174,ATL,@,RAM,T 20-20,,,,,,
18,1971,1971-10-03,3,24.181,ATL,@,DET,L 38-41,,,,,,
19,1971,1971-10-10,4,24.188,ATL,,STL,L 9-26,,,,,,
20,1971,1971-10-17,5,24.195,ATL,,RAM,L 16-24,,,,,,
21,1971,1971-10-24,6,24.202,ATL,,NOR,W 28-6,,,,,,
22,1971,1971-10-31,7,24.209,ATL,@,CLE,W 31-14,,,,,,
23,1971,1971-11-07,8,24.216,ATL,@,CIN,W 9-6,,,,,,
24,1971,1971-11-14,9,24.223,ATL,,NYG,L 17-21,,,,,,
25,1971,1971-11-28,11,24.237,ATL,@,MIN,L 7-24,,,,,,
