ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2010,2010-09-13,1,22.320,KAN,,SDG,W 21-14,,0,0,,0,3,59,19.67,0,2,60,30.00,0,0,0,0.0,1,0,0,0,0
2,2010,2010-09-19,2,22.326,KAN,@,CLE,W 16-14,,0,0,,0,1,19,19.00,0,4,6,1.50,0,0,0,0.0,1,0,0,0,0
3,2010,2010-09-26,3,22.333,KAN,,SFO,W 31-10,,0,0,,0,1,19,19.00,0,3,23,7.67,0,0,0,0.0,0,0,0,0,0
4,2010,2010-10-10,4,22.347,KAN,@,IND,L 9-19,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,2,0,0,0
5,2010,2010-10-17,5,22.354,KAN,@,HOU,L 31-35,,0,0,,0,5,114,22.80,0,2,24,12.00,0,0,0,0.0,3,0,0,0,0
6,2010,2010-10-24,6,22.361,KAN,,JAX,W 42-20,,0,0,,0,2,44,22.00,0,0,0,,0,0,0,0.0,1,0,0,0,0
7,2010,2010-10-31,7,23.003,KAN,,BUF,W 13-10,*,0,0,,0,2,46,23.00,0,4,36,9.00,0,0,0,0.0,3,0,0,0,0
8,2010,2010-11-07,8,23.010,KAN,@,OAK,L 20-23,,1,5,5.00,0,5,98,19.60,0,3,17,5.67,0,0,0,0.0,0,0,0,0,0
9,2010,2010-11-14,9,23.017,KAN,@,DEN,L 29-49,,0,0,,0,5,110,22.00,0,1,16,16.00,0,0,0,0.0,1,0,0,0,0
10,2010,2010-11-21,10,23.024,KAN,,ARI,W 31-13,,0,0,,0,0,0,,0,3,24,8.00,0,0,0,1.0,6,2,0,0,0
11,2010,2010-11-28,11,23.031,KAN,@,SEA,W 42-24,*,0,0,,0,0,0,,0,2,17,8.50,0,0,0,0.0,6,1,0,0,0
12,2010,2010-12-05,12,23.038,KAN,,DEN,W 10-6,,0,0,,0,0,0,,0,2,8,4.00,0,0,0,2.0,3,0,0,0,0
13,2010,2010-12-12,13,23.045,KAN,@,SDG,L 0-31,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
14,2010,2010-12-19,14,23.052,KAN,@,STL,W 27-13,,0,0,,0,0,0,,0,5,35,7.00,0,0,0,0.0,2,0,0,0,0
15,2010,2010-12-26,15,23.059,KAN,,TEN,W 34-14,,0,0,,0,0,0,,0,5,36,7.20,0,0,0,0.0,1,0,0,0,0
16,2010,2011-01-02,16,23.066,KAN,,OAK,L 10-31,,0,0,,0,0,0,,0,3,20,6.67,0,0,0,0.0,0,1,0,0,0
17,2011,2011-09-11,1,23.318,KAN,,BUF,L 7-41,,0,0,,0,3,55,18.33,0,1,15,15.00,0,0,0,0.0,3,0,0,0,0
18,2011,2011-09-18,2,23.325,KAN,@,DET,L 3-48,,0,0,,0,0,0,,0,1,1,1.00,0,0,0,0.0,3,0,0,0,0
19,2011,2011-09-25,3,23.332,KAN,@,SDG,L 17-20,,0,0,,0,3,87,29.00,0,1,37,37.00,0,0,0,0.0,1,0,0,0,0
20,2011,2011-10-02,4,23.339,KAN,,MIN,W 22-17,,0,0,,0,2,37,18.50,0,3,71,23.67,0,0,0,0.0,0,0,0,0,0
21,2011,2011-10-09,5,23.346,KAN,@,IND,W 28-24,,0,0,,0,0,0,,0,4,39,9.75,0,0,0,0.0,3,0,0,0,0
22,2011,2011-10-23,6,23.360,KAN,@,OAK,W 28-0,,1,7,7.00,1,1,28,28.00,0,2,23,11.50,0,1,6,0.0,0,1,0,0,0
23,2011,2011-10-31,7,24.003,KAN,,SDG,W 23-20,,0,0,,0,0,0,,0,1,10,10.00,0,0,0,0.0,2,0,0,0,0
24,2011,2011-11-13,9,24.016,KAN,,DEN,L 10-17,,0,0,,0,3,53,17.67,0,3,29,9.67,0,0,0,0.0,0,0,0,0,0
25,2011,2011-11-21,10,24.024,KAN,@,NWE,L 3-34,*,0,0,,0,3,54,18.00,0,4,71,17.75,0,0,0,0.0,4,4,0,0,0
26,2011,2011-11-27,11,24.030,KAN,,PIT,L 9-13,,2,5,2.50,0,0,0,,0,1,14,14.00,0,0,0,0.0,0,0,0,0,0
27,2011,2011-12-04,12,24.037,KAN,@,CHI,W 10-3,,0,0,,0,1,17,17.00,0,3,13,4.33,0,0,0,0.0,0,0,1,0,0
28,2011,2011-12-11,13,24.044,KAN,@,NYJ,L 10-37,,0,0,,0,1,31,31.00,0,1,10,10.00,0,0,0,1.0,1,1,0,0,0
29,2011,2011-12-18,14,24.051,KAN,,GNB,W 19-14,,0,0,,0,0,0,,0,3,36,12.00,0,0,0,0.0,3,1,0,0,0
30,2011,2011-12-24,15,24.057,KAN,,OAK,L 13-16,,0,0,,0,0,0,,0,1,19,19.00,0,0,0,0.0,2,0,1,5,0
31,2011,2012-01-01,16,24.065,KAN,@,DEN,W 7-3,,0,0,,0,0,0,,0,3,22,7.33,0,0,0,0.0,3,0,0,0,0
32,2012,2012-09-09,1,24.317,KAN,,ATL,L 24-40,,0,0,,0,4,79,19.75,0,1,14,14.00,0,0,0,0.0,0,0,0,0,0
33,2012,2012-09-16,2,24.324,KAN,@,BUF,L 17-35,,0,0,,0,2,40,20.00,0,3,40,13.33,0,0,0,0.0,2,1,0,0,0
34,2012,2012-09-23,3,24.331,KAN,@,NOR,W 27-24,,0,0,,0,3,58,19.33,0,3,40,13.33,0,0,0,0.0,2,0,0,0,0
35,2012,2012-09-30,4,24.338,KAN,,SDG,L 20-37,,0,0,,0,0,0,,0,3,39,13.00,0,0,0,0.0,2,0,0,0,0
36,2012,2012-10-07,5,24.345,KAN,,BAL,L 6-9,,0,0,,0,0,0,,0,4,8,2.00,0,0,0,0.0,1,0,0,0,0
37,2012,2012-10-14,6,24.352,KAN,@,TAM,L 10-38,,0,0,,0,0,0,,0,2,11,5.50,0,0,0,0.0,0,1,0,0,0
38,2012,2012-10-28,7,25.000,KAN,,OAK,L 16-26,,0,0,,0,0,0,,0,5,59,11.80,0,0,0,0.0,2,0,0,0,0
39,2012,2012-11-01,8,25.004,KAN,@,SDG,L 13-31,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,8,1,0,0,0
