ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1971,1971-09-19,1,25.004,NYG,@,GNB,W 42-40,,,,,,,,,,,,,,,,,
2,1971,1971-09-26,2,25.011,NYG,,WAS,L 3-30,,,,,,,,,,,,,,,,,
3,1971,1971-10-03,3,25.018,NYG,@,STL,W 21-20,,,,,,,,,,,,,,,,,
4,1971,1971-10-11,4,25.026,NYG,@,DAL,L 13-20,,,,,,,,,,,,,,,,,
5,1971,1971-10-17,5,25.032,NYG,,BAL,L 7-31,,,,,,,,,,,,,,,,,
6,1971,1971-10-24,6,25.039,NYG,@,PHI,L 7-23,,,,,,,,,,,,,,,,,
7,1971,1971-11-07,8,25.053,NYG,,SDG,W 35-17,,,,,,,,,,,,,,,,,
8,1971,1971-11-14,9,25.060,NYG,@,ATL,W 21-17,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0,0,0
9,1971,1971-11-21,10,25.067,NYG,@,PIT,L 13-17,1,3,3.00,0,0,0,,0,1,10,10.00,0,0,0,0,0,0
10,1971,1971-11-28,11,25.074,NYG,,STL,L 7-24,,,,,,,,,,,,,,,,,
11,1971,1971-12-05,12,25.081,NYG,@,WAS,L 7-23,0,0,,0,0,0,,0,0,0,,0,0,0,1,15,0
12,1971,1971-12-12,13,25.088,NYG,,DAL,L 14-42,0,0,,0,0,0,,0,1,5,5.00,0,1,6,1,37,1
13,1971,1971-12-19,14,25.095,NYG,,PHI,L 28-41,,,,,,,,,,,,,,,,,
14,1972,1972-09-17,1,26.002,NYG,@,DET,L 16-30,,,,,,,,,,,,,,,,,
15,1972,1972-09-24,2,26.009,NYG,,DAL,L 14-23,,,,,,,,,,,,,,,,,
16,1972,1972-10-02,3,26.017,NYG,@,PHI,W 27-12,,,,,,,,,,,,,,,,,
17,1972,1972-10-08,4,26.023,NYG,,NOR,W 45-21,,,,,,,,,,,,,,,,,
18,1972,1972-10-15,5,26.030,NYG,@,SFO,W 23-17,0,0,,0,0,0,,0,0,0,,0,0,0,2,9,0
19,1972,1972-10-22,6,26.037,NYG,,STL,W 27-21,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0,0,0
20,1972,1972-10-29,7,26.044,NYG,,WAS,L 16-23,,,,,,,,,,,,,,,,,
21,1972,1972-11-05,8,26.051,NYG,,DEN,W 29-17,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
22,1972,1972-11-12,9,26.058,NYG,@,WAS,L 13-27,0,0,,0,0,0,,0,1,6,6.00,0,0,0,1,2,0
23,1972,1972-11-19,10,26.065,NYG,@,STL,W 13-7,0,0,,0,0,0,,0,1,9,9.00,0,0,0,0,0,0
24,1972,1972-11-26,11,26.072,NYG,,PHI,W 62-10,0,0,,0,0,0,,0,1,48,48.00,0,0,0,0,0,0
25,1972,1972-12-03,12,26.079,NYG,@,CIN,L 10-13,0,0,,0,0,0,,0,2,7,3.50,0,0,0,0,0,0
26,1972,1972-12-10,13,26.086,NYG,,MIA,L 13-23,,,,,,,,,,,,,,,,,
27,1972,1972-12-17,14,26.093,NYG,@,DAL,W 23-3,0,0,,0,0,0,,0,2,19,9.50,0,0,0,0,0,0
28,1973,1973-09-16,1,27.001,NYG,,HOU,W 34-14,0,0,,0,0,0,,0,2,18,9.00,0,0,0,1,6,0
29,1973,1973-09-23,2,27.008,NYG,,PHI,T 23-23,0,0,,0,0,0,,0,3,15,5.00,0,0,0,1,17,0
30,1973,1973-09-30,3,27.015,NYG,@,CLE,L 10-12,0,0,,0,0,0,,0,1,10,10.00,0,0,0,1,26,0
31,1973,1973-10-07,4,27.022,NYG,,GNB,L 14-16,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0,0,0
32,1973,1973-10-14,5,27.029,NYG,,WAS,L 3-21,0,0,,0,0,0,,0,1,7,7.00,0,0,0,0,0,0
33,1973,1973-10-21,6,27.036,NYG,@,DAL,L 28-45,0,0,,0,0,0,,0,1,2,2.00,0,0,0,1,3,0
34,1973,1973-10-28,7,27.043,NYG,@,STL,L 27-35,,,,,,,,,,,,,,,,,
35,1973,1973-11-04,8,27.050,NYG,@,OAK,L 0-42,0,0,,0,0,0,,0,1,1,1.00,0,0,0,0,0,0
36,1973,1973-11-11,9,27.057,NYG,,DAL,L 10-23,0,0,,0,0,0,,0,3,7,2.33,0,0,0,0,0,0
37,1973,1973-11-18,10,27.064,NYG,,STL,W 24-13,0,0,,0,0,0,,0,2,49,24.50,0,0,0,0,0,0
38,1973,1973-11-25,11,27.071,NYG,@,PHI,L 16-20,0,0,,0,0,0,,0,1,24,24.00,0,0,0,0,0,0
39,1973,1973-12-02,12,27.078,NYG,@,WAS,L 24-27,0,0,,0,0,0,,0,1,8,8.00,0,0,0,0,0,0
40,1973,1973-12-10,13,27.086,NYG,@,RAM,L 6-40,0,0,,0,0,0,,0,2,6,3.00,0,0,0,1,0,0
41,1973,1973-12-16,14,27.092,NYG,,MIN,L 7-31,0,0,,0,0,0,,0,1,4,4.00,0,0,0,0,0,0
42,1974,1974-09-15,1,28.000,NYG,,WAS,L 10-13,0,0,,0,0,0,,0,2,6,3.00,0,0,0,0,0,0
43,1974,1974-09-22,2,28.007,NYG,,NWE,L 20-28,0,0,,0,0,0,,0,1,18,18.00,0,0,0,0,0,0
44,1974,1974-09-29,3,28.014,NYG,@,DAL,W 14-6,0,0,,0,0,0,,0,2,35,17.50,0,0,0,0,0,0
45,1974,1974-10-06,4,28.021,NYG,,ATL,L 7-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
46,1974,1974-10-13,5,28.028,NYG,@,PHI,L 7-35,,,,,,,,,,,,,,,,,
47,1974,1974-10-20,6,28.035,NYG,@,WAS,L 3-24,0,0,,0,0,0,,0,3,15,5.00,0,0,0,1,0,0
48,1974,1974-10-27,7,28.042,NYG,,DAL,L 7-21,0,0,,0,0,0,,0,1,22,22.00,0,0,0,0,0,0
49,1974,1974-11-03,8,28.049,NYG,@,KAN,W 33-27,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0
50,1974,1974-11-10,9,28.056,NYG,,NYJ,L 20-26,,,,,,,,,,,,,,,,,
51,1974,1974-11-17,10,28.063,NYG,@,DET,L 19-20,0,0,,0,0,0,,0,1,4,4.00,0,0,0,0,0,0
52,1974,1974-11-24,11,28.070,NYG,,STL,L 21-23,0,0,,0,0,0,,0,1,3,3.00,0,0,0,0,0,0
53,1974,1974-12-01,12,28.077,NYG,@,CHI,L 13-16,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0,0,0
54,1974,1974-12-08,13,28.084,NYG,,PHI,L 7-20,0,0,,0,0,0,,0,1,12,12.00,0,0,0,0,0,0
55,1974,1974-12-15,14,28.091,NYG,@,STL,L 14-26,0,0,,0,0,0,,0,6,63,10.50,0,0,0,0,0,0
56,1975,1975-09-21,1,29.006,CLE,@,CIN,L 17-24,0,0,,0,1,19,19.00,0,0,0,,0,0,0,0,0,0
57,1975,1975-09-28,2,29.013,CLE,,MIN,L 10-42,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0,0,0
58,1975,1975-10-05,3,29.020,CLE,,PIT,L 6-42,0,0,,0,1,5,5.00,0,0,0,,0,0,0,0,0,0
59,1975,1975-10-12,4,29.027,CLE,,HOU,L 10-40,0,0,,0,2,31,15.50,0,0,0,,0,0,0,0,0,0
60,1975,1975-10-19,5,29.034,CLE,@,DEN,L 15-16,0,0,,0,2,40,20.00,0,1,16,16.00,0,0,0,0,0,0
61,1975,1975-10-26,6,29.041,CLE,,WAS,L 7-23,0,0,,0,0,0,,0,3,14,4.67,0,0,0,0,0,0
