ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks
1,1987,1987-12-27,15,23.288,RAM,@,SFO,L 0-48,3,10,3.33,0,0.0
2,1988,1988-09-11,2,24.181,PHI,,CIN,L 24-28,,,,,
3,1988,1988-09-18,3,24.188,PHI,@,WAS,L 10-17,,,,,
4,1988,1988-09-25,4,24.195,PHI,@,MIN,L 21-23,,,,,
5,1988,1988-10-02,5,24.202,PHI,,HOU,W 32-23,,,,,
6,1988,1988-10-10,6,24.210,PHI,,NYG,W 24-13,,,,,
7,1990,1990-09-09,1,26.179,PIT,@,CLE,L 3-13,0,0,,0,1.0
8,1990,1990-09-16,2,26.186,PIT,,HOU,W 20-9,,,,,
9,1990,1990-09-23,3,26.193,PIT,@,RAI,L 3-20,,,,,
10,1990,1990-09-30,4,26.200,PIT,,MIA,L 6-28,,,,,
11,1990,1990-10-07,5,26.207,PIT,,SDG,W 36-14,,,,,
12,1990,1990-10-14,6,26.214,PIT,@,DEN,W 34-17,0,0,,0,1.0
13,1990,1990-10-21,7,26.221,PIT,@,SFO,L 7-27,,,,,
14,1990,1990-10-29,8,26.229,PIT,,RAM,W 41-10,,,,,
15,1990,1990-11-04,9,26.235,PIT,,ATL,W 21-9,0,0,,0,1.0
16,1990,1990-11-18,10,26.249,PIT,@,CIN,L 3-27,,,,,
17,1990,1990-11-25,11,26.256,PIT,@,NYJ,W 24-7,,,,,
18,1990,1990-12-02,12,26.263,PIT,,CIN,L 12-16,,,,,
19,1990,1990-12-09,13,26.270,PIT,,NWE,W 24-3,,,,,
20,1990,1990-12-16,14,26.277,PIT,@,NOR,W 9-6,,,,,
21,1990,1990-12-23,15,26.284,PIT,,CLE,W 35-0,,,,,
22,1990,1990-12-30,16,26.291,PIT,@,HOU,L 14-34,,,,,
23,1991,1991-09-01,1,27.171,PIT,,SDG,W 26-20,0,0,,0,1.0
24,1991,1991-09-08,2,27.178,PIT,@,BUF,L 34-52,,,,,
25,1991,1991-09-15,3,27.185,PIT,,NWE,W 20-6,,,,,
26,1991,1991-09-22,4,27.192,PIT,@,PHI,L 14-23,,,,,
27,1991,1991-10-06,5,27.206,PIT,@,IND,W 21-3,0,0,,0,1.0
28,1991,1991-10-14,6,27.214,PIT,,NYG,L 20-23,,,,,
29,1991,1991-10-20,7,27.220,PIT,,SEA,L 7-27,,,,,
30,1991,1991-10-27,8,27.227,PIT,@,CLE,L 14-17,,,,,
31,1991,1991-11-03,9,27.234,PIT,@,DEN,L 13-20,,,,,
32,1991,1991-11-10,10,27.241,PIT,@,CIN,W 33-27,,,,,
33,1991,1991-11-17,11,27.248,PIT,,WAS,L 14-41,,,,,
34,1991,1991-11-24,12,27.255,PIT,,HOU,W 26-14,,,,,
35,1991,1991-11-28,13,27.259,PIT,@,DAL,L 10-20,,,,,
36,1991,1991-12-08,14,27.269,PIT,@,HOU,L 6-31,,,,,
37,1991,1991-12-15,15,27.276,PIT,,CIN,W 17-10,,,,,
38,1991,1991-12-22,16,27.283,PIT,,CLE,W 17-10,,,,,
39,1992,1992-09-06,1,28.176,PIT,@,HOU,W 29-24,,,,,
40,1992,1992-09-13,2,28.183,PIT,,NYJ,W 27-10,,,,,
41,1992,1992-09-20,3,28.190,PIT,@,SDG,W 23-6,,,,,
42,1992,1992-09-27,4,28.197,PIT,@,GNB,L 3-17,,,,,
43,1992,1992-10-11,5,28.211,PIT,@,CLE,L 9-17,,,,,
44,1992,1992-10-19,6,28.219,PIT,,CIN,W 20-0,,,,,
