ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks
1,2001,2001-11-04,8,25.332,NYG,,DAL,W 27-24,,1.0
2,2001,2001-11-11,9,25.339,NYG,@,ARI,W 17-10,,
3,2001,2001-11-19,10,25.347,NYG,@,MIN,L 16-28,,
4,2001,2001-11-25,11,25.353,NYG,,OAK,L 10-28,,
5,2001,2001-12-09,12,26.002,NYG,@,DAL,L 13-20,,
6,2001,2001-12-15,13,26.008,NYG,,ARI,W 17-13,,
7,2001,2001-12-23,14,26.016,NYG,,SEA,W 27-24,,
8,2001,2001-12-30,15,26.023,NYG,@,PHI,L 21-24,,
9,2001,2002-01-06,16,26.030,NYG,,GNB,L 25-34,,
10,2002,2002-09-05,1,26.272,NYG,,SFO,L 13-16,,
11,2002,2002-09-15,2,26.282,NYG,@,STL,W 26-21,,
12,2002,2002-09-22,3,26.289,NYG,,SEA,W 9-6,,
13,2002,2002-09-29,4,26.296,NYG,@,ARI,L 7-21,,
14,2002,2002-10-06,5,26.303,NYG,@,DAL,W 21-17,,
15,2002,2002-10-13,6,26.310,NYG,,ATL,L 10-17,*,1.5
16,2002,2002-10-28,7,26.325,NYG,@,PHI,L 3-17,,
17,2002,2002-11-03,8,26.331,NYG,,JAX,W 24-17,,
18,2002,2002-11-10,9,26.338,NYG,@,MIN,W 27-20,,1.0
19,2002,2002-11-17,10,26.345,NYG,,WAS,W 19-17,,
20,2002,2002-11-24,11,26.352,NYG,@,HOU,L 14-16,,
21,2002,2002-12-01,12,26.359,NYG,,TEN,L 29-32,,
22,2002,2002-12-08,13,27.001,NYG,@,WAS,W 27-21,,
23,2002,2002-12-15,14,27.008,NYG,,DAL,W 37-7,,
24,2002,2002-12-22,15,27.015,NYG,@,IND,W 44-27,,
25,2002,2002-12-28,16,27.021,NYG,,PHI,W 10-7,,
26,2003,2003-11-24,11,27.352,NYG,@,TAM,L 13-19,,
27,2003,2003-11-30,12,27.358,NYG,,BUF,L 7-24,,
