ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1970,1970-09-27,2,23.058,BUF,,RAM,L 0-19,1,6,6.00,0,0,0,,0
2,1970,1970-10-04,3,23.065,BUF,,NYJ,W 34-31,,,,,,,,
3,1970,1970-10-11,4,23.072,BUF,@,PIT,L 10-23,0,0,,0,4,21,5.25,0
4,1970,1970-10-18,5,23.079,BUF,,MIA,L 14-33,0,0,,0,1,9,9.00,0
5,1970,1970-10-25,6,23.086,BUF,@,NYJ,W 10-6,0,0,,0,8,67,8.38,0
6,1970,1970-11-01,7,23.093,BUF,@,BOS,W 45-10,0,0,,0,3,66,22.00,0
7,1970,1970-11-08,8,23.100,BUF,,CIN,L 14-43,0,0,,0,1,2,2.00,0
8,1970,1970-11-15,9,23.107,BUF,@,BAL,T 17-17,0,0,,0,2,12,6.00,0
9,1970,1970-11-22,10,23.114,BUF,@,CHI,L 13-31,0,0,,0,4,7,1.75,0
10,1970,1970-11-29,11,23.121,BUF,,BOS,L 10-14,,,,,,,,
