ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1990,1990-09-09,1,23.114,BUF,,IND,W 26-10,,0,0,,0,,,0,0,,0,0,0,,0,1,0,0.00,0,0,0
2,1990,1990-09-16,2,23.121,BUF,@,MIA,L 7-30,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,
3,1990,1990-09-24,3,23.129,BUF,@,NYJ,W 30-7,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,
4,1990,1990-09-30,4,23.135,BUF,,DEN,W 29-28,,1,5,5.00,0,,,0,0,,0,1,24,24.00,0,0,0,,0,0,0
5,1990,1990-10-07,5,23.142,BUF,,RAI,W 38-24,,0,0,,0,,,0,0,,0,1,13,13.00,0,0,0,,0,0,0
6,1990,1990-10-21,6,23.156,BUF,,NYJ,W 30-27,,0,0,,0,,,0,0,,0,1,25,25.00,0,0,0,,0,0,0
7,1990,1990-11-11,9,23.177,BUF,,PHO,W 45-14,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,
8,1990,1990-11-18,10,23.184,BUF,,NWE,W 14-0,,0,0,,0,,,0,0,,0,0,0,,0,2,18,9.00,0,0,0
9,1990,1990-11-26,11,23.192,BUF,@,HOU,L 24-27,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,
10,1990,1990-12-02,12,23.198,BUF,,PHI,W 30-23,,0,0,,0,,,0,0,,0,0,0,,0,4,26,6.50,0,0,0
11,1990,1990-12-09,13,23.205,BUF,@,IND,W 31-7,,0,0,,0,,,0,0,,0,0,0,,0,3,37,12.33,0,0,0
12,1990,1990-12-15,14,23.211,BUF,@,NYG,W 17-13,,0,0,,0,,,0,0,,0,3,89,29.67,0,2,6,3.00,0,0,0
13,1990,1990-12-23,15,23.219,BUF,,MIA,W 24-14,,0,0,,0,,,0,0,,0,1,27,27.00,0,2,5,2.50,0,0,0
14,1990,1990-12-30,16,23.226,BUF,@,WAS,L 14-29,,1,6,6.00,0,,,0,0,,0,4,78,19.50,0,0,0,,0,0,0
15,1991,1991-09-01,1,24.106,BUF,,MIA,W 35-31,,0,0,,0,,,0,0,,0,3,52,17.33,0,0,0,,0,0,0
16,1991,1991-09-08,2,24.113,BUF,,PIT,W 52-34,,0,0,,0,,,0,0,,0,1,20,20.00,0,2,3,1.50,0,0,0
17,1991,1991-09-15,3,24.120,BUF,@,NYJ,W 23-20,,0,0,,0,,,0,0,,0,1,27,27.00,0,2,26,13.00,0,0,0
18,1991,1991-09-22,4,24.127,BUF,@,TAM,W 17-10,,0,0,,0,,,0,0,,0,1,20,20.00,0,3,24,8.00,0,0,0
19,1991,1991-09-29,5,24.134,BUF,,CHI,W 35-20,,2,44,22.00,1,,,0,0,,0,3,61,20.33,0,2,14,7.00,0,1,6
20,1991,1991-10-07,6,24.142,BUF,@,KAN,L 6-33,,0,0,,0,,,0,0,,0,5,95,19.00,0,0,0,,0,0,0
21,1991,1991-10-13,7,24.148,BUF,,IND,W 42-6,,0,0,,0,,,0,0,,0,2,35,17.50,0,1,4,4.00,0,0,0
22,1991,1991-10-21,8,24.156,BUF,,CIN,W 35-16,,0,0,,0,,,0,0,,0,2,33,16.50,0,0,0,,0,0,0
23,1991,1991-11-03,9,24.169,BUF,,NWE,W 22-17,,0,0,,0,,,0,0,,0,1,11,11.00,0,3,-2,-0.67,0,0,0
24,1991,1991-11-10,10,24.176,BUF,@,GNB,W 34-24,,0,0,,0,,,0,0,,0,2,32,16.00,0,0,0,,0,0,0
25,1991,1991-11-18,11,24.184,BUF,@,MIA,W 41-27,,0,0,,0,,,0,0,,0,4,61,15.25,0,0,0,,0,0,0
26,1991,1991-11-24,12,24.190,BUF,@,NWE,L 13-16,,4,36,9.00,0,,,0,0,,0,3,68,22.67,0,0,0,,0,0,0
27,1991,1991-12-01,13,24.197,BUF,,NYJ,W 24-13,,9,78,8.67,0,,,0,0,,0,1,0,0.00,0,0,0,,0,0,0
28,1991,1991-12-08,14,24.204,BUF,@,RAI,W 30-27,,3,35,11.67,0,,,0,0,,0,2,108,54.00,1,0,0,,0,1,6
29,1991,1991-12-15,15,24.211,BUF,@,IND,W 35-7,,2,16,8.00,0,,,1,17,17.00,0,0,0,,0,0,0,,0,0,0
30,1991,1991-12-22,16,24.218,BUF,,DET,L 14-17,,2,19,9.50,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
31,1992,1992-11-16,10,25.182,BUF,@,MIA,W 26-20,,0,0,,0,0.0%,,0,0,,0,4,91,22.75,0,0,0,,0,0,0
32,1992,1992-11-22,11,25.188,BUF,,ATL,W 41-14,,0,0,,0,0.0%,,0,0,,0,1,25,25.00,0,0,0,,0,0,0
33,1992,1992-11-29,12,25.195,BUF,@,IND,L 13-16,,0,0,,0,0.0%,,0,0,,0,2,38,19.00,0,0,0,,0,0,0
34,1992,1992-12-06,13,25.202,BUF,,NYJ,L 17-24,,0,0,,0,0.0%,,0,0,,0,1,26,26.00,0,0,0,,0,0,0
35,1992,1992-12-12,14,25.208,BUF,,DEN,W 27-17,,0,0,,0,0.0%,,0,0,,0,1,28,28.00,0,0,0,,0,0,0
36,1992,1992-12-20,15,25.216,BUF,@,NOR,W 20-16,1,1,5,5.00,0,100.0%,5.00,0,0,,0,3,66,22.00,0,0,0,,0,0,0
37,1992,1992-12-27,16,25.223,BUF,@,HOU,L 3-27,1,1,20,20.00,0,100.0%,20.00,1,8,8.00,0,0,0,,0,0,0,,0,0,0
