ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1965,1965-11-21,10,22.235,NYJ,,HOU,W 41-14,,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,,0,0,0,0
2,1966,1966-10-02,4,23.185,NYJ,@,BOS,T 24-24,,0,0,,0,0,0,,0,0,,,0,0,,0,1,18,18.00,0,0,0,0
3,1966,1966-10-23,7,23.206,NYJ,,OAK,L 21-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,18,0
4,1966,1966-11-13,9,23.227,NYJ,@,BUF,L 3-14,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,0
5,1966,1966-11-20,10,23.234,NYJ,,MIA,W 30-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,4,0
6,1966,1966-12-03,12,23.247,NYJ,@,OAK,T 28-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,17,0
7,1967,1967-09-10,1,24.163,NYJ,@,BUF,L 17-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,2,0
8,1967,1967-10-15,5,24.198,NYJ,,HOU,T 28-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,18,0
9,1967,1967-11-05,8,24.219,NYJ,@,KAN,L 18-42,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,18,0
10,1968,1968-09-22,2,25.175,NYJ,@,BOS,W 47-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,54,0
11,1968,1968-10-27,7,25.210,NYJ,,BOS,W 48-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,27,0
12,1968,1968-11-17,10,25.231,NYJ,@,OAK,L 32-43,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,15,0
13,1968,1968-12-15,14,25.259,NYJ,@,MIA,W 31-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,0,0
14,1969,1969-09-14,1,26.167,NYJ,@,BUF,W 33-19,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,0,0
15,1969,1969-09-21,2,26.174,NYJ,@,DEN,L 19-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,22,0
16,1970,1970-09-21,1,27.174,NYJ,@,CLE,L 21-31,,,,,,,,,,,,,,,,,,,,,,,
17,1970,1970-09-27,2,27.180,NYJ,@,BOS,W 31-21,,,,,,,,,,,,,,,,,,,,,,,
18,1970,1970-10-04,3,27.187,NYJ,@,BUF,L 31-34,,,,,,,,,,,,,,,,,,,,,,,
19,1970,1970-10-10,4,27.193,NYJ,,MIA,L 6-20,,,,,,,,,,,,,,,,,,,,,,,
20,1970,1970-10-18,5,27.201,NYJ,,BAL,L 22-29,,,,,,,,,,,,,,,,,,,,,,,
21,1970,1970-10-25,6,27.208,NYJ,,BUF,L 6-10,,,,,,,,,,,,,,,,,,,,,,,
22,1970,1970-11-01,7,27.215,NYJ,,NYG,L 10-22,,,,,,,,,,,,,,,,,,,,,,,
