ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1982,1982-09-12,1,23.125,SFO,,RAI,L 17-23,,,,,,,,
2,1982,1982-09-19,2,23.132,SFO,@,DEN,L 21-24,,,,,,,,
3,1982,1982-11-21,3,23.195,SFO,@,STL,W 31-20,,,,,,,,
4,1982,1982-11-28,4,23.202,SFO,,NOR,L 20-23,,,,,,,,
5,1982,1982-12-02,5,23.206,SFO,@,RAM,W 30-24,,,,,,,,
6,1982,1982-12-11,6,23.215,SFO,,SDG,L 37-41,,,,,,,,
7,1983,1983-09-04,1,24.117,BAL,@,NWE,W 29-23,0,0,,0,0,0,,0
8,1983,1983-09-11,2,24.124,BAL,,DEN,L 10-17,2,7,3.50,0,0,0,,0
9,1983,1983-09-18,3,24.131,BAL,@,BUF,L 23-28,1,1,1.00,0,0,0,,0
10,1983,1983-09-25,4,24.138,BAL,,CHI,W 22-19,4,3,0.75,0,0,0,,0
11,1983,1983-10-02,5,24.145,BAL,@,CIN,W 34-31,1,3,3.00,0,0,0,,0
12,1983,1983-10-09,6,24.152,BAL,,NWE,W 12-7,2,5,2.50,0,0,0,,0
13,1983,1983-10-16,7,24.159,BAL,,BUF,L 7-30,3,7,2.33,0,1,7,7.00,0
14,1983,1983-10-23,8,24.166,BAL,,MIA,L 7-21,0,0,,0,0,0,,0
15,1983,1983-10-30,9,24.173,BAL,@,PHI,W 22-21,1,2,2.00,0,0,0,,0
16,1983,1983-11-06,10,24.180,BAL,@,NYJ,W 17-14,1,7,7.00,0,0,0,,0
17,1983,1983-11-13,11,24.187,BAL,,PIT,L 13-24,0,0,,0,0,0,,0
18,1983,1983-11-20,12,24.194,BAL,@,MIA,L 0-37,2,0,0.00,0,0,0,,0
19,1983,1983-11-27,13,24.201,BAL,@,CLE,L 23-41,6,36,6.00,0,2,32,16.00,0
20,1983,1983-12-04,14,24.208,BAL,,NYJ,L 6-10,3,2,0.67,0,1,7,7.00,0
21,1983,1983-12-11,15,24.215,BAL,@,DEN,L 19-21,2,4,2.00,0,0,0,,0
22,1983,1983-12-18,16,24.222,BAL,,HOU,W 20-10,0,0,,0,0,0,,0
