ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-09-10,1,26.301,TEN,,NYJ,L 16-23,,,,,,,0.0%,,,,,,,,,,,,,,,
2,2006,2006-10-01,4,26.322,TEN,,DAL,L 14-45,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,
3,2006,2006-10-08,5,26.329,TEN,@,IND,L 13-14,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,,0,0,0.0,,
4,2006,2006-10-15,6,26.336,TEN,@,WAS,W 25-22,*,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,,0,0,0.0,,
5,2006,2006-10-29,7,26.350,TEN,,HOU,W 28-22,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,
6,2006,2006-11-05,8,26.357,TEN,@,JAX,L 7-37,,0,0,0,,0,0.0%,,2,2,1.00,0,0,0,,0,,0,0,0.0,,
7,2006,2006-11-12,9,26.364,TEN,,BAL,L 26-27,*,2,1,9,9.00,0,50.0%,4.50,1,3,3.00,0,0,0,,0,,0,0,0.0,,
8,2006,2006-11-19,10,27.006,TEN,@,PHI,W 31-13,*,1,1,28,28.00,0,100.0%,28.00,0,0,,0,0,0,,0,,0,0,0.0,,
9,2006,2006-11-26,11,27.013,TEN,,NYG,W 24-21,*,3,2,15,7.50,0,66.7%,5.00,1,4,4.00,0,0,0,,0,,0,0,0.0,,
10,2006,2006-12-03,12,27.020,TEN,,IND,W 20-17,*,4,3,20,6.67,0,75.0%,5.00,2,13,6.50,0,0,0,,0,,0,0,0.0,,
11,2006,2006-12-10,13,27.027,TEN,@,HOU,W 26-20,,4,3,29,9.67,0,75.0%,7.25,1,-1,-1.00,0,0,0,,0,,0,0,0.0,,
12,2006,2006-12-17,14,27.034,TEN,,JAX,W 24-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,
13,2006,2006-12-24,15,27.041,TEN,@,BUF,W 30-29,*,3,2,28,14.00,0,66.7%,9.33,0,0,,0,0,0,,0,,0,0,0.0,,
14,2006,2006-12-31,16,27.048,TEN,,NWE,L 23-40,*,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,,0,0,0.0,,
