ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2017,2017-09-17,1,22.022,TAM,,CHI,W 29-7,,0,0,0.0,0,0,0,0,0
2,2017,2017-09-24,2,22.029,TAM,@,MIN,L 17-34,,0,0,0.0,0,0,0,0,0
3,2017,2017-10-01,3,22.036,TAM,,NYG,W 25-23,,0,0,0.0,3,0,0,0,0
4,2017,2017-10-05,4,22.040,TAM,,NWE,L 14-19,*,0,0,0.0,8,1,1,2,0
5,2017,2017-10-15,5,22.050,TAM,@,ARI,L 33-38,,0,0,0.0,6,1,0,0,0
6,2017,2017-10-22,6,22.057,TAM,@,BUF,L 27-30,*,0,0,0.0,2,4,0,0,0
7,2017,2017-10-29,7,22.064,TAM,,CAR,L 3-17,*,0,0,0.0,1,0,0,0,0
8,2017,2017-11-05,8,22.071,TAM,@,NOR,L 10-30,*,0,0,0.0,3,3,0,0,0
9,2017,2017-11-12,9,22.078,TAM,,NYJ,W 15-10,*,0,0,0.0,6,1,0,0,0
10,2017,2017-11-19,10,22.085,TAM,@,MIA,W 30-20,*,0,0,0.0,4,0,1,11,0
11,2017,2017-11-26,11,22.092,TAM,@,ATL,L 20-34,,0,0,0.0,7,1,0,0,0
12,2017,2017-12-03,12,22.099,TAM,@,GNB,L 20-26,*,0,0,0.0,4,2,1,15,0
13,2017,2017-12-10,13,22.106,TAM,,DET,L 21-24,*,0,0,0.0,1,1,0,0,0
14,2017,2017-12-18,14,22.114,TAM,,ATL,L 21-24,*,0,0,0.0,4,2,0,0,0
15,2018,2018-09-09,1,23.014,TAM,@,NOR,W 48-40,*,1,6,0.0,4,1,0,0,0
16,2018,2018-09-16,2,23.021,TAM,,PHI,W 27-21,*,0,0,0.0,5,1,0,0,0
17,2018,2018-09-24,3,23.029,TAM,,PIT,L 27-30,*,0,0,0.0,5,1,1,0,0
