ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1996,1996-09-01,1,23.337,CIN,@,STL,L 16-26,,0,0,,0,,,
2,1996,1996-09-08,2,23.344,CIN,@,SDG,L 14-27,,1,0,0.00,0,0,0,0
3,1996,1996-09-15,3,23.351,CIN,,NOR,W 30-15,,1,12,12.00,0,0,0,0
4,1996,1996-09-29,4,23.365,CIN,,DEN,L 10-14,,1,0,0.00,0,0,0,0
5,1996,1996-10-06,5,24.006,CIN,,HOU,L 27-30,,0,0,,0,,,
6,1996,1996-10-13,6,24.013,CIN,@,PIT,L 10-20,,0,0,,0,,,
7,1996,1996-10-20,7,24.020,CIN,@,SFO,L 21-28,,0,0,,0,,,
8,1996,1996-10-27,8,24.027,CIN,,JAX,W 28-21,,2,8,4.00,0,0,0,0
9,1996,1996-11-03,9,24.034,CIN,@,BAL,W 24-21,,2,8,4.00,0,0,0,0
10,1996,1996-11-10,10,24.041,CIN,,PIT,W 34-24,,1,11,11.00,0,0,0,0
11,1996,1996-11-24,12,24.055,CIN,,ATL,W 41-31,,0,0,,0,,,
12,1996,1996-12-08,14,24.069,CIN,,BAL,W 21-14,,0,0,,0,1,10,0
13,1996,1996-12-15,15,24.076,CIN,@,HOU,W 21-13,,0,0,,0,1,0,0
14,1996,1996-12-22,16,24.083,CIN,,IND,W 31-24,,1,12,12.00,0,0,0,0
15,1997,1997-08-31,1,24.335,CIN,,ARI,W 24-21,,4,41,10.25,0,0,0,0
16,1997,1997-09-07,2,24.342,CIN,@,BAL,L 10-23,,2,11,5.50,0,0,0,0
17,1997,1997-09-21,3,24.356,CIN,@,DEN,L 20-38,,0,0,,0,,,
18,1997,1997-09-28,4,24.363,CIN,,NYJ,L 14-31,,1,13,13.00,0,0,0,0
19,1997,1997-10-05,5,25.005,CIN,@,JAX,L 13-21,,0,0,,0,,,
20,1997,1997-10-12,6,25.012,CIN,@,TEN,L 7-30,,3,34,11.33,0,0,0,0
21,1997,1997-10-19,7,25.019,CIN,,PIT,L 10-26,,1,18,18.00,0,1,25,0
22,1997,1997-10-26,8,25.026,CIN,@,NYG,L 27-29,,2,17,8.50,0,0,0,0
23,1997,1997-11-02,9,25.033,CIN,,SDG,W 38-31,,5,26,5.20,0,0,0,0
24,1997,1997-11-09,10,25.040,CIN,@,IND,W 28-13,,0,0,,0,,,
25,1997,1997-11-16,11,25.047,CIN,@,PIT,L 3-20,,1,12,12.00,0,0,0,0
26,1997,1997-11-23,12,25.054,CIN,,JAX,W 31-26,,0,0,,0,,,
27,1997,1997-11-30,13,25.061,CIN,@,PHI,L 42-44,,2,16,8.00,0,0,0,0
28,1997,1997-12-04,14,25.065,CIN,,TEN,W 41-14,,1,6,6.00,0,0,0,0
29,1997,1997-12-14,15,25.075,CIN,,DAL,W 31-24,,1,0,0.00,0,0,0,0
30,1997,1997-12-21,16,25.082,CIN,,BAL,W 16-14,,3,7,2.33,0,0,0,0
31,1999,1999-09-12,1,26.347,CIN,@,TEN,L 35-36,*,,,,,,,
32,1999,1999-09-19,2,26.354,CIN,,SDG,L 7-34,*,,,,,,,
33,1999,1999-09-26,3,26.361,CIN,@,CAR,L 3-27,*,,,,,,,
34,1999,1999-10-03,4,27.003,CIN,,STL,L 10-38,*,,,,,,,
35,1999,1999-10-10,5,27.010,CIN,@,CLE,W 18-17,,,,,,,,
36,1999,1999-10-17,6,27.017,CIN,,PIT,L 3-17,,,,,,,,
37,1999,1999-10-24,7,27.024,CIN,@,IND,L 10-31,,,,,,,,
38,1999,1999-10-31,8,27.031,CIN,,JAX,L 10-41,,,,,,,,
39,1999,1999-12-05,13,27.066,CIN,,SFO,W 44-30,,,,,,,,
40,1999,1999-12-12,14,27.073,CIN,,CLE,W 44-28,,0,0,,0,1,0,0
41,1999,1999-12-26,15,27.087,CIN,@,BAL,L 0-22,,,,,,,,
42,1999,2000-01-02,16,27.094,CIN,@,JAX,L 7-24,,,,,,,,
43,2000,2000-11-12,10,28.043,DAL,,CIN,W 23-6,,,,,,,,
44,2000,2000-11-19,11,28.050,DAL,@,BAL,L 0-27,,,,,,,,
45,2000,2000-11-23,12,28.054,DAL,,MIN,L 15-27,,,,,,,,
46,2000,2000-12-03,13,28.064,DAL,@,TAM,L 7-27,*,,,,,,,
47,2000,2000-12-10,14,28.071,DAL,,WAS,W 32-13,,,,,,,,
48,2000,2000-12-17,15,28.078,DAL,,NYG,L 13-17,*,,,,,,,
