ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2005-10-30,7,22.351,GNB,@,CIN,L 14-21,,1,8,8.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
2,2005,2005-11-06,8,22.358,GNB,,PIT,L 10-20,,26,62,2.38,1,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
3,2005,2005-11-13,9,23.000,GNB,@,ATL,W 33-25,*,25,103,4.12,2,4,4,5,1.25,1,100.0%,1.25,0,0,,0,0,0,,0,,,,0,0,,0,3,18,0.0,,
4,2005,2005-11-21,10,23.008,GNB,,MIN,L 17-20,*,10,7,0.70,0,2,1,30,30.00,0,50.0%,15.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
5,2005,2005-11-27,11,23.014,GNB,@,PHI,L 14-19,,26,111,4.27,1,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
6,2005,2005-12-04,12,23.021,GNB,@,CHI,L 7-19,*,20,75,3.75,1,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
7,2005,2005-12-11,13,23.028,GNB,,DET,W 16-13,*,29,171,5.90,1,1,1,9,9.00,0,100.0%,9.00,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,1,6,0.0,,
8,2005,2005-12-19,14,23.036,GNB,@,BAL,L 3-48,*,6,45,7.50,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
9,2006,2006-09-10,1,23.301,GNB,,CHI,L 0-26,,2,-7,-3.50,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,3,57,19.00,0,0,0,0.0,,
10,2006,2006-09-17,2,23.308,HOU,@,IND,L 24-43,,3,36,12.00,0,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
11,2006,2006-09-24,3,23.315,HOU,,WAS,L 15-31,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
12,2006,2006-10-01,4,23.322,HOU,,MIA,W 17-15,,6,9,1.50,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
13,2006,2006-10-15,5,23.336,HOU,@,DAL,L 6-34,,4,5,1.25,0,5,4,26,6.50,0,80.0%,5.20,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
