ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1993,1993-09-06,1,25.012,DAL,@,WAS,L 16-35,,,,,,,,
2,1993,1993-09-19,3,25.025,DAL,@,PHO,W 17-10,,,,,,,,
3,1993,1993-10-03,4,25.039,DAL,,GNB,W 36-14,,,,,,,,
4,1993,1993-10-10,5,25.046,DAL,@,IND,W 27-3,,,,,,,,
5,1993,1993-10-17,6,25.053,DAL,,SFO,W 26-17,,,,,,,,
6,1993,1993-11-21,10,25.088,DAL,@,ATL,L 14-27,,,,,,,,
7,1993,1993-11-25,11,25.092,DAL,,MIA,L 14-16,,,,,,,,
8,1993,1993-12-06,12,25.103,DAL,,PHI,W 23-17,,,,,,,,
9,1993,1993-12-12,13,25.109,DAL,@,MIN,W 37-20,,,,,,,,
10,1993,1993-12-18,14,25.115,DAL,@,NYJ,W 28-7,,,,,,,,
11,1993,1993-12-26,15,25.123,DAL,,WAS,W 38-3,,,,,,,,
12,1993,1994-01-02,16,25.130,DAL,@,NYG,W 16-13,,,,,,,,
13,1994,1994-09-04,1,26.010,DAL,@,PIT,W 26-9,,,,,,,,
14,1994,1994-09-11,2,26.017,DAL,,HOU,W 20-17,,,,,,,,
15,1994,1994-09-19,3,26.025,DAL,,DET,L 17-20,,,,,,,,
16,1994,1994-10-02,4,26.038,DAL,@,WAS,W 34-7,,,,,,,,
17,1994,1994-10-09,5,26.045,DAL,,ARI,W 38-3,,,,,,,,
18,1994,1994-10-16,6,26.052,DAL,,PHI,W 24-13,,,,,,,,
19,1994,1994-10-23,7,26.059,DAL,@,ARI,W 28-21,,,,,,,,
20,1994,1994-10-30,8,26.066,DAL,@,CIN,W 23-20,,,,,,,,
21,1994,1994-11-07,9,26.074,DAL,,NYG,W 38-10,,,,,,,,
22,1994,1994-11-13,10,26.080,DAL,@,SFO,L 14-21,,,,,,,,
23,1994,1994-11-20,11,26.087,DAL,,WAS,W 31-7,,,,,,,,
24,1994,1994-11-24,12,26.091,DAL,,GNB,W 42-31,,,,,,,,
25,1994,1994-12-04,13,26.101,DAL,@,PHI,W 31-19,,,,,,,,
26,1994,1994-12-10,14,26.107,DAL,,CLE,L 14-19,,,,,,,,
27,1994,1994-12-19,15,26.116,DAL,@,NOR,W 24-16,,,,,,,,
28,1994,1994-12-24,16,26.121,DAL,@,NYG,L 10-15,,,,,,,,
29,1995,1995-09-03,1,27.009,JAX,,HOU,L 3-10,,,,,,,,
30,1995,1995-09-10,2,27.016,JAX,@,CIN,L 17-24,,,,,,,,
31,1995,1995-09-17,3,27.023,JAX,@,NYJ,L 10-27,,,,,,,,
32,1995,1995-09-24,4,27.030,JAX,,GNB,L 14-24,,,,,,,,
33,1995,1995-10-01,5,27.037,JAX,@,HOU,W 17-16,,,,,,,,
34,1995,1995-10-08,6,27.044,JAX,,PIT,W 20-16,,,,,,,,
