ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2007,2007-09-09,1,22.336,DEN,@,BUF,W 15-14,,0,0,0,,0,0.0%,,0,0,,0,3,72,24.00,0,4,10,2.50,0,,0,0,0.0,,
2,2007,2007-09-16,2,22.343,DEN,,OAK,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,8,4.00,0,,0,0,0.0,,
3,2007,2007-09-23,3,22.350,DEN,,JAX,L 14-23,,0,0,0,,0,0.0%,,0,0,,0,4,92,23.00,0,1,14,14.00,0,,0,0,0.0,,
4,2007,2007-09-30,4,22.357,DEN,@,IND,L 20-38,,0,0,0,,0,0.0%,,0,0,,0,5,110,22.00,0,0,0,,0,,0,0,0.0,,
5,2007,2007-10-07,5,22.364,NYG,,NYJ,W 35-24,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
6,2007,2007-10-15,6,23.007,NYG,@,ATL,W 31-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
7,2007,2007-10-21,7,23.013,NYG,,SFO,W 33-15,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
8,2007,2007-10-28,8,23.020,NYG,@,MIA,W 13-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
9,2007,2007-11-11,9,23.034,NYG,,DAL,L 20-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
10,2007,2007-11-18,10,23.041,NYG,@,DET,W 16-10,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
11,2007,2007-11-25,11,23.048,NYG,,MIN,L 17-41,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
12,2007,2007-12-02,12,23.055,NYG,@,CHI,W 21-16,,0,0,0,,0,0.0%,,1,-8,-8.00,0,0,0,,0,0,0,,0,,0,0,0.0,,
13,2007,2007-12-09,13,23.062,NYG,@,PHI,W 16-13,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
14,2007,2007-12-16,14,23.069,NYG,,WAS,L 10-22,*,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
15,2007,2007-12-23,15,23.076,NYG,@,BUF,W 38-21,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
16,2007,2007-12-29,16,23.082,NYG,,NWE,L 35-38,,0,0,0,,0,0.0%,,0,0,,0,8,221,27.63,1,0,0,,0,,1,6,0.0,,
17,2008,2008-09-04,1,23.332,NYG,,WAS,W 16-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
18,2008,2008-09-14,2,23.342,NYG,@,STL,W 41-13,,3,3,60,20.00,0,100.0%,20.00,0,0,,0,0,0,,0,4,76,19.00,0,,0,0,0.0,0,0
19,2008,2008-09-21,3,23.349,NYG,,CIN,W 26-23,,4,3,29,9.67,0,75.0%,7.25,0,0,,0,0,0,,0,5,48,9.60,0,,0,0,0.0,0,0
20,2008,2008-10-05,4,23.363,NYG,,SEA,W 44-6,*,4,4,102,25.50,1,100.0%,25.50,1,15,15.00,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
21,2008,2008-10-13,5,24.005,NYG,@,CLE,L 14-35,,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
22,2008,2008-10-19,6,24.011,NYG,,SFO,W 29-17,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,2,8,4.00,0,,0,0,0.0,0,0
23,2008,2008-10-26,7,24.018,NYG,@,PIT,W 21-14,*,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,3,28,9.33,0,,0,0,0.0,0,0
24,2008,2008-11-02,8,24.025,NYG,,DAL,W 35-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,13,4.33,0,,0,0,0.0,0,0
25,2008,2008-11-09,9,24.032,NYG,@,PHI,W 36-31,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,2,45,22.50,0,,0,0,0.0,0,0
26,2008,2008-11-16,10,24.039,NYG,,BAL,W 30-10,,2,2,25,12.50,0,100.0%,12.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
27,2008,2008-11-23,11,24.046,NYG,@,ARI,W 37-29,,8,6,57,9.50,0,75.0%,7.13,1,11,11.00,0,3,180,60.00,0,2,21,10.50,0,,0,0,0.0,0,0
28,2008,2008-11-30,12,24.053,NYG,@,WAS,W 23-7,*,9,5,71,14.20,0,55.6%,7.89,0,0,,0,0,0,,0,1,9,9.00,0,,0,0,0.0,0,1
29,2008,2008-12-07,13,24.060,NYG,,PHI,L 14-20,*,9,3,30,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,2,-6,-3.00,0,,0,0,0.0,0,0
30,2008,2008-12-14,14,24.067,NYG,@,DAL,L 8-20,*,11,6,60,10.00,0,54.5%,5.45,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,0
31,2008,2008-12-21,15,24.074,NYG,,CAR,W 34-28,*,8,4,71,17.75,0,50.0%,8.88,0,0,,0,0,0,,0,0,0,,0,1,0,2,0.0,0,0
32,2008,2008-12-28,16,24.081,NYG,@,MIN,L 19-20,*,8,4,62,15.50,1,50.0%,7.75,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
33,2009,2009-09-13,1,24.340,NYG,,WAS,W 23-17,*,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,1,0,0.00,0,,0,0,0.0,0,0
34,2009,2009-09-20,2,24.347,NYG,@,DAL,W 33-31,*,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0,,0,1,5,5.00,0,,0,0,0.0,0,0
35,2009,2009-10-11,5,25.003,NYG,,OAK,W 44-7,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
36,2009,2009-10-18,6,25.010,NYG,@,NOR,L 27-48,,7,3,22,7.33,0,42.9%,3.14,0,0,,0,7,230,32.86,0,2,51,25.50,0,,0,0,0.0,0,0
37,2009,2009-10-25,7,25.017,NYG,,ARI,L 17-24,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,3,57,19.00,0,2,27,13.50,0,,0,0,0.0,0,0
38,2009,2009-11-01,8,25.024,NYG,@,PHI,L 17-40,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,7,163,23.29,0,1,2,2.00,0,,0,0,0.0,0,0
39,2009,2009-11-08,9,25.031,NYG,,SDG,L 20-21,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,4,72,18.00,0,1,13,13.00,0,,0,0,0.0,0,0
40,2009,2009-11-22,10,25.045,NYG,,ATL,W 34-31,,1,1,16,16.00,0,100.0%,16.00,0,0,,0,7,162,23.14,0,0,0,,0,,0,0,0.0,0,0
41,2009,2009-11-26,11,25.049,NYG,@,DEN,L 6-26,,3,1,5,5.00,0,33.3%,1.67,0,0,,0,2,40,20.00,0,2,20,10.00,0,,0,0,0.0,0,0
42,2009,2009-12-06,12,25.059,NYG,,DAL,W 31-24,,0,0,0,,0,0.0%,,0,0,,0,4,70,17.50,0,3,95,31.67,1,,1,6,0.0,0,0
43,2009,2009-12-13,13,25.066,NYG,,PHI,L 38-45,,1,1,61,61.00,1,100.0%,61.00,0,0,,0,8,172,21.50,0,2,19,9.50,0,,1,6,0.0,0,0
44,2009,2009-12-21,14,25.074,NYG,@,WAS,W 45-12,,3,2,21,10.50,0,66.7%,7.00,0,0,,0,2,30,15.00,0,2,24,12.00,0,,0,0,0.0,0,0
45,2009,2009-12-27,15,25.080,NYG,,CAR,L 9-41,,3,2,22,11.00,0,66.7%,7.33,0,0,,0,5,112,22.40,0,0,0,,0,,0,0,0.0,0,1
46,2009,2010-01-03,16,25.087,NYG,@,MIN,L 7-44,,0,0,0,,0,0.0%,,0,0,,0,8,183,22.88,0,0,0,,0,,0,0,0.0,0,0
47,2011,2011-09-11,1,26.338,NYG,@,WAS,L 14-28,,4,2,21,10.50,0,50.0%,5.25,0,0,,0,0,0,,0,2,27,13.50,0,,0,0,0.0,0,0
