ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1950,1950-09-24,2,29.270,PHI,@,CRD,W 45-7,5,35,7.00,0,0,0,,0
2,1950,1950-10-15,4,29.291,PHI,@,BAL,W 24-14,19,65,3.42,0,1,5,5.00,0
3,1950,1950-10-22,5,29.298,PHI,@,PIT,W 17-10,23,92,4.00,1,0,0,,0
4,1950,1950-10-29,6,29.305,PHI,,WAS,W 35-3,23,93,4.04,1,0,0,,0
5,1950,1950-11-05,7,29.312,PHI,,PIT,L 7-9,23,79,3.43,1,0,0,,0
6,1950,1950-11-12,8,29.319,PHI,@,WAS,W 33-0,23,108,4.70,1,1,29,29.00,0
7,1950,1950-11-19,9,29.326,PHI,,CRD,L 10-14,20,71,3.55,0,0,0,,0
8,1950,1950-11-26,10,29.333,PHI,@,NYG,L 3-7,22,47,2.14,0,0,0,,0
9,1950,1950-12-03,11,29.340,PHI,@,CLE,L 7-13,10,-2,-0.20,0,0,0,,0
10,1950,1950-12-10,12,29.347,PHI,,NYG,L 7-9,20,41,2.05,0,0,0,,0
11,1951,1951-10-14,3,30.290,PHI,@,GNB,L 24-37,3,4,1.33,0,0,0,,0
12,1951,1951-10-21,4,30.297,PHI,@,NYG,L 24-26,17,33,1.94,0,0,0,,0
13,1951,1951-10-28,5,30.304,PHI,,WAS,L 23-27,20,70,3.50,1,0,0,,0
14,1951,1951-11-04,6,30.311,PHI,@,PIT,W 34-13,9,33,3.67,1,0,0,,0
15,1951,1951-11-11,7,30.318,PHI,@,CLE,L 17-20,17,75,4.41,1,0,0,,0
16,1951,1951-11-18,8,30.325,PHI,,DET,L 10-28,14,32,2.29,0,1,1,1.00,0
17,1951,1951-11-25,9,30.332,PHI,,PIT,L 13-17,15,38,2.53,0,0,0,,0
18,1951,1951-12-02,10,30.339,PHI,@,WAS,W 35-21,5,14,2.80,2,0,0,,0
19,1951,1951-12-09,11,30.346,PHI,,NYG,L 7-23,10,22,2.20,1,0,0,,0
20,1951,1951-12-16,12,30.353,PHI,,CLE,L 9-24,2,6,3.00,0,0,0,,0
