ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2007,2007-09-09,1,23.065,MIA,@,WAS,L 13-16,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
2,2007,2007-09-16,2,23.072,MIA,,DAL,L 20-37,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
3,2007,2007-09-23,3,23.079,MIA,@,NYJ,L 28-31,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
4,2007,2007-09-30,4,23.086,MIA,,OAK,L 17-35,,1,1,5,5.00,0,100.0%,5.00,2,5,2.50,0,0,0,,0,0.0,,
5,2007,2007-10-07,5,23.093,MIA,@,HOU,L 19-22,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,,
6,2007,2007-10-14,6,23.100,MIA,@,CLE,L 31-41,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
7,2007,2007-10-21,7,23.107,MIA,,NWE,L 28-49,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
8,2007,2007-10-28,8,23.114,MIA,,NYG,L 10-13,,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,0,0.0,,
9,2007,2007-11-11,9,23.128,MIA,,BUF,L 10-13,,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,,0,0.0,,
10,2007,2007-11-18,10,23.135,MIA,@,PHI,L 7-17,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
11,2007,2007-11-26,11,23.143,MIA,@,PIT,L 0-3,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
12,2007,2007-12-02,12,23.149,MIA,,NYJ,L 13-40,,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,,0,0.0,,
13,2007,2007-12-09,13,23.156,MIA,@,BUF,L 17-38,,0,0,0,,0,0.0%,,0,0,,0,1,4,4.00,0,0.0,,
14,2007,2007-12-16,14,23.163,MIA,,BAL,W 22-16,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
15,2007,2007-12-23,15,23.170,MIA,@,NWE,L 7-28,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
16,2007,2007-12-30,16,23.177,MIA,,CIN,L 25-38,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
17,2008,2008-09-21,3,24.077,CIN,@,NYG,L 23-26,*,,,,,,0.0%,,,,,,,,,,,,
18,2008,2008-09-28,4,24.084,CIN,,CLE,L 12-20,*,,,,,,0.0%,,,,,,,,,,,,
19,2010,2010-09-19,2,26.075,ARI,@,ATL,L 7-41,,,,,,,0.0%,,,,,,,,,,,,
20,2010,2010-09-26,3,26.082,ARI,,OAK,W 24-23,*,,,,,,0.0%,,,,,,,,,,,,
21,2010,2010-10-03,4,26.089,ARI,@,SDG,L 10-41,,,,,,,0.0%,,,,,,,,,,,,
22,2010,2010-10-10,5,26.096,ARI,,NOR,W 30-20,*,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,1
23,2010,2010-10-24,6,26.110,ARI,@,SEA,L 10-22,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
24,2010,2010-10-31,7,26.117,ARI,,TAM,L 35-38,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
25,2010,2010-11-07,8,26.124,ARI,@,MIN,L 24-27,,,,,,,0.0%,,,,,,,,,,,,
26,2010,2010-11-14,9,26.131,ARI,,SEA,L 18-36,,,,,,,0.0%,,,,,,,,,,,,
27,2010,2010-11-21,10,26.138,ARI,@,KAN,L 13-31,,,,,,,0.0%,,,,,,,,,,,,
28,2010,2010-11-29,11,26.146,ARI,,SFO,L 6-27,,,,,,,0.0%,,,,,,,,,,,,
29,2010,2010-12-05,12,26.152,ARI,,STL,L 6-19,*,,1,10,10.00,0,,,0,0,,0,0,0,,0,0.0,0,0
30,2010,2010-12-12,13,26.159,ARI,,DEN,W 43-13,,,,,,,0.0%,,,,,,,,,,,,
31,2010,2010-12-19,14,26.166,ARI,@,CAR,L 12-19,,,,,,,0.0%,,,,,,,,,,,,
32,2010,2010-12-25,15,26.172,ARI,,DAL,W 27-26,*,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0.0,0,0
33,2010,2011-01-02,16,26.180,ARI,@,SFO,L 7-38,,,,,,,0.0%,,,,,,,,,,,,
34,2011,2011-11-06,8,27.123,ARI,,STL,W 19-13,*,,,,,,0.0%,,,,,,,,,,,,
35,2011,2011-11-13,9,27.130,ARI,@,PHI,W 21-17,*,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
36,2011,2011-11-20,10,27.137,ARI,@,SFO,L 7-23,*,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0.0,0,0
37,2012,2012-10-14,6,28.100,ARI,,BUF,L 16-19,*,,1,7,7.00,0,,,0,0,,0,0,0,,0,0.0,0,0
38,2012,2012-10-21,7,28.107,ARI,@,MIN,L 14-21,,,,,,,0.0%,,,,,,,,,,,,
39,2012,2012-10-29,8,28.115,ARI,,SFO,L 3-24,,,,,,,0.0%,,,,,,,,,,,,
