ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1981,1981-09-07,1,22.044,SDG,@,CLE,W 44-14,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,1981,1981-09-13,2,22.050,SDG,,DET,W 28-23,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
3,1981,1981-09-20,3,22.057,SDG,@,KAN,W 42-31,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
4,1981,1981-09-27,4,22.064,SDG,@,DEN,L 24-42,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
5,1981,1981-10-04,5,22.071,SDG,,SEA,W 24-10,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
6,1981,1981-10-11,6,22.078,SDG,,MIN,L 31-33,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
7,1981,1981-10-18,7,22.085,SDG,@,BAL,W 43-14,,1,14,14.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
8,1982,1982-09-12,1,23.049,SDG,@,DEN,W 23-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1982,1982-09-19,2,23.056,SDG,@,KAN,L 12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1982,1982-11-22,3,23.120,SDG,@,RAI,L 24-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1982,1982-11-28,4,23.126,SDG,,DEN,W 30-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1982,1982-12-05,5,23.133,SDG,@,CLE,W 30-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1982,1982-12-11,6,23.139,SDG,@,SFO,W 41-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1982,1982-12-20,7,23.148,SDG,,CIN,W 50-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1982,1982-12-26,8,23.154,SDG,,BAL,W 44-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1982,1983-01-02,9,23.161,SDG,,RAI,L 34-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1983,1983-09-04,1,24.041,SDG,,NYJ,L 29-41,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,,,,,
18,1983,1983-09-12,2,24.049,SDG,@,KAN,W 17-14,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,,,,,
19,1983,1983-09-18,3,24.055,SDG,@,SEA,L 31-34,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,,,,,
20,1983,1983-09-25,4,24.062,SDG,,CLE,L 24-30,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,,,,,
21,1983,1983-10-02,5,24.069,SDG,@,NYG,W 41-34,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,,,,,
22,1983,1983-10-09,6,24.076,SDG,,SEA,W 28-21,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,,,,,
23,1983,1983-10-16,7,24.083,SDG,@,NWE,L 21-37,,2,20,10.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
24,1983,1983-10-23,8,24.090,SDG,@,DEN,L 6-14,,3,19,6.33,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
25,1983,1983-10-31,9,24.098,SDG,,WAS,L 24-27,,3,69,23.00,1,,,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,1,6
26,1983,1983-11-06,10,24.104,SDG,@,PIT,L 3-26,,2,17,8.50,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
27,1983,1983-11-13,11,24.111,SDG,,DAL,W 24-23,,5,84,16.80,1,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
28,1983,1983-11-20,12,24.118,SDG,@,STL,L 14-44,,4,8,2.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
29,1983,1983-11-27,13,24.125,SDG,,DEN,W 31-7,,1,19,19.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
30,1983,1983-12-01,14,24.129,SDG,,RAI,L 10-42,,1,12,12.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
31,1983,1983-12-11,15,24.139,SDG,,KAN,W 41-38,,2,24,12.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
32,1983,1983-12-18,16,24.146,SDG,@,RAI,L 14-30,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,,,,,
33,1984,1984-09-02,1,25.039,SDG,@,MIN,W 42-13,,2,36,18.00,0,,,0,0,,0,1,1,100.00,25,1,0,158.3,0,0,25.00,45.00,0,0,,0,0,0
34,1984,1984-09-09,2,25.046,SDG,@,SEA,L 17-31,,6,133,22.17,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
35,1984,1984-09-16,3,25.053,SDG,,HOU,W 31-14,,3,27,9.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
36,1984,1984-09-24,4,25.061,SDG,@,RAI,L 30-33,,4,71,17.75,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
37,1984,1984-09-30,5,25.067,SDG,,DET,W 27-24,,3,50,16.67,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
38,1984,1984-10-07,6,25.074,SDG,@,GNB,W 34-28,,7,68,9.71,1,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
39,1984,1984-10-14,7,25.081,SDG,@,KAN,L 13-31,,3,38,12.67,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
40,1984,1984-10-21,8,25.088,SDG,,RAI,L 37-44,,6,86,14.33,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
41,1984,1984-10-29,9,25.096,SDG,,SEA,L 0-24,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,,,,,
42,1984,1984-11-11,11,25.109,SDG,,DEN,L 13-16,,1,9,9.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
43,1984,1984-11-18,12,25.116,SDG,,MIA,W 34-28,,5,58,11.60,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
44,1984,1984-11-25,13,25.123,SDG,@,PIT,L 24-52,,6,59,9.83,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
45,1984,1984-12-03,14,25.131,SDG,,CHI,W 20-7,,1,10,10.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
46,1984,1984-12-09,15,25.137,SDG,@,DEN,L 13-16,,4,51,12.75,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
47,1984,1984-12-16,16,25.144,SDG,,KAN,L 21-42,,5,38,7.60,0,,,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
48,1985,1985-09-08,1,26.045,SDG,@,BUF,W 14-9,,1,12,12.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
