ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1987,1987-09-13,1,23.072,SEA,@,DEN,L 17-40,,,,,,,,,,,,,
2,1987,1987-09-20,2,23.079,SEA,,KAN,W 43-14,,,,,,,,,,,,,
3,1988,1988-10-23,8,24.112,SEA,@,RAM,L 10-31,,0,0,,0,,,,,,,,
4,1988,1988-10-30,9,24.119,SEA,,SDG,W 17-14,,0,0,,0,,,,,,,,
5,1988,1988-11-06,10,24.126,SEA,,BUF,L 3-13,,0,0,,0,,,,,,,,
6,1988,1988-11-20,12,24.140,SEA,@,KAN,L 24-27,,0,0,,0,,,,,,,,
7,1988,1988-11-28,13,24.148,SEA,,RAI,W 35-27,,1,20,20.00,1,,,0,0,,0,1,6
8,1988,1988-12-04,14,24.154,SEA,@,NWE,L 7-13,,0,0,,0,,,,,,,,
9,1988,1988-12-11,15,24.161,SEA,,DEN,W 42-14,,0,0,,0,,,,,,,,
10,1989,1989-09-10,1,25.069,SEA,@,PHI,L 7-31,,3,63,21.00,0,,,1,31,31.00,0,0,0
11,1989,1989-09-17,2,25.076,SEA,,PHO,L 24-34,,0,0,,0,,,0,0,,0,,
12,1989,1989-09-24,3,25.083,SEA,@,NWE,W 24-3,,3,51,17.00,1,,,0,0,,0,1,6
13,1989,1989-10-01,4,25.090,SEA,@,RAI,W 24-20,,4,20,5.00,0,,,0,0,,0,0,0
14,1989,1989-10-08,5,25.097,SEA,,KAN,L 16-20,,2,14,7.00,0,,,0,0,,0,0,0
15,1989,1989-10-15,6,25.104,SEA,@,SDG,W 17-16,,0,0,,0,,,0,0,,0,,
16,1989,1989-10-22,7,25.111,SEA,,DEN,L 21-24,,3,25,8.33,0,,,0,0,,0,0,0
17,1989,1989-10-29,8,25.118,SEA,,SDG,W 10-7,,2,31,15.50,0,,,0,0,,0,0,0
18,1989,1989-11-05,9,25.125,SEA,@,KAN,L 10-20,,0,0,,0,,,0,0,,0,,
19,1989,1989-11-12,10,25.132,SEA,,CLE,L 7-17,,2,9,4.50,0,,,0,0,,0,0,0
20,1989,1989-11-19,11,25.139,SEA,@,NYG,L 3-15,,1,6,6.00,0,,,0,0,,0,0,0
21,1989,1989-11-26,12,25.146,SEA,@,DEN,L 14-41,,0,0,,0,,,0,0,,0,,
22,1989,1989-12-04,13,25.154,SEA,,BUF,W 17-16,,2,14,7.00,0,,,0,0,,0,0,0
23,1989,1989-12-10,14,25.160,SEA,@,CIN,W 24-17,,0,0,,0,,,0,0,,0,,
24,1989,1989-12-17,15,25.167,SEA,,RAI,W 23-17,,1,11,11.00,0,,,0,0,,0,0,0
25,1989,1989-12-23,16,25.173,SEA,,WAS,L 0-29,,2,16,8.00,0,,,0,0,,0,0,0
26,1990,1990-10-21,7,26.110,SEA,,KAN,W 19-7,,,,,,,,,,,,,
27,1990,1990-11-11,9,26.131,SEA,@,KAN,W 17-16,,,,,,,,,,,,,
28,1990,1990-11-25,11,26.145,SEA,@,SDG,W 13-10,,,,,,,,,,,,,
29,1990,1990-12-09,13,26.159,SEA,@,GNB,W 20-14,,,,,,,,,,,,,
30,1991,1991-09-01,1,27.060,SEA,@,NOR,L 24-27,,2,16,8.00,0,,,0,0,,0,0,0
31,1991,1991-09-08,2,27.067,SEA,,NYJ,W 20-13,,1,11,11.00,0,,,0,0,,0,0,0
32,1991,1991-09-15,3,27.074,SEA,@,DEN,L 10-16,,3,30,10.00,0,,,0,0,,0,0,0
33,1991,1991-09-22,4,27.081,SEA,@,KAN,L 13-20,,0,0,,0,,,,,,,,
34,1991,1991-09-29,5,27.088,SEA,,IND,W 31-3,,0,0,,0,,,,,,,,
35,1991,1991-10-06,6,27.095,SEA,@,CIN,W 13-7,,0,0,,0,,,,,,,,
36,1991,1991-10-13,7,27.102,SEA,,RAI,L 20-23,,1,11,11.00,1,,,0,0,,0,1,6
37,1991,1991-10-20,8,27.109,SEA,@,PIT,W 27-7,,1,5,5.00,0,,,0,0,,0,0,0
