ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2006,2006-09-24,3,25.151,CIN,@,PIT,W 28-20,,0,0,,0
2,2006,2006-10-01,4,25.158,CIN,,NWE,L 13-38,,2,2,1.00,0
3,2006,2006-10-15,5,25.172,CIN,@,TAM,L 13-14,,0,0,,0
4,2007,2007-12-30,16,26.248,CIN,@,MIA,W 38-25,,0,0,,0
