ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1974,1974-09-15,1,24.074,NYG,,WAS,L 10-13,1,10,10.00,0,0,0,,0,0,0,,0,0,0,,0
2,1974,1974-09-22,2,24.081,NYG,,NWE,L 20-28,,,,,,,,,,,,,,,,
3,1974,1974-09-29,3,24.088,NYG,@,DAL,W 14-6,8,37,4.63,0,0,0,,0,0,0,,0,0,0,,0
4,1974,1974-10-06,4,24.095,NYG,,ATL,L 7-14,2,5,2.50,0,0,0,,0,1,18,18.00,0,0,0,,0
5,1974,1974-10-13,5,24.102,NYG,@,PHI,L 7-35,0,0,,0,1,44,44.00,0,0,0,,0,0,0,,0
6,1974,1974-10-20,6,24.109,NYG,@,WAS,L 3-24,3,3,1.00,0,1,0,0.00,0,0,0,,0,1,60,60.00,0
7,1974,1974-10-27,7,24.116,NYG,,DAL,L 7-21,0,0,,0,0,0,,0,1,29,29.00,0,0,0,,0
8,1974,1974-11-03,8,24.123,NYG,@,KAN,W 33-27,,,,,,,,,,,,,,,,
9,1974,1974-11-10,9,24.130,NYG,,NYJ,L 20-26,,,,,,,,,,,,,,,,
10,1975,1975-09-21,1,25.080,NYG,@,PHI,W 23-14,,,,,,,,,,,,,,,,
11,1975,1975-09-28,2,25.087,NYG,@,WAS,L 13-49,,,,,,,,,,,,,,,,
12,1975,1975-10-05,3,25.094,NYG,@,STL,L 14-26,0,0,,0,0,0,,0,0,0,,0,1,28,28.00,0
13,1975,1975-10-12,4,25.101,NYG,,DAL,L 7-13,0,0,,0,0,0,,0,1,14,14.00,0,0,0,,0
14,1976,1976-09-12,1,26.071,NYG,@,WAS,L 17-19,1,-1,-1.00,0,0,0,,0,0,0,,0,0,0,,0
15,1976,1976-09-19,2,26.078,NYG,@,PHI,L 7-20,,,,,,,,,,,,,,,,
