ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1979,1979-09-02,1,23.034,CLE,@,NYJ,W 25-22,,,,
2,1979,1979-09-09,2,23.041,CLE,@,KAN,W 27-24,,,,
3,1979,1979-09-16,3,23.048,CLE,,BAL,W 13-10,,,,
4,1979,1979-09-24,4,23.056,CLE,,DAL,W 26-7,,,,
5,1979,1979-09-30,5,23.062,CLE,@,HOU,L 10-31,,,,
6,1979,1979-10-07,6,23.069,CLE,,PIT,L 35-51,,,,
7,1979,1979-10-14,7,23.076,CLE,,WAS,L 9-13,,,,
8,1979,1979-10-21,8,23.083,CLE,,CIN,W 28-27,,,,
9,1979,1979-10-28,9,23.090,CLE,@,STL,W 38-20,,,,
10,1979,1979-11-04,10,23.097,CLE,@,PHI,W 24-19,,,,
11,1979,1979-11-11,11,23.104,CLE,,SEA,L 24-29,1,0,0.00,0
12,1979,1979-11-18,12,23.111,CLE,,MIA,W 30-24,,,,
13,1979,1979-11-25,13,23.118,CLE,@,PIT,L 30-33,,,,
14,1979,1979-12-02,14,23.125,CLE,,HOU,W 14-7,,,,
15,1979,1979-12-09,15,23.132,CLE,@,OAK,L 14-19,,,,
16,1979,1979-12-16,16,23.139,CLE,@,CIN,L 12-16,,,,
17,1981,1981-09-07,1,25.039,CLE,,SDG,L 14-44,0,0,,0
18,1981,1981-09-13,2,25.045,CLE,,HOU,L 3-9,0,0,,0
19,1981,1981-09-20,3,25.052,CLE,@,CIN,W 20-17,0,0,,0
20,1981,1981-09-27,4,25.059,CLE,,ATL,W 28-17,0,0,,0
21,1981,1981-10-04,5,25.066,CLE,@,RAM,L 16-27,0,0,,0
22,1981,1981-10-11,6,25.073,CLE,@,PIT,L 7-13,0,0,,0
23,1981,1981-10-18,7,25.080,CLE,,NOR,W 20-17,0,0,,0
24,1981,1981-10-25,8,25.087,CLE,,BAL,W 42-28,0,0,,0
25,1981,1981-11-01,9,25.094,CLE,@,BUF,L 13-22,1,6,6.00,0
26,1981,1981-11-08,10,25.101,CLE,@,DEN,L 20-23,0,0,,0
27,1981,1981-11-15,11,25.108,CLE,@,SFO,W 15-12,0,0,,0
28,1981,1981-11-22,12,25.115,CLE,,PIT,L 10-32,0,0,,0
29,1981,1981-11-29,13,25.122,CLE,,CIN,L 21-41,0,0,,0
30,1981,1981-12-03,14,25.126,CLE,@,HOU,L 13-17,0,0,,0
31,1981,1981-12-12,15,25.135,CLE,,NYJ,L 13-14,0,0,,0
32,1981,1981-12-20,16,25.143,CLE,@,SEA,L 21-42,0,0,,0
33,1982,1982-09-12,1,26.044,CLE,@,SEA,W 21-7,,,,
34,1982,1982-09-19,2,26.051,CLE,,PHI,L 21-24,,,,
35,1982,1982-11-21,3,26.114,CLE,,NWE,W 10-7,,,,
36,1982,1982-11-25,4,26.118,CLE,@,DAL,L 14-31,,,,
37,1982,1982-12-05,5,26.128,CLE,,SDG,L 13-30,,,,
38,1982,1982-12-12,6,26.135,CLE,@,CIN,L 10-23,,,,
39,1982,1982-12-19,7,26.142,CLE,,PIT,W 10-9,,,,
40,1982,1982-12-26,8,26.149,CLE,@,HOU,W 20-14,,,,
41,1982,1983-01-02,9,26.156,CLE,@,PIT,L 21-37,,,,
