ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2009,2009-09-13,1,22.134,IND,,JAX,W 14-12,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,2,88,44.00,0
2,2009,2009-09-21,2,22.142,IND,@,MIA,W 27-23,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,3,145,48.33,0
3,2009,2009-09-27,3,22.148,IND,@,ARI,W 31-10,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,4,168,42.00,0
4,2009,2009-10-04,4,22.155,IND,,SEA,W 34-17,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,1,2,81,40.50,0
5,2009,2009-10-11,5,22.162,IND,@,TEN,W 31-9,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,4,197,49.25,0
6,2009,2009-10-25,6,22.176,IND,@,STL,W 42-6,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,4,167,41.75,0
7,2009,2009-11-01,7,22.183,IND,,SFO,W 18-14,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,7,324,46.29,0
8,2009,2009-11-08,8,22.190,IND,,HOU,W 20-17,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,3,98,32.67,0
9,2009,2009-11-15,9,22.197,IND,,NWE,W 35-34,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,7,339,48.43,0
10,2009,2009-11-22,10,22.204,IND,@,BAL,W 17-15,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,3,120,40.00,0
11,2009,2009-11-29,11,22.211,IND,@,HOU,W 35-27,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,2,105,52.50,0
12,2009,2009-12-06,12,22.218,IND,,TEN,W 27-17,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,3,117,39.00,0
13,2009,2009-12-13,13,22.225,IND,,DEN,W 28-16,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,5,211,42.20,0
14,2009,2009-12-17,14,22.229,IND,@,JAX,W 35-31,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,3,129,43.00,0
15,2009,2009-12-27,15,22.239,IND,,NYJ,L 15-29,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,6,277,46.17,0
16,2009,2010-01-03,16,22.246,IND,@,BUF,L 7-30,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,6,271,45.17,0
17,2010,2010-09-12,1,23.133,IND,@,HOU,L 24-34,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,5,178,35.60,0
18,2010,2010-09-19,2,23.140,IND,,NYG,W 38-14,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,5,205,41.00,0
19,2010,2010-09-26,3,23.147,IND,@,DEN,W 27-13,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,6,287,47.83,0
20,2010,2010-10-03,4,23.154,IND,@,JAX,L 28-31,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,2,110,55.00,0
21,2010,2010-10-10,5,23.161,IND,,KAN,W 19-9,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,2,105,52.50,0
22,2010,2010-10-17,6,23.168,IND,@,WAS,W 27-24,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,4,187,46.75,0
23,2010,2010-11-07,8,23.189,IND,@,PHI,L 24-26,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,5,189,37.80,0
24,2010,2010-11-14,9,23.196,IND,,CIN,W 23-17,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,1,7,289,41.29,0
25,2010,2010-11-21,10,23.203,IND,@,NWE,L 28-31,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,2,81,40.50,0
26,2010,2010-11-28,11,23.210,IND,,SDG,L 14-36,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,4,166,41.50,0
27,2010,2010-12-05,12,23.217,IND,,DAL,L 35-38,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,3,125,41.67,0
28,2010,2010-12-09,13,23.221,IND,@,TEN,W 30-28,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,3,126,42.00,0
29,2010,2010-12-19,14,23.231,IND,,JAX,W 34-24,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,6,235,39.17,0
30,2010,2010-12-26,15,23.238,IND,@,OAK,W 31-26,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,6,257,42.83,0
31,2010,2011-01-02,16,23.245,IND,,TEN,W 23-20,,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,5,191,38.20,0
32,2011,2011-09-11,1,24.132,IND,@,HOU,L 7-34,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,6,281,46.83,0
33,2011,2011-09-18,2,24.139,IND,,CLE,L 19-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,4,208,52.00,0
34,2011,2011-09-25,3,24.146,IND,,PIT,L 20-23,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,7,311,44.43,0
35,2011,2011-10-03,4,24.154,IND,@,TAM,L 17-24,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,6,266,44.33,0
36,2011,2011-10-09,5,24.160,IND,,KAN,L 24-28,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,5,277,55.40,0
37,2011,2011-10-16,6,24.167,IND,@,CIN,L 17-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,4,208,52.00,0
38,2011,2011-10-23,7,24.174,IND,@,NOR,L 7-62,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,6,279,46.50,0
39,2011,2011-10-30,8,24.181,IND,@,TEN,L 10-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,6,269,44.83,1
40,2011,2011-11-06,9,24.188,IND,,ATL,L 7-31,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,9,451,50.11,0
41,2011,2011-11-13,10,24.195,IND,,JAX,L 3-17,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,6,246,41.00,0
42,2011,2011-11-27,11,24.209,IND,,CAR,L 19-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,5,228,45.60,0
43,2011,2011-12-04,12,24.216,IND,@,NWE,L 24-31,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,3,144,48.00,0
44,2011,2011-12-11,13,24.223,IND,@,BAL,L 10-24,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,6,268,44.67,0
45,2011,2011-12-18,14,24.230,IND,,TEN,W 27-13,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,7,321,45.86,0
46,2011,2011-12-22,15,24.234,IND,,HOU,W 19-16,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,5,209,41.80,0
47,2011,2012-01-01,16,24.244,IND,@,JAX,L 13-19,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,3,136,45.33,0
48,2012,2012-09-09,1,25.130,IND,@,CHI,L 21-41,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,1,5,257,51.40,0
49,2012,2012-09-16,2,25.137,IND,,MIN,W 23-20,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,5,268,53.60,0
50,2012,2012-09-23,3,25.144,IND,,JAX,L 17-22,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,6,280,46.67,0
51,2012,2012-10-07,4,25.158,IND,,GNB,W 30-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,5,223,44.60,0
52,2012,2012-10-14,5,25.165,IND,@,NYJ,L 9-35,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,3,131,43.67,0
53,2012,2012-10-21,6,25.172,IND,,CLE,W 17-13,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,5,242,48.40,0
54,2012,2012-10-28,7,25.179,IND,@,TEN,W 19-13,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,2,87,43.50,0
55,2012,2012-11-04,8,25.186,IND,,MIA,W 23-20,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,2,99,49.50,0
56,2012,2012-11-08,9,25.190,IND,@,JAX,W 27-10,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,3,135,45.00,0
57,2012,2012-11-18,10,25.200,IND,@,NWE,L 24-59,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,3,139,46.33,0
58,2012,2012-11-25,11,25.207,IND,,BUF,W 20-13,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,5,256,51.20,0
59,2012,2012-12-02,12,25.214,IND,@,DET,W 35-33,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,8,400,50.00,0
60,2012,2012-12-09,13,25.221,IND,,TEN,W 27-23,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,4,213,53.25,0
61,2012,2012-12-16,14,25.228,IND,@,HOU,L 17-29,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,5,242,48.40,1
62,2012,2012-12-23,15,25.235,IND,@,KAN,W 20-13,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,7,318,45.43,0
63,2012,2012-12-30,16,25.242,IND,,HOU,W 28-16,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,5,230,46.00,0
64,2013,2013-09-08,1,26.129,IND,,OAK,W 21-17,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,3,117,39.00,0
65,2013,2013-09-15,2,26.136,IND,,MIA,L 20-24,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,4,206,51.50,0
66,2013,2013-09-22,3,26.143,IND,@,SFO,W 27-7,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,4,192,48.00,0
67,2013,2013-09-29,4,26.150,IND,@,JAX,W 37-3,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,3,138,46.00,0
68,2013,2013-10-06,5,26.157,IND,,SEA,W 34-28,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,2,93,46.50,1
69,2013,2013-10-14,6,26.165,IND,@,SDG,L 9-19,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,5,203,40.60,0
70,2013,2013-10-20,7,26.171,IND,,DEN,W 39-33,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,0,9,440,48.89,0
