ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1995,1995-11-26,12,22.108,NYJ,@,SEA,W 16-10,0,0,,0
2,1995,1995-12-03,13,22.115,NYJ,,STL,L 20-23,0,0,,0
3,1995,1995-12-10,14,22.122,NYJ,@,NWE,L 28-31,0,0,,0
4,1995,1995-12-17,15,22.129,NYJ,@,HOU,L 6-23,0,0,,0
5,1995,1995-12-24,16,22.136,NYJ,,NOR,L 0-12,2,5,2.50,0
6,1996,1996-09-01,1,23.022,NYJ,@,DEN,L 6-31,,,,
7,1996,1996-09-08,2,23.029,NYJ,,IND,L 7-21,,,,
8,1996,1996-09-15,3,23.036,NYJ,@,MIA,L 27-36,,,,
9,1996,1996-09-22,4,23.043,NYJ,,NYG,L 6-13,,,,
10,1996,1996-09-29,5,23.050,NYJ,@,WAS,L 16-31,,,,
11,1996,1996-10-06,6,23.057,NYJ,,OAK,L 13-34,,,,
12,1996,1996-10-13,7,23.064,NYJ,@,JAX,L 17-21,,,,
13,1996,1996-10-20,8,23.071,NYJ,,BUF,L 22-25,,,,
