ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2003,2003-12-07,13,24.045,DEN,,KAN,W 45-27,,1,,,,,0.0%,,,,,,,,,,,,,
2,2003,2003-12-14,14,24.052,DEN,,CLE,W 23-20,,,,,,,0.0%,,,,,,,,,,,,,
3,2003,2003-12-21,15,24.059,DEN,@,IND,W 31-17,,,,,,,0.0%,,,,,,,,,,,,,
4,2003,2003-12-28,16,24.066,DEN,@,GNB,L 3-31,,3,,,,,0.0%,,,,,,,,,,,,,
5,2004,2004-12-12,13,25.050,DEN,,MIA,W 20-17,,0,,,,,0.0%,,,,,,,,,,,,,
6,2004,2004-12-19,14,25.057,DEN,@,KAN,L 17-45,,,,,,,0.0%,,,,,,,,,,,,,
7,2004,2004-12-25,15,25.063,DEN,@,TEN,W 37-16,,0,,,,,0.0%,,,,,,,,,,,,,
8,2004,2005-01-02,16,25.071,DEN,,IND,W 33-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,42,21.00,0
9,2005,2005-09-11,1,25.323,DEN,@,MIA,L 10-34,,3,2,35,17.50,0,66.7%,11.67,0,0,,0,2,39,19.50,0,0,0,,0
10,2005,2005-09-18,2,25.330,DEN,,SDG,W 20-17,,4,3,31,10.33,0,75.0%,7.75,0,0,,0,0,0,,0,0,0,,0
11,2005,2005-09-26,3,25.338,DEN,,KAN,W 30-10,,2,2,23,11.50,0,100.0%,11.50,0,0,,0,0,0,,0,1,0,0.00,0
12,2005,2005-10-02,4,25.344,DEN,@,JAX,W 20-7,,1,1,9,9.00,0,100.0%,9.00,1,13,13.00,0,1,22,22.00,0,2,31,15.50,0
13,2005,2005-10-09,5,25.351,DEN,,WAS,W 21-19,,3,2,11,5.50,0,66.7%,3.67,0,0,,0,2,56,28.00,0,0,0,,0
14,2005,2005-10-16,6,25.358,DEN,,NWE,W 28-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,1,6,6.00,0
15,2005,2005-10-23,7,26.000,DEN,@,NYG,L 23-24,,0,0,0,,0,0.0%,,0,0,,0,1,17,17.00,0,1,16,16.00,0
16,2005,2005-10-30,8,26.007,DEN,,PHI,W 49-21,,5,3,25,8.33,0,60.0%,5.00,0,0,,0,1,19,19.00,0,3,5,1.67,0
17,2005,2005-11-13,9,26.021,DEN,@,OAK,W 31-17,*,0,0,0,,0,0.0%,,2,5,2.50,0,0,0,,0,0,0,,0
18,2005,2005-11-20,10,26.028,DEN,,NYJ,W 27-0,,4,2,21,10.50,0,50.0%,5.25,1,3,3.00,0,0,0,,0,0,0,,0
19,2005,2005-11-24,11,26.032,DEN,@,DAL,W 24-21,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0
20,2005,2005-12-04,12,26.042,DEN,@,KAN,L 27-31,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0
21,2005,2005-12-11,13,26.049,DEN,,BAL,W 12-10,,6,3,35,11.67,0,50.0%,5.83,0,0,,0,1,25,25.00,0,1,14,14.00,0
22,2005,2005-12-17,14,26.055,DEN,@,BUF,W 28-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,2,3,1.50,0
23,2005,2005-12-24,15,26.062,DEN,,OAK,W 22-3,*,1,0,0,,0,0.0%,0.00,1,-7,-7.00,0,1,25,25.00,0,2,41,20.50,0
24,2005,2005-12-31,16,26.069,DEN,@,SDG,W 23-7,,2,2,6,3.00,0,100.0%,3.00,0,0,,0,1,15,15.00,0,3,17,5.67,0
